State #,State name,Medicare enrollees (2015),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2015)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2015)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2015)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2015)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2015)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2015)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2015)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2015)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2015)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2015)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2015)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2015)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2015)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2015)"
41,Rhode Island,82989,10133.34,9220.31,4705.57,4138.69,2610.81,2690.41,1704.44,1408.98,611.99,505.81,357.26,324.66,142.37,149.41
42,South Carolina,538829,8696.17,9418.63,3476.63,3890.82,2675.49,2819.48,1432.31,1531.15,378.96,405.44,551.61,597.15,202.31,199.53
43,South Dakota,97326,8234.59,8344.54,3647.62,3734.91,1673.26,1732.01,2396.22,2357.26,141.58,139.7,139.62,157.02,223.76,210.03
44,Tennessee,579079,8972.3,10070.62,3783.69,4504.08,2617.19,2746,1411.03,1563.34,595.08,662.77,328.03,364.82,238.2,235.28
45,Texas,1746477,10600.67,11120.85,4517.33,4856.41,2909.3,2945.17,1481.32,1553.7,987.12,1027.96,517.9,551.01,195.58,196.36
46,Utah,164219,8624.55,8903.26,3403.43,3567.3,2238.46,2266.32,1537.59,1568.83,618.6,630.44,561.35,605.86,278.02,282.5
47,Vermont,89695,8559.16,7997.03,3886.17,3351.11,1492.46,1505.69,2365.76,2330.37,454.56,456.94,225.63,224.02,155.99,143.56
49,Virginia,815925,8453.3,8890.06,3492.59,3773.62,2577.57,2629.34,1484.66,1551.83,431.46,448.92,286.25,302.55,178.56,181.38
50,Washington,599636,8460.37,7987.47,3691.3,3434.67,2202.54,2177.97,1768.96,1628.48,331.68,303.96,285.53,264.75,175.8,171.34
51,West Virginia,203747,9262.69,10179.38,4334.33,4800.12,2108.98,2280.35,1837.09,2038.74,444.6,497.53,318.42,350.13,226.8,220.92
52,Wisconsin,467891,8475.14,8696.42,3737.24,3799.43,1903.36,2054.62,2018.54,2026.75,254.86,253.97,390.2,394.47,170.87,165.6
53,Wyoming,71697,8580.96,8145.11,4152.22,3776.85,2015.57,1996.58,1741.47,1709.55,246.94,241.01,110.82,114.15,286.76,272.96
99,United States,26310812,9728.93,9728.93,4234.02,4234.02,2741.63,2741.63,1655.7,1655.7,542.95,542.95,360.31,360.31,194.31,194.31
