State #,State name,Medicare enrollees (2014),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2014)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2014)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2014)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2014)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2014)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2014)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2014)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2014)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2014)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2014)","Age, sex & race-adjusted – Hospice reimbursements per enrollee (2014)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2014)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2014)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2014)"
17,Kansas,312696,8718.76,9517.86,3916.03,4446.73,2186.71,2267.42,1769.5,1909.33,312.75,334.27,316.85,343.87,220.92,219.41
18,Kentucky,415146,9245.33,10319.72,4391.11,4962.96,2225.53,2525.95,1608.67,1758.12,557.07,608.98,229.89,233.83,238.63,233.12
19,Louisiana,368370,10105.84,11221.22,4436.67,5111.56,2380.5,2477.6,1693.2,1874.92,905.96,1011.43,467.93,530.18,210.62,198.31
20,Maine,163839,8289,8558.35,3543.69,3602.17,1763.29,1953.13,2157.08,2190.05,401.19,401.42,262.67,264.97,176.25,161.85
21,Maryland,597072,10296.93,9126.5,4647.45,3658.59,2981.48,2811.14,1933.77,1932.26,339.83,340.06,249.64,238.4,151.84,158.16
22,Massachusetts,651811,10695.9,9190.12,5129.77,4148.54,2448.53,2420.5,1988.37,1633.34,698.61,574.97,306.76,279.2,134.7,140.45
23,Michigan,901093,10073.89,10282.36,4620.31,4689.23,2563.84,2591.95,1757.03,1821.85,576.5,605.15,357.22,375.25,197.01,196.15
24,Minnesota,264592,8115.24,8000.79,3751.21,3531.14,1756.2,1928.79,1907.5,1858.23,262.44,248.89,286.36,286.49,166.98,164.66
25,Mississippi,326660,9304,10540.43,4025.32,4805.19,2203.56,2323.21,1578.63,1764.17,771.87,866.33,470.88,539.13,252.52,237.66
26,Missouri,573650,8892.1,9567.41,3983.3,4455.04,2135.91,2194.66,1824.71,1915.32,362.76,377.76,377.38,416.78,205.68,206.03
27,Montana,123426,7366.28,7457.17,3096.41,3245.36,1537.44,1529.15,2097.08,2042.27,177.51,172.39,232.13,255.98,186.33,177.95
28,Nebraska,209165,8581.7,8873.02,3860.09,3991.48,2067.17,2148.84,1920.96,1978.61,264.88,268.63,270.21,292.58,206.87,199.9
29,Nevada,204078,10039.41,9542.94,4463.49,4276.03,3175.6,3068.34,1125.22,1019.85,687.2,620.88,418.39,376.67,200.93,204.66
30,New Hampshire,172753,8861.1,8361.68,4054.16,3788.55,1841.5,1850.71,2063.68,1873.08,475.05,432.78,281.16,270.64,159,154.15
31,New Jersey,916398,11059.68,10207.31,5069.67,4616.42,3700.96,3460.59,1477.27,1367.07,370.97,341.03,285.88,262.5,171.81,177.45
32,New Mexico,167522,7764.86,7812.11,3359.59,3294.09,1976.31,2018.48,1381.09,1420.05,429.43,441.91,424.71,443.87,200.12,199.63
33,New York,1415298,10864.1,9906.51,5269.95,4494.06,3423.08,3219.38,1425.54,1467.98,433.2,442.41,172.41,147.2,161.32,165.62
34,North Carolina,878742,8493.91,9069.11,3622.54,3874.39,2438.69,2643.3,1484.74,1578.4,369.66,393.08,368.54,375.66,210.17,204.2
35,North Dakota,76270,7962.38,8200.73,3479.48,3662.91,1676.57,1730.76,2447.96,2434.3,95.84,95.42,119.59,142.39,179.79,168.92
36,Ohio,881460,9626.23,10170.61,4463.18,4749.51,2321.47,2453.57,1739.25,1826.24,484.88,507.94,441.82,448.95,173.4,181.3
37,Oklahoma,401856,9174.46,10079.94,3861.92,4381.22,2169.61,2274.17,1545.97,1674.97,950.38,1032.07,475.37,549.64,203.55,204.86
38,Oregon,286107,7764.9,7315.89,3373.85,3080.01,1969.35,1963.28,1570.7,1461.52,330.05,304.6,331.94,322.05,179.06,171.65
39,Pennsylvania,1039339,9805.5,9864.4,4536.77,4566.55,2648.41,2660.2,1691.61,1696.64,458.31,457.59,303.13,311.54,175.2,178.15
41,Rhode Island,79083,9942.57,8945.66,4615.45,4068.33,2601.65,2588.07,1646.42,1345.37,578.23,471.65,364.23,328.25,135.13,141.28
42,South Carolina,521494,8634.5,9310.81,3527.15,3908.44,2623.25,2768.68,1380.43,1467.98,350.16,372.16,576.85,623.18,199.38,197.01
43,South Dakota,97487,7978.64,8117.88,3576.87,3704.43,1622.44,1687,2277.12,2221.57,141.91,138.41,138.5,157.03,209.58,197.36
44,Tennessee,577527,8849.69,9895.98,3802.8,4488.24,2533.61,2664.8,1362.33,1497.27,606.04,670.17,316.64,354.15,229.89,227.63
45,Texas,1767166,10506.1,10941.53,4528.11,4807.88,2825.45,2874.5,1431.46,1480.92,1011.3,1038.82,516.85,547.86,192.45,192.58
46,Utah,157763,8483.8,8716.6,3462.36,3582.97,2148.22,2188.86,1448.96,1463.61,637.82,642.61,545.02,598.33,257.06,260.3
47,Vermont,87117,8218.55,7656.99,3725.9,3225.77,1442.95,1450.43,2268.57,2209.99,445,442.01,200.96,200.84,152.9,141.37
49,Virginia,792458,8306.56,8714.53,3516.31,3777.71,2490.31,2549.06,1413.08,1467.88,416.26,430.04,295.75,313.12,173.05,175
50,Washington,577189,8267.92,7796.22,3667.66,3428.65,2161.74,2131.97,1683.47,1531.53,313.6,283.91,267.05,248.83,168.04,163.49
51,West Virginia,199126,8970.59,9826.39,4244.47,4675.38,2052.05,2216.97,1715.11,1899.76,426.73,476.44,324.96,359.45,213.42,205.41
52,Wisconsin,477100,8229.7,8411.86,3722.78,3763.04,1831.51,1986.11,1886.89,1876.01,240.45,237.18,385.14,389.11,160.27,156.18
53,Wyoming,69253,8169.14,7767.36,3948.79,3624.63,1973.49,1946.65,1598.99,1555.94,226.38,219.05,128.4,134.55,263.95,252.66
99,United States,26097945,9588.57,9588.57,4243.61,4243.61,2682.21,2682.21,1578.69,1578.69,537.44,537.44,359.34,359.34,187.28,187.28
