provider,hospital,hospcity,hospstate,hsanum,hsacity,hsastate,hrrnum,hrrcity,hrrstate
10114,UAB Medical West,Bessemer,AL,1010,Bessemer,AL,1,Birmingham,AL
10118,Vaughan Regional Medical Center,Selma,AL,1075,Selma,AL,1,Birmingham,AL
10120,Monroe County Hospital,Monroeville,AL,1058,Monroeville,AL,6,Mobile,AL
10125,Lakeland Community Hospital,Haleyville,AL,1047,Haleyville,AL,1,Birmingham,AL
10126,Troy Regional Medical Center,Troy,AL,1081,Troy,AL,7,Montgomery,AL
10128,Jackson Medical Center,Jackson,AL,1057,Mobile,AL,6,Mobile,AL
10129,North Baldwin Infirmary,Bay Minette,AL,1057,Mobile,AL,6,Mobile,AL
10130,St Vincent's St Clair,Pell City,AL,1011,Birmingham,AL,1,Birmingham,AL
10131,Crestwood Medical Center,Huntsville,AL,1051,Huntsville,AL,5,Huntsville,AL
10139,Brookwood Medical Center,Birmingham,AL,1011,Birmingham,AL,1,Birmingham,AL
10143,Woodland Medical Center,Cullman,AL,1022,Cullman,AL,1,Birmingham,AL
10144,Springhill Memorial Hospital,Mobile,AL,1057,Mobile,AL,6,Mobile,AL
10145,Northport Medical Center,Northport,AL,1082,Tuscaloosa,AL,9,Tuscaloosa,AL
10146,Jacksonville Medical Center,Jacksonville,AL,1053,Jacksonville,AL,1,Birmingham,AL
10148,Evergreen Medical Center,Evergreen,AL,1031,Evergreen,AL,7,Montgomery,AL
10149,Baptist Medical Center East,Montgomery,AL,1059,Montgomery,AL,7,Montgomery,AL
10150,L.V. Stabler Memorial Hospital,Greenville,AL,1044,Greenville,AL,7,Montgomery,AL
10152,Infirmary West at Knollwood,Mobile,AL,1057,Mobile,AL,6,Mobile,AL
10157,Shoals Hospital,Muscle Shoals,AL,1061,Muscle Shoals/Sheffield,AL,1,Birmingham,AL
10158,Russellville Hospital,Russellville,AL,1073,Russellville,AL,1,Birmingham,AL
10164,Coosa Valley Medical Center,Sylacauga,AL,1077,Sylacauga,AL,1,Birmingham,AL
10167,UAB Highlands,Birmingham,AL,1011,Birmingham,AL,1,Birmingham,AL
10168,Jack Hughston Memorial Hospital,Phenix City,AL,1068,Phenix City,AL,146,Columbus,GA
11300,Washington County Hospital,Chatom,AL,1057,Mobile,AL,6,Mobile,AL
11301,Atmore Community Hospital,Atmore,AL,1008,Atmore,AL,134,Pensacola,FL
11302,Red Bay Hospital,Red Bay,AL,1071,Red Bay,AL,1,Birmingham,AL
11303,Randolph Medical Center,Roanoke,AL,1072,Roanoke,AL,1,Birmingham,AL
40001,Siloam Springs Memorial Hospital,Siloam Springs,AR,4067,Siloam Springs,AR,21,Springdale,AR
40002,Johnson Regional Medical Center,Clarksville,AR,4013,Clarksville,AR,19,Little Rock,AR
40004,Washington Regional Med Ctr,Fayetteville,AR,4026,Fayetteville,AR,21,Springdale,AR
40007,St. Vincent Infirmary Med Ctr,Little Rock,AR,4041,Little Rock,AR,19,Little Rock,AR
40010,Mercy Medical Center,Rogers,AR,4063,Rogers,AR,21,Springdale,AR
40011,Chambers Memorial Hospital,Danville,AR,4018,Danville,AR,19,Little Rock,AR
40014,White County Medical Center,Searcy,AR,4066,Searcy,AR,19,Little Rock,AR
40015,Mena Regional Health System,Mena,AR,4046,Mena,AR,16,Fort Smith,AR
40016,UAMS Medical Center,Little Rock,AR,4041,Little Rock,AR,19,Little Rock,AR
40017,North Arkansas Regional Med Ctr,Harrison,AR,4031,Harrison,AR,21,Springdale,AR
40018,Summit Medical Center,Van Buren,AR,4029,Fort Smith,AR,16,Fort Smith,AR
40019,Forrest City Medical Center,Forrest City,AR,4028,Forrest City,AR,379,Memphis,TN
40020,St. Bernards Medical Center,Jonesboro,AR,4039,Jonesboro,AR,18,Jonesboro,AR
40021,Southwest Regional Med Ctr,Little Rock,AR,4041,Little Rock,AR,19,Little Rock,AR
40022,Northwest Medical Center,Springdale,AR,4068,Springdale,AR,21,Springdale,AR
40026,St. Joseph's Mercy Health Center,Hot Springs,AR,4035,Hot Springs,AR,19,Little Rock,AR
40027,Baxter Regional Medical Center,Mountain Home,AR,4049,Mountain Home,AR,270,Springfield,MO
40029,Conway Regional Medical Center,Conway,AR,4015,Conway,AR,19,Little Rock,AR
40036,Baptist Health Medical Center,North Little Rock,AR,4054,North Little Rock,AR,19,Little Rock,AR
40039,Arkansas Methodist Med Ctr,Paragould,AR,4057,Paragould,AR,18,Jonesboro,AR
40041,St. Mary's Regional Med Ctr,Russellville,AR,4064,Russellville,AR,19,Little Rock,AR
40042,Crittenden Memorial Hospital,West Memphis,AR,4075,West Memphis,AR,379,Memphis,TN
40047,Five Rivers Medical Center,Pocahontas,AR,4061,Pocahontas,AR,18,Jonesboro,AR
40050,Ouachita Medical Center,Camden,AR,4011,Camden,AR,19,Little Rock,AR
40051,Drew Memorial Hospital,Monticello,AR,4047,Monticello,AR,19,Little Rock,AR
40055,Sparks Regional Medical Center,Fort Smith,AR,4029,Fort Smith,AR,16,Fort Smith,AR
40062,St. Edward Mercy Medical Center,Fort Smith,AR,4029,Fort Smith,AR,16,Fort Smith,AR
40067,Magnolia Hospital,Magnolia,AR,4042,Magnolia,AR,19,Little Rock,AR
40069,Great River Medical Center,Blytheville,AR,4007,Blytheville,AR,379,Memphis,TN
40071,Jefferson Regional Med Ctr,Pine Bluff,AR,4060,Pine Bluff,AR,19,Little Rock,AR
40072,Stuttgart Regional Med Ctr,Stuttgart,AR,4069,Stuttgart,AR,19,Little Rock,AR
40074,North Metro Medical Center,Jacksonville,AR,4038,Jacksonville,AR,19,Little Rock,AR
40076,HSC Medical Center,Malvern,AR,4043,Malvern,AR,19,Little Rock,AR
40078,National Park Medical Center,Hot Springs,AR,4035,Hot Springs,AR,19,Little Rock,AR
40080,Harris Hospital,Newport,AR,4053,Newport,AR,19,Little Rock,AR
40081,Pike County Memorial Hospital,Murfreesboro,AR,4051,Murfreesboro,AR,19,Little Rock,AR
40084,Saline Memorial Hospital,Benton,AR,4004,Benton,AR,19,Little Rock,AR
40085,Helena Regional Medical Center,Helena,AR,4033,Helena,AR,379,Memphis,TN
40088,Medical Center of South Arkansas,El Dorado,AR,4024,El Dorado,AR,19,Little Rock,AR
40091,Medical Park Hospital,Hope,AR,4034,Hope,AR,22,Texarkana,AR
40114,Baptist Health Medical Center,Little Rock,AR,4041,Little Rock,AR,19,Little Rock,AR
40118,NEA Baptist Memorial Hospital,Jonesboro,AR,4039,Jonesboro,AR,18,Jonesboro,AR
40119,White River Medical Center,Batesville,AR,4003,Batesville,AR,19,Little Rock,AR
40134,Arkansas Heart Hospital,Little Rock,AR,4041,Little Rock,AR,19,Little Rock,AR
40137,St. Vincent Medical Center,Sherwood,AR,4054,North Little Rock,AR,19,Little Rock,AR
40138,Northwest Medical Center,Bentonville,AR,4005,Bentonville,AR,21,Springdale,AR
40142,HealthPark Hospital,Hot Springs,AR,4035,Hot Springs,AR,19,Little Rock,AR
41300,North Logan Mercy Hospital,Paris,AR,4029,Fort Smith,AR,16,Fort Smith,AR
41302,River Valley Medical Center,Dardanelle,AR,4019,Dardanelle,AR,19,Little Rock,AR
41303,Mercy Hospital-Turner Memorial,Ozark,AR,4056,Ozark,AR,16,Fort Smith,AR
41304,Eureka Springs Hospital,Eureka Springs,AR,4025,Eureka Springs,AR,270,Springfield,MO
41305,Mercy Hospital of Scott County,Waldron,AR,4072,Waldron,AR,16,Fort Smith,AR
41306,Community Medical Center,Calico Rock,AR,4010,Calico Rock,AR,19,Little Rock,AR
41307,CrossRidge Community Hospital,Wynne,AR,4076,Wynne,AR,379,Memphis,TN
41308,McGehee-Desha County Hospital,Mcgehee,AR,4045,McGehee,AR,19,Little Rock,AR
41309,Lawrence Memorial Hospital,Walnut Ridge,AR,4039,Jonesboro,AR,18,Jonesboro,AR
41310,Stone County Medical Center,Mountain View,AR,4050,Mountain View,AR,19,Little Rock,AR
41311,Howard Memorial Hospital,Nashville,AR,4052,Nashville,AR,22,Texarkana,AR
41312,Baptist Health Medical Center,Heber Springs,AR,4032,Heber Springs,AR,19,Little Rock,AR
41313,Ozark Health Medical Center,Clinton,AR,4041,Little Rock,AR,19,Little Rock,AR
41314,DeWitt Hospital,De Witt,AR,4021,De Witt,AR,19,Little Rock,AR
41316,SMC Regional Medical Center,Osceola,AR,4055,Osceola,AR,379,Memphis,TN
41317,Dallas County Medical Center,Fordyce,AR,4027,Fordyce,AR,19,Little Rock,AR
41318,Booneville Community Hospital,Booneville,AR,4008,Booneville,AR,16,Fort Smith,AR
41319,De Queen Medical Center,De Queen,AR,4020,De Queen,AR,22,Texarkana,AR
41320,Little River Memorial Hospital,Ashdown,AR,4002,Ashdown,AR,22,Texarkana,AR
41321,Baptist Health Medical Center,Arkadelphia,AR,4001,Arkadelphia,AR,19,Little Rock,AR
41322,Fulton County Hospital,Salem,AR,4065,Salem,AR,19,Little Rock,AR
41323,Ashley County Medical Center,Crossett,AR,4017,Crossett,AR,19,Little Rock,AR
41324,St. Anthony's Medical Center,Morrilton,AR,4048,Morrilton,AR,19,Little Rock,AR
41326,Delta Memorial Hospital,Dumas,AR,4023,Dumas,AR,19,Little Rock,AR
41327,Bradley County Medical Center,Warren,AR,4074,Warren,AR,19,Little Rock,AR
41328,Chicot Memorial Hospital,Lake Village,AR,4040,Lake Village,AR,19,Little Rock,AR
41329,St. John's Hospital-Berryville,Berryville,AR,4006,Berryville,AR,21,Springdale,AR
41330,Piggott Community Hospital,Piggott,AR,4059,Piggott,AR,18,Jonesboro,AR
30001,Maryvale Hospital Medical Center,Phoenix,AZ,3022,Phoenix,AZ,12,Phoenix,AZ
30002,Banner Good Samaritan Med Ctr,Phoenix,AZ,3022,Phoenix,AZ,12,Phoenix,AZ
30006,Tucson Medical Center,Tucson,AZ,3032,Tucson,AZ,15,Tucson,AZ
30007,Verde Valley Medical Center,Cottonwood,AZ,3006,Cottonwood,AZ,12,Phoenix,AZ
30010,Carondelet St. Mary's Hospital,Tucson,AZ,3032,Tucson,AZ,15,Tucson,AZ
30011,Carondelet St. Joseph's Hospital,Tucson,AZ,3032,Tucson,AZ,15,Tucson,AZ
30012,Yavapai Regional Medical Center,Prescott,AZ,3023,Prescott,AZ,12,Phoenix,AZ
30013,Yuma Regional Medical Center,Yuma,AZ,3037,Yuma,AZ,12,Phoenix,AZ
30014,John C. Lincoln North Mountain,Phoenix,AZ,3022,Phoenix,AZ,12,Phoenix,AZ
30016,Casa Grande Regional Med Ctr,Casa Grande,AZ,3004,Casa Grande,AZ,12,Phoenix,AZ
30017,Mesa General Hospital,Mesa,AZ,3016,Mesa,AZ,11,Mesa,AZ
30022,Maricopa Integrated Health,Phoenix,AZ,3022,Phoenix,AZ,12,Phoenix,AZ
30023,Flagstaff Medical Center,Flagstaff,AZ,3008,Flagstaff,AZ,12,Phoenix,AZ
30024,St. Joseph's Hosp & Med Ctr,Phoenix,AZ,3022,Phoenix,AZ,12,Phoenix,AZ
30030,Phoenix Baptist Hospital,Phoenix,AZ,3022,Phoenix,AZ,12,Phoenix,AZ
30033,Payson Regional Medical Center,Payson,AZ,3021,Payson,AZ,12,Phoenix,AZ
30036,Chandler Regional Medical Ctr,Chandler,AZ,3005,Chandler,AZ,11,Mesa,AZ
30037,St. Luke's Medical Center,Phoenix,AZ,3022,Phoenix,AZ,12,Phoenix,AZ
30038,Scottsdale Healthcare-Osborn,Scottsdale,AZ,3025,Scottsdale,AZ,12,Phoenix,AZ
30043,Sierra Vista Regional Health Ctr,Sierra Vista,AZ,3027,Sierra Vista,AZ,15,Tucson,AZ
30055,Kingman Regional Medical Center,Kingman,AZ,3014,Kingman,AZ,12,Phoenix,AZ
30061,Sun Health Boswell Hospital,Sun City,AZ,3029,Sun City,AZ,14,Sun City,AZ
30062,Summit Healthcare Reg Med Ctr,Show Low,AZ,3026,Show Low,AZ,12,Phoenix,AZ
30064,University Medical Center-Tucson,Tucson,AZ,3032,Tucson,AZ,15,Tucson,AZ
30065,Banner Desert Medical Center,Mesa,AZ,3016,Mesa,AZ,11,Mesa,AZ
30067,La Paz Regional Hospital,Parker,AZ,3020,Parker,AZ,12,Phoenix,AZ
30068,M.T. Graham Regional Med Ctr,Safford,AZ,3024,Safford,AZ,15,Tucson,AZ
30069,Havasu Regional Medical Center,Lake Havasu City,AZ,3015,Lake Havasu City,AZ,12,Phoenix,AZ
30071,Fort Defiance Indian Health Hosp,Fort Defiance,AZ,3010,Ganado,AZ,293,Albuquerque,NM
30073,Tuba City Reg Health Care Corp.,Tuba City,AZ,3044,Tuba City,AZ,12,Phoenix,AZ
30083,Paradise Valley Hospital,Phoenix,AZ,3022,Phoenix,AZ,12,Phoenix,AZ
30084,Chinle Comp Health Care Facility,Chinle,AZ,3038,Chinle,AZ,293,Albuquerque,NM
30085,Northwest Medical Center,Tucson,AZ,3032,Tucson,AZ,15,Tucson,AZ
30087,Scottsdale Healthcare-Shea,Scottsdale,AZ,3025,Scottsdale,AZ,12,Phoenix,AZ
30088,Banner Baywood Medical Center,Mesa,AZ,3016,Mesa,AZ,11,Mesa,AZ
30089,Banner Thunderbird Med Ctr,Glendale,AZ,3022,Phoenix,AZ,12,Phoenix,AZ
30092,John C. Lincoln Deer Valley,Phoenix,AZ,3022,Phoenix,AZ,12,Phoenix,AZ
30093,Banner Del E Webb Medical Center,Sun City West,AZ,3029,Sun City,AZ,14,Sun City,AZ
30094,Arrowhead Hospital,Glendale,AZ,3022,Phoenix,AZ,12,Phoenix,AZ
30099,White Mountain Regional Med Ctr,Springerville,AZ,3028,Springerville,AZ,12,Phoenix,AZ
30100,Tucson Heart Hospital,Tucson,AZ,3032,Tucson,AZ,15,Tucson,AZ
30101,Western Arizona Regional Med Ctr,Bullhead City,AZ,3003,Bullhead City,AZ,279,Las Vegas,NV
30102,Arizona Heart Hospital,Phoenix,AZ,3022,Phoenix,AZ,12,Phoenix,AZ
30103,Mayo Clinic Hospital,Phoenix,AZ,3022,Phoenix,AZ,12,Phoenix,AZ
30105,Banner Heart Hospital,Mesa,AZ,3016,Mesa,AZ,11,Mesa,AZ
30110,West Valley Hospital,Goodyear,AZ,3022,Phoenix,AZ,12,Phoenix,AZ
30111,Univ Physicians Healthcare,Tucson,AZ,3032,Tucson,AZ,15,Tucson,AZ
30114,Northwest Medical Center,Oro Valley,AZ,3032,Tucson,AZ,15,Tucson,AZ
30115,Banner Estrella Medical Center,Phoenix,AZ,3022,Phoenix,AZ,12,Phoenix,AZ
30117,Valley View Medical Center,Fort Mohave,AZ,3003,Bullhead City,AZ,279,Las Vegas,NV
30118,Yavapai Reg Med Center - East,Prescott Valley,AZ,3023,Prescott,AZ,12,Phoenix,AZ
30119,Mercy Gilbert Medical Center,Gilbert,AZ,3016,Mesa,AZ,11,Mesa,AZ
31301,Benson Hospital,Benson,AZ,3032,Tucson,AZ,15,Tucson,AZ
31302,Northern Cochise Community Hosp,Willcox,AZ,3034,Willcox,AZ,15,Tucson,AZ
31303,Southeast Arizona Medical Center,Douglas,AZ,3007,Douglas,AZ,15,Tucson,AZ
31311,Little Colorado Medical Center,Winslow,AZ,3035,Winslow,AZ,12,Phoenix,AZ
31312,Copper Queen Community Hospital,Bisbee,AZ,3002,Bisbee,AZ,15,Tucson,AZ
31314,Cobre Valley Comm Hospital,Globe,AZ,3047,Claypool,AZ,12,Phoenix,AZ
50002,St. Rose Hospital,Hayward,CA,5095,Hayward,CA,65,Alameda County,CA
50006,St. Joseph Hospital,Eureka,CA,5066,Eureka,CA,73,Redding,CA
50007,Mills-Peninsula Health Services,Burlingame,CA,5029,Burlingame,CA,85,San Mateo County,CA
50008,Davies Medical Center,San Francisco,CA,5208,San Francisco,CA,81,San Francisco,CA
50009,Queen of the Valley Med Ctr,Napa,CA,5150,Napa,CA,62,Napa,CA
50013,St. Helena Hospital,Saint Helena,CA,5055,Deer Park,CA,62,Napa,CA
50014,Sutter Amador Hospital,Jackson,CA,5104,Jackson,CA,77,Sacramento,CA
50016,Arroyo Grande Community Hospital,Arroyo Grande,CA,5009,Arroyo Grande,CA,83,San Luis Obispo,CA
50017,Mercy General Hospital,Sacramento,CA,5200,Sacramento,CA,77,Sacramento,CA
50018,Pacific Alliance Medical Center,Los Angeles,CA,5126,Los Angeles,CA,56,Los Angeles,CA
50022,Riverside Community Hospital,Riverside,CA,5198,Riverside,CA,79,San Bernardino,CA
50024,Paradise Valley Hospital,National City,CA,5151,National City,CA,80,San Diego,CA
50025,UC San Diego Med Ctr,San Diego,CA,5205,San Diego,CA,80,San Diego,CA
50026,Sharp Grossmont Hospital,La Mesa,CA,5109,La Mesa,CA,80,San Diego,CA
50028,Mad River Community Hospital,Arcata,CA,5008,Arcata,CA,73,Redding,CA
50030,Oroville Hospital,Oroville,CA,5166,Oroville,CA,31,Chico,CA
50036,Bakersfield Memorial Hospital,Bakersfield,CA,5015,Bakersfield,CA,25,Bakersfield,CA
50038,Santa Clara Valley Med Ctr,San Jose,CA,5210,San Jose,CA,82,San Jose,CA
50039,Enloe Medical Center,Chico,CA,5037,Chico,CA,31,Chico,CA
50040,LAC-Olive View-UCLA Med Ctr,Sylmar,CA,5139,Mission Hills,CA,56,Los Angeles,CA
50042,St. Elizabeth Community Hospital,Red Bluff,CA,5190,Red Bluff,CA,31,Chico,CA
50043,Alta Bates Summit Med Ctr-Oakland,Oakland,CA,5161,Oakland,CA,65,Alameda County,CA
50045,El Centro Regional Med Ctr,El Centro,CA,5062,El Centro,CA,80,San Diego,CA
50046,Ojai Valley Community Hospital,Ojai,CA,5163,Ojai,CA,96,Ventura,CA
50047,California Pacific Med Ctr,San Francisco,CA,5208,San Francisco,CA,81,San Francisco,CA
50054,San Gorgonio Memorial Hospital,Banning,CA,5017,Banning,CA,79,San Bernardino,CA
50055,St. Luke's Hospital,San Francisco,CA,5208,San Francisco,CA,81,San Francisco,CA
50056,Antelope Valley Hospital,Lancaster,CA,5117,Lancaster,CA,56,Los Angeles,CA
50057,Kaweah Delta Health Care Dist,Visalia,CA,5261,Visalia,CA,25,Bakersfield,CA
50058,Glendale Mem Hosp & Health Ctr,Glendale,CA,5084,Glendale,CA,56,Los Angeles,CA
50060,Community Regional Medical Ctr,Fresno,CA,5078,Fresno,CA,43,Fresno,CA
50063,Hollywood Presbyterian Med Ctr,Los Angeles,CA,5126,Los Angeles,CA,56,Los Angeles,CA
50067,Oak Valley Hospital District,Oakdale,CA,5160,Oakdale,CA,58,Modesto,CA
50069,St. Joseph Hospital,Orange,CA,5165,Orange,CA,23,Orange County,CA
50077,Scripps Mercy Hospital,San Diego,CA,5205,San Diego,CA,80,San Diego,CA
50078,Little Company of Mary,San Pedro,CA,5215,San Pedro,CA,56,Los Angeles,CA
50079,Doctors Medical Center,San Pablo,CA,5214,San Pablo,CA,81,San Francisco,CA
50082,St. John's Regional Med Ctr,Oxnard,CA,5167,Oxnard,CA,96,Ventura,CA
50084,St. Joseph's Medical Center,Stockton,CA,5239,Stockton,CA,91,Stockton,CA
50089,Community Hosp of San Bernardino,San Bernardino,CA,5203,San Bernardino,CA,79,San Bernardino,CA
50090,Sonoma Valley Hospital,Sonoma,CA,5231,Sonoma,CA,89,Santa Rosa,CA
50091,Community Hosp-Huntington Park,Huntington Park,CA,5130,Lynwood,CA,56,Los Angeles,CA
50093,St. Agnes Medical Center,Fresno,CA,5078,Fresno,CA,43,Fresno,CA
50099,San Antonio Community Hospital,Upland,CA,5254,Upland,CA,79,San Bernardino,CA
50100,Sharp Memorial Hospital,San Diego,CA,5205,San Diego,CA,80,San Diego,CA
50101,Sutter Solano Medical Center,Vallejo,CA,5257,Vallejo,CA,81,San Francisco,CA
50102,Parkview Community Hosp Med Ctr,Riverside,CA,5198,Riverside,CA,79,San Bernardino,CA
50103,White Memorial Medical Center,Los Angeles,CA,5126,Los Angeles,CA,56,Los Angeles,CA
50104,St. Francis Medical Center,Lynwood,CA,5130,Lynwood,CA,56,Los Angeles,CA
50107,Marian Medical Center,Santa Maria,CA,5222,Santa Maria,CA,86,Santa Barbara,CA
50108,Sutter Medical Center,Sacramento,CA,5200,Sacramento,CA,77,Sacramento,CA
50110,Lompoc Valley Medical Center,Lompoc,CA,5122,Lompoc,CA,86,Santa Barbara,CA
