State #,State name,Medicare enrollees (2010),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2010)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2010)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2010)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2010)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2010)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2010)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2010)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2010)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2010)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2010)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2010)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2010)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2010)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2010)"
11,Georgia,681530,8829.63,9373.05,3876.02,4275.26,2573.72,2642.07,1058.35,1102.26,548.78,567.06,521.31,534.61,268.04,267.89
12,Hawaii,82223,7259.95,7075.5,3554.38,3359.95,1997.2,2059.99,1159.8,1115.02,137.04,131.12,275.02,273.2,121.74,119.81
13,Idaho,120214,7400.1,8000.12,3336.22,3500.67,1637.69,1920.26,1382.35,1462.08,405.11,421.83,364.84,413.18,270.43,275.64
14,Illinois,1255573,9918.17,9949.62,4902.96,5013.14,2497.85,2453.84,1242.06,1241.97,770.46,749.97,269.21,257.28,234.82,232.53
15,Indiana,632650,9165.28,9934.11,4673.6,5086.46,2200.6,2478.45,1270.51,1313.82,464.43,478.16,288.42,303.96,268.32,270.59
16,Iowa,357212,7353.91,7879.92,3545.88,3862.37,1653.82,1758.41,1404.86,1475.28,214.05,224.38,305.21,325.97,230.59,231.78
17,Kansas,299219,8369.96,9116.31,4043.32,4569.57,2074.69,2160.43,1352.15,1438.15,301.1,314.91,330.1,359.37,267.12,269.79
18,Kentucky,430017,9485.45,10502.3,4835.64,5372.24,2241.32,2560.97,1180.85,1270.08,664.38,715.13,259.69,273.12,313.96,316.92
19,Louisiana,357228,10586.93,11669.62,4838.73,5530.23,2445.49,2525.16,1232.34,1344.28,1296.14,1419.52,453.71,521.69,289.41,290.51
20,Maine,163505,8149.21,8258.4,3952.33,3943.67,1661.87,1745.57,1640.4,1671.88,429.94,431.06,267.08,267.61,205.96,204.87
21,Maryland,535234,10249.72,9059.94,5267.24,4252.29,2821.75,2708.09,1394.01,1358.49,347.8,336.39,222.99,214.89,204.56,204.3
22,Massachusetts,588577,10791.72,9674.4,5720.52,4954.98,2408.2,2297.67,1441.49,1297.72,762.24,690.24,279.5,255.39,188.5,186.12
23,Michigan,1029249,9975.71,9903.49,4838.42,4761.4,2614.21,2607.55,1242.01,1251.08,690.38,689.29,322.02,326.51,268.48,267.46
24,Minnesota,315039,7667.22,7646.15,3946.46,3869.46,1696.91,1795.04,1387.24,1349.82,236.05,224.48,202.7,203,204.31,207.21
25,Mississippi,310751,9525.5,10687.79,4381.52,5118.17,2192.54,2294.71,1177.49,1308.04,955.9,1065.61,473.83,551.05,331,334.12
26,Missouri,568999,8786.82,9494.8,4331.22,4832.2,2089.1,2156.67,1294.47,1365.03,423.63,442.96,370.98,416.77,273.52,276.72
27,Montana,107180,7061.39,7664.44,3282.43,3630.38,1615.83,1724.14,1432.92,1531.78,233.79,249.42,237.63,263.84,239.25,244.37
28,Nebraska,194520,8244.51,8741.86,4112.16,4407.05,1955.06,2062.14,1438.34,1498.9,272.48,278.59,224.49,245.28,249.37,254.09
29,Nevada,173365,10193.95,9808.06,4985.36,4837.78,2978.89,2903.1,836.69,776.15,732.52,661.46,396.67,355.07,286.44,287.76
30,New Hampshire,148590,8478.05,8233.27,4149.98,3995.26,1727.18,1759.86,1647.61,1558.87,530.79,503.98,245.3,235.45,191.91,190.6
31,New Jersey,874503,10867.63,9861.43,5472.73,4933,3618.37,3320.66,894.98,798.06,386.39,344.8,305.57,277.23,206.66,204.68
32,New Mexico,160036,7475.65,7650.15,3439.43,3476.1,1919.41,1989.02,955.11,981.64,483.31,496.7,412.63,435.85,276.24,281.82
33,New York,1438408,10850.77,9384.01,5667.05,4605.52,3413.87,3161.31,947.71,872.43,467.9,415.48,157.85,140.49,222.99,221.37
34,North Carolina,895317,8492.66,8924.21,4007.23,4105.66,2354.11,2622.94,1066.28,1107.58,421.69,436.91,371.9,376.7,273.76,276.8
35,North Dakota,79694,7008.63,7820.2,3450.1,3953.01,1573.42,1713.18,1534.76,1662.54,135.13,144.34,128.13,153.42,208.71,211.65
36,Ohio,895643,9661.94,10193.8,4819.54,5193.97,2364.97,2451.59,1286.64,1336.94,511.02,527.45,417.09,419.87,258.87,258.78
37,Oklahoma,377817,9452.14,10442.32,4251.48,4840.56,2193.13,2319.06,972.17,1050.65,1250.66,1353.9,554.27,650.82,287.8,291.37
38,Oregon,252676,7405.3,7156.95,3462.56,3260.31,1865.13,1909.55,1170.5,1104.11,340.38,318.95,314.27,309.02,240.06,240.41
39,Pennsylvania,1010938,9632.62,9836.31,4822.09,4984.09,2640.82,2647.72,1153.33,1168.29,472.52,479.03,319.38,329.36,228.12,227.96
41,Rhode Island,74023,9865.66,9174.71,4924.23,4461.6,2576.09,2513.31,1179.56,1102.05,580.52,544.24,407.18,361.7,183.81,184.26
42,South Carolina,473792,8623.25,9140.84,3942.1,4252.07,2479.38,2599.2,1025.12,1071.86,426.57,443.88,499.46,528.03,267.63,264.97
43,South Dakota,100459,7384.55,7890.24,3738.82,4004.28,1715.13,1861.87,1378.38,1446.67,156.35,163.08,152.31,165.74,241.91,243.97
44,Tennessee,564019,9245.6,10138.94,4320.1,4942.75,2439.58,2562.23,982.33,1051.83,895.78,958.22,310.32,329.54,307.62,307.69
45,Texas,1780898,10596.19,11087.94,4695.09,5019.54,2746.42,2813.87,1059.82,1101.9,1326.8,1362.06,472.9,495.96,286.47,286.56
46,Utah,133333,8261.67,8710.49,3385.52,3674.49,2044.05,2108.08,1103.75,1127.61,788.68,801.66,606.73,667.73,348.62,352.08
47,Vermont,79112,7828.58,7239.73,4055.63,3413.75,1359.03,1439.86,1619.56,1587.91,491.16,485.74,152.22,153.59,174.23,174.3
49,Virginia,723629,8032.78,8505.92,3749.06,4060.4,2298.76,2393.72,1024.95,1057.24,436.92,450.94,292.07,312.19,231.37,232.22
50,Washington,526806,8109.1,7781.54,3922.31,3695.37,2141.18,2147.09,1217.44,1145.88,339.62,317.44,253.6,238.94,226.12,226.22
51,West Virginia,197330,8821.16,9671.1,4482.01,5003.55,2058.63,2182.9,1246.14,1359.34,408.34,448.47,334.09,377.85,289.81,298.13
52,Wisconsin,480481,7940.4,8081.31,4030.97,4095.02,1764.96,1851.81,1379.97,1367.95,234.75,229.95,323.03,325.59,203,204.43
53,Wyoming,59288,7977.08,7791.31,4265.26,3951.82,1771.93,1856.94,1180.6,1198.48,242.28,245.11,172.07,178.6,325.79,332.24
99,United States,25450227,9583.69,9583.69,4604.52,4604.52,2622.73,2622.73,1135.43,1135.43,622.79,622.79,344.28,344.28,253.95,253.95
