GEOID,HRR name,State,Multiple chronic conditions - Fee-for-service Medicare beneficiaries*,Dementia - Fee-for-service Medicare beneficiaries*,Multiple chronic conditions - Average number of contact days with the health care system per beneficiary,Dementia - Average number of contact days with the health care system per beneficiary,Multiple chronic conditions - Average number of inpatient days per beneficiary,Dementia - Average number of inpatient days per beneficiary,Multiple chronic conditions - Average number of unique clinicians seen per beneficiary,Dementia - Average number of unique clinicians seen per beneficiary,Multiple chronic conditions - Percent of beneficiaries whose predominant provider was a primary care physician,Dementia - Percent of beneficiaries whose predominant provider was a primary care physician,Multiple chronic conditions - Percent of beneficiaries filling prescriptions for high-risk medications,Dementia - Percent of beneficiaries filling prescriptions for high-risk medications
83,San Luis Obispo,CA,5133,2649,34.5780028636872,28.5787668380292,10.7647532856821,11.8487437531427,4.52999530322063,3.64476921312985,67.793297419909,74.7613361082988,24.7127354627195,19.6401806671501
85,San Mateo County,CA,7842,3432,31.6657367954946,23.9345046503933,12.2794313443068,13.911810561989,5.19469601807632,3.85662384159074,57.2043940754427,69.4355271559096,21.1077572114011,19.8129808792906
86,Santa Barbara,CA,8087,3830,32.886149360983,25.6286248007871,10.1603479389413,11.815373574081,4.89260122972148,3.82181027482611,62.8466496351764,70.897284526573,22.0424362372758,20.1465515266357
87,Santa Cruz,CA,4484,1785,33.0596755450145,24.027216126263,11.8398789113226,14.505018660811,5.17876315507842,3.6785914188226,58.6318186402966,76.3539869914262,23.8202959972018,21.0078463073041
89,Santa Rosa,CA,6368,3192,32.5324228287893,25.6532502709476,14.1906041615525,15.9582236885885,4.36796910210625,3.33319032079714,63.4016428840985,74.4389000409096,21.9500685456849,22.7804567943965
91,Stockton,CA,7704,3015,29.3807597217702,24.3929435323588,16.8259590160106,21.8478108099786,4.33262406026976,3.38967795668769,66.8719863561095,76.2819893420707,26.3863495642503,24.3974532940202
96,Ventura,CA,13068,6256,37.2810072907903,31.9992252274771,12.7769798031903,15.5965605641223,5.1560920194671,4.3234654056907,53.4626342056783,63.1995885295815,22.6600145277349,22.1682104518351
101,Boulder,CO,2651,1653,34.7128141253232,27.9468670551506,18.2257231702162,19.3438484629117,5.48728328347521,4.21367449243713,58.3000562137415,69.7402720075091,24.051921366278,22.975856025677
102,Colorado Springs,CO,11776,5560,28.4442427272526,23.8619763070606,14.5121507576109,16.8856881885999,4.54622636293982,3.5637509988046,64.0543572510159,71.7132663781716,25.7680593292139,25.197527883678
103,Denver,CO,24926,13494,33.0013937469972,28.6060389763627,16.6634357434619,18.6888450844065,5.0105435784013,4.13774637444339,63.0876249259734,68.2124683115602,23.5993299507398,21.4522302133251
104,Fort Collins,CO,4874,2609,32.3660006744306,27.0198081201479,18.7952620202177,21.1162836608591,5.20808495774271,4.13318922944335,59.3564792815039,68.4889861669547,25.3806307890081,22.5636368405264
105,Grand Junction,CO,3551,1969,25.5458225084466,18.802461377345,12.4427655216499,11.8416207067735,4.17484066710056,3.17071400517791,74.1844344808176,79.2973837260104,23.5462735472456,22.8134056003929
106,Greeley,CO,5642,3225,28.0915507173841,23.8252645617776,17.7195162950028,19.9791181887989,4.92178642368851,3.95457583783135,64.8349671817306,72.3369698579008,23.1694714860008,23.0779666254199
107,Pueblo,CO,3472,1483,27.2906121684584,22.175496779257,16.5101577592679,23.1846652905517,4.3226826693369,3.21929789008336,76.069051383647,82.6180142528748,30.6881019402384,26.5361386266146
109,Bridgeport,CT,11922,6670,39.852095821613,34.8373959144617,20.1017679578265,24.4281913741857,5.97326922700946,4.98760594652616,51.9110638240526,59.1224658308764,20.8396512293452,19.6950759283033
110,Hartford,CT,33696,19448,35.3787716933022,32.1431143784096,21.7328143961944,27.0421714634955,5.50601536214486,4.79231396762763,55.1929246449483,59.0358690724717,20.5898861614025,19.7138661455452
111,New Haven,CT,33990,17353,37.8034992573103,34.4686470038212,20.1743702687862,25.9325066015683,5.8809277868083,5.0608188912248,52.1850161255884,57.9362505141176,20.1974183076217,18.7506450218598
112,Wilmington,DE,18965,8357,36.2780255278448,34.2198237005024,16.4664946970286,23.398106116955,5.26286096133195,4.43136307693667,64.9016027276414,72.9390741837183,25.2661553880558,24.5099630812173
113,Washington,DC,50799,25122,33.7903388022792,29.7709163914228,16.1044602598643,20.2043945979159,5.28755655119602,4.40372552981436,58.187376047664,64.6483715559121,23.606748394637,22.951501668814
115,Bradenton,FL,9478,3822,39.5636975238715,34.3425400486738,15.8891123757518,22.9221304476757,5.64693969931908,4.38823141280466,55.4149463825718,64.7867847141499,27.011427433137,24.9149417202347
116,Clearwater,FL,14503,6478,37.1750955674436,34.5422802197433,16.2434925852919,23.8333340168835,5.74386652846651,4.66038546881359,56.6947965727497,65.4935024085444,27.4959057495358,26.257143512323
118,Fort Lauderdale,FL,63754,26947,43.890621913748,39.2151363180371,14.5108034543133,20.3841841734979,6.61644467209196,5.529843697381,49.4040525016024,57.8033709590278,23.6446394054287,22.5015669372645
119,Fort Myers,FL,38770,15426,39.6909480619016,35.7979190182296,14.2157049311971,20.3920900697951,6.14685293668675,5.14048347612834,58.4089430932996,62.4093599666546,22.9781268363303,24.0819268199941
120,Gainesville,FL,14581,5902,35.0361357839678,34.5538702551941,17.7270636339414,25.7043034550472,4.94677851458259,4.10021611808053,70.4848369392774,75.718578671762,27.4381604769293,27.1693521777604
122,Hudson,FL,15437,5579,35.5901607011204,34.1410807543071,14.1762079746981,23.8129194496496,4.97380770297136,4.26098374517482,60.1681045853755,66.7328976215544,24.8653778976362,25.7327150397505
123,Jacksonville,FL,37219,16842,37.626207381723,35.8755473613196,17.3560318911601,23.6694520724989,5.62907738727265,4.78839494554583,62.8575040147037,70.561825297076,30.5010890834061,30.1336656518117
124,Lakeland,FL,8412,3586,36.983421763268,35.3295086736164,16.9811692281312,25.5799283905476,5.30803476645501,4.5530069185231,65.0491207094934,68.4901673492502,27.1659660068331,27.2825716965037
127,Miami,FL,48538,22588,38.3238483078232,36.1025957889735,16.6555886099396,23.238713117714,5.34903580330147,4.39130239276793,53.9404316904226,59.4139263378849,28.7457915673629,27.6566423054016
129,Ocala,FL,26151,9032,35.9672803591522,33.5970858841788,12.6353975920654,19.4094007469531,5.54056805369243,4.80195950927476,57.2135757956061,60.1878909196658,23.7065701541613,25.1200311920304
130,Orlando,FL,92048,36001,38.0004813237998,36.2978633819308,15.6498390967826,23.711139614563,5.58326084423584,4.87181692249228,57.5220918292779,62.2688293505063,25.5623820504747,25.2433626791324
131,Ormond Beach,FL,11706,5146,36.5011942273559,32.7470343736731,14.0336022858176,19.3912319961981,5.26439146590546,4.43243528315662,65.6602000901368,72.7987678832311,29.0117748606487,28.0078714321705
133,Panama City,FL,6911,2954,36.4271871122433,35.1261918818082,16.6312446044568,23.7729956194185,5.00631621788293,4.25568492720678,65.1589008466991,62.021244952913,30.55544552812,29.1160248175484
134,Pensacola,FL,21522,8756,31.3122668235663,27.5417318321277,15.243383676603,20.5463417257063,5.04038051384137,4.01134444658517,59.5416701689806,57.7136598827457,32.2981299491078,33.379169827957
137,Sarasota,FL,16793,6953,38.6915059274325,33.6459388477135,13.4027349653692,18.7166840436196,6.04464203567993,4.86425851531584,50.7033333380866,59.6669051956468,24.9014375672749,24.4989946826421
139,St. Petersburg,FL,10014,5041,39.2239095519612,35.9691276708199,19.7800370207556,26.7167048046486,5.28620301836355,4.23646066716904,55.6938476343765,61.9527289366624,30.8342085996357,30.9247101881993
140,Tallahassee,FL,15339,7080,31.2917574333089,27.638465292911,16.0617360468193,20.6995366647772,4.58586289216024,3.53149435383836,70.3331071707154,76.9447633456564,34.3851250938629,32.6527259717207
141,Tampa,FL,23091,11406,37.246212947436,35.1833942883481,16.9672675025353,23.4990446809324,5.38472527055899,4.57936552379805,60.099050708703,64.3086517172803,28.8281840609915,31.0401320123565
142,Albany,GA,4269,2077,28.415735084477,22.7462283800851,13.0756805761313,14.7534800557828,4.64463009153308,3.47389156614577,69.499792007513,72.8858242374637,34.5465907273848,31.6462051172153
144,Atlanta,GA,88632,39397,31.2244108309579,25.6265144352309,14.6024301451738,19.3635704722253,5.21273459934877,3.98768292768972,56.5073951916516,65.9653473183063,29.9270568453414,27.8634796780257
145,Augusta,GA,12397,5903,29.4083202237245,24.1965942187476,17.4504228629467,22.3710962934097,4.4713598078957,3.47798709498863,62.1798097013014,67.8810665882914,32.5549733418107,31.2755578855169
146,Columbus,GA,7456,2827,31.9035167230273,27.9210454711092,11.5452585671816,16.077197169119,4.81286619224023,3.91125310155287,68.5093055391253,69.7124841651805,34.9678548433846,32.4022633758381
147,Macon,GA,16712,6764,31.267826085585,26.4613887898797,14.5196344302145,19.8198928525512,4.68726192319416,3.53237739037254,69.4957840029758,78.7056578009602,32.8916615314669,31.7745712138621
148,Rome,GA,7571,3316,29.7079324198071,26.310204377682,16.4572238480651,23.0820690754567,4.73382423944918,3.53916795972193,70.029896657713,74.4753487880634,36.5681579360709,31.4175163223551
149,Savannah,GA,16167,7822,32.2792756184139,26.4301822616722,16.1198345675354,20.5121245339103,4.99868970947789,3.91489776740146,59.3697168949498,67.8783260115474,32.5218106574555,32.1475467556214
150,Honolulu,HI,14463,7854,31.6321491047707,24.3657363028987,13.5714425330994,14.8363014340665,4.37937676474679,3.42899751503095,66.9103595140202,73.8499562501878,25.6856506804792,20.096069344487
151,Boise,ID,10015,4729,25.7108591232266,19.3142773288724,14.9207592553335,15.997418009561,4.71123878171227,3.4428263392808,63.7182341306423,69.3179478837306,21.8089854829214,23.0764018530023
152,Idaho Falls,ID,2836,1109,27.2159573303547,21.9218009046699,13.7991730286639,17.998845378753,4.66545814139648,3.51195998192579,50.5855715937974,68.0148816837197,23.3401768850342,22.0781087464003
154,Aurora,IL,4767,2058,35.9970983619606,32.8754416231729,19.4446640601712,26.4431465611979,5.47160729941559,4.36419351863818,64.8658275815143,71.6884911008518,22.8988725484663,21.2129114582446
155,Blue Island,IL,22505,9325,36.7449729708655,34.8778794785386,20.3960837374877,29.4668544365399,4.8392231803474,4.06720993133796,60.2797268010845,65.6045243793353,20.4044496886328,18.325187310225
156,Chicago,IL,44681,19692,36.2324981655781,35.4484917683517,20.188629744335,28.2828181948956,4.58794092444195,3.92814705163456,65.9586979672109,70.0214505709286,22.4266721101661,20.1561267595557
158,Elgin,IL,14867,6373,36.361961898344,34.2974113849603,19.9796026824888,26.7310398759507,5.03860814111332,4.24883787504737,65.496780817086,71.3406892951132,24.1316382072484,20.1275048773622
161,Evanston,IL,22851,12039,38.5327581557134,34.6597348047022,20.0026066290285,24.3583954943498,5.37490592107461,4.42218374088553,63.8547064867214,71.1909140613039,19.7532306317404,16.6949912603009
163,Hinsdale,IL,9196,4634,36.9435427203991,34.8344019275867,18.0259928292498,23.8057148526362,5.532277667624,4.54354034575561,61.6765927432702,69.885714985244,21.2921716043834,20.211260454574
164,Joliet,IL,16398,6656,35.3127882309385,34.2734123962607,18.9233855764836,28.0556633588223,5.05486479699829,4.11961211746184,60.7968793351418,69.2984743502047,21.1829811320976,20.4954330066241
166,Melrose Park,IL,26504,12482,35.9797034636977,33.8640107029725,20.6041140267813,27.8571114353075,4.98759450363278,4.19652453090169,64.6489672122459,70.6827432154306,20.2597503749859,18.9582911157022
170,Peoria,IL,17141,8296,29.4362512349082,25.0128005393908,20.0573524786752,27.1775199261209,4.29471081090755,3.35510915705052,65.095470746122,73.0918106278953,23.2145357565967,23.3477365442859
171,Rockford,IL,17618,8402,30.611410479169,26.7732564453138,17.7999867868023,22.6082345653239,4.82122871952835,3.79235401365774,63.2140322379453,66.3712012778911,22.2967814105344,22.0533465983901
172,Springfield,IL,25752,11659,28.3356539071755,22.4122360008957,20.4223628979544,27.6051428446066,4.34868672561583,3.25230886754527,67.388299928623,76.9308022204516,24.845429428388,25.6240397511623
173,Urbana,IL,10191,4459,28.9212856805318,22.4032541999693,18.9641633833299,22.4551380543554,4.64316014045301,3.4419013131512,65.4258916283619,73.1283518774003,24.1966410659738,24.4620710571242
175,Bloomington,IL,4050,1719,30.8238343422279,22.1708516361381,17.7410199237349,21.2852766740679,5.0261760005527,3.36961433359824,67.292512372112,78.7372980784719,20.6343202011511,18.2497505834007
179,Evansville,IN,18993,8075,26.6566945642594,22.1317982197138,22.2305717689122,31.734714467116,4.04766313483778,3.08262471519683,73.0968883610639,81.7493305590285,30.2421060639014,30.6867566131346
180,Fort Wayne,IN,14803,7312,28.0137156369809,24.210354157602,17.5674192434587,20.652951777486,4.61411200834478,3.56243208321287,65.0600313589023,67.9372942696883,25.7057060625363,24.9551047989869
181,Gary,IN,15939,7575,32.5362658219407,30.5402221440829,18.4880350871367,26.1290358898034,4.4382804582831,3.73607148988611,56.5104690177776,63.6324700680417,24.0719444640629,23.2306894443028
183,Indianapolis,IN,59265,27899,30.2585534140832,27.5793450726173,20.2451048146889,25.5282214936315,4.86142222625111,3.99781479024123,59.5750074852298,61.917137983494,28.395611949094,28.3501518751232
184,Lafayette,IN,4836,2499,29.7351392842797,27.3736717969761,19.4269624525302,22.5014463979326,4.82454120202613,3.86461982537285,68.8753476226135,75.6450723470525,24.0136192945965,27.0902854357686
185,Muncie,IN,4835,2069,30.1555882533312,28.4800670875004,19.5018237772988,26.0625289489388,4.63134579689461,3.68306621805734,66.1546962679627,67.0417331538907,27.5798752936212,30.1049037066924
186,Munster,IN,9480,3563,35.6942306003078,34.5443767313879,18.9981057096216,29.5857085639443,4.75674565525015,4.00422077897135,53.1645174277803,61.9165099308016,20.8888815660096,18.8849934065438
187,South Bend,IN,14893,7601,30.644399418241,26.9078485056199,18.8457385796851,24.4623281120167,4.35206184633109,3.50325146088998,64.5783057921421,72.1698293937627,24.1164647188938,24.691466357122
188,Terre Haute,IN,6018,2392,30.0530475239032,26.6777827081377,19.8279774640749,28.9585251772039,4.29474455685768,3.35203620570555,57.8471746080561,71.815944869847,26.8380775570648,33.5679267229625
190,Cedar Rapids,IA,5647,2740,30.0091898852024,22.7786749398151,17.6211370071311,21.3610496412066,4.62927582966702,3.28630957880326,60.9796826654797,73.5244735645389,20.9973399634146,18.191418648668
191,Davenport,IA,12566,5256,31.4492833522809,24.8074651560315,16.3741084472274,20.198224792848,4.77939220375967,3.53971375757937,66.3680141902049,72.4326012134507,22.9047307268188,22.9438375857719
192,Des Moines,IA,23004,12023,28.3706235183437,22.0705016588481,17.7867836843571,20.0397269954883,4.74814648560067,3.42088962249602,63.9657954428764,70.363394125187,20.7781330723423,20.7201125993959
193,Dubuque,IA,2311,1113,30.5093956881306,21.3847133415804,19.9999172106519,25.286932070135,4.8260563481594,3.40624059531642,65.55832741313,77.6752015091315,22.5270400703865,22.0178574601161
194,Iowa City,IA,6847,3282,27.1278352608419,21.0011709957268,17.5868668222232,21.4625754001907,4.2155343192283,2.96337913542151,71.2602668891457,77.9496507040752,19.5253223021823,20.6734015739027
195,Mason City,IA,4124,1993,24.2419966777461,16.1861635919221,19.8244170658589,22.4639440954211,4.79242068819193,3.16142611783413,64.8154036355732,71.9324096097998,15.644902236613,14.1508505861696
196,Sioux City,IA,5475,2386,25.285685340198,17.61630601346,15.3385524609889,18.1046242366322,4.1012379265486,2.79267268210973,67.3086000631155,76.9606040741399,19.6074124527425,20.4520832077758
197,Waterloo,IA,5581,2507,28.1238735061908,20.7141555626411,16.5535285494021,20.1448932235755,5.1073284491909,3.67127132782714,61.4329235725838,67.5248197071862,22.106163280142,19.3270666026534
200,Topeka,KS,10630,5960,30.6672735390305,26.1857797827103,15.4801626972447,18.3519291072032,4.86881887410565,3.81722119960729,69.272355819783,77.5875283416193,22.4736570658101,22.4918485195109
201,Wichita,KS,31461,15061,30.4295500142331,24.7294187388744,17.1238354947048,20.8337658700858,4.34209603212242,3.42617048356391,68.1982284116927,72.6875602977452,25.1778067979725,25.1605709776679
203,Covington,KY,7502,3026,31.9852689872499,30.4872432104495,18.1452464905425,23.5229323362518,4.77934472342951,3.69578535286424,60.3923804817928,67.2953649700858,32.7547168819008,35.4400782350783
204,Lexington,KY,37543,15495,29.0186118499157,27.9063682938682,18.1515266501985,26.7458185503112,4.29761125110312,3.56834991072436,66.8540013902755,69.3520876091406,34.7684247923079,37.3406792025964
205,Louisville,KY,43037,18530,32.342705205098,30.1057506421083,20.3724356790192,27.6172434480796,4.88704730640502,4.11077172580901,61.0313767305173,63.3251131679375,33.3627599943601,35.0787148852136
207,Owensboro,KY,4584,1752,31.1497065697099,26.5183836361495,16.4225807191566,24.0702851243474,4.98574139979605,3.8317733580077,53.4341353463976,59.7754226782803,29.3692782539867,28.8189137466942
208,Paducah,KY,12683,5169,30.0364545509885,26.6483965873898,20.8593735923842,32.6192206771313,4.68700733819005,3.47551029478252,65.5547352641946,75.2345923225382,34.1928263830866,37.5873254482505
209,Alexandria,LA,8330,3430,29.5669337595588,28.2414300344331,24.1366024694327,37.3319721028786,3.96240105647697,3.26621489012929,61.9744854091818,68.8028585013261,38.8162452135249,39.4403631508857
210,Baton Rouge,LA,14418,6861,31.7449512369583,28.0001607592102,18.0790724554167,24.3614578524458,5.02352809975705,4.10092102899636,52.8160000981301,58.3965156650158,35.0904397637697,34.4154195980618
212,Houma,LA,6263,2561,30.2081801950991,25.5028827143991,16.205485189792,22.1768654365601,4.58617932770695,3.66994107362903,50.469519918114,59.1456375030755,32.2655456248114,30.8111347096624
213,Lafayette,LA,16102,6693,31.5975502379667,29.5482199067479,19.7933358088119,28.9667303366797,4.31752089189978,3.53163014087708,58.098998345752,60.6345058502989,32.1609796913137,30.2684067603115
214,Lake Charles,LA,6793,2665,31.7778516372626,29.8274206680722,19.7726733402254,30.2788032440193,4.34701824076237,3.54132486612872,60.9547096403335,67.9167939855095,35.7171086890577,39.7812483382214
216,Metairie,LA,7524,3294,33.5940587108416,31.2468915934715,17.5762131423956,26.3982609866344,4.87495841447537,3.90557271663739,43.9409833335438,54.8316394898798,33.2875088902374,33.1148954572148
217,Monroe,LA,7493,3366,32.2899452139567,30.0101524802226,25.4315908162102,37.6552382856583,4.2114188702312,3.35483020955359,71.8457539652807,76.4799008033792,40.2857039606313,40.0650273804882
218,New Orleans,LA,7381,3198,31.6635396636634,30.1582916157453,16.5700112131877,24.7474559686699,4.72941455528381,3.83419633133552,49.6934072389603,55.904101904715,29.2198812045202,28.3941358688418
219,Shreveport,LA,18071,8030,31.3670236421713,28.5260072292978,25.6792815614391,37.4087883059298,4.26775092060551,3.25810182628591,62.9485852148151,71.0727675234016,34.5093415302918,33.1192552098743
220,Slidell,LA,3583,1399,32.2757004300989,30.3059320004846,15.6989932866271,22.8067775509388,4.51659856679177,3.68081913960485,51.94631042711,59.1122299766277,33.5841307977946,32.5891657837688
221,Bangor,ME,10848,4217,23.8934677783767,18.7247158817539,16.1177537637201,18.8413119044145,3.68064318793197,2.79987502459476,62.4700265704432,67.6265454191048,24.4146539981049,24.7915254070868
222,Portland,ME,25112,11592,28.7154562048792,23.3477590358342,15.1940355412512,17.257552931076,4.73170667912092,3.72024155991415,65.150187881186,66.2171768303618,20.0296274772755,18.2889460327464
223,Baltimore,MD,60787,30242,33.920068274134,31.4090669824574,16.0749908660567,20.5561966597292,5.15867819778518,4.51337655628067,65.0752652735487,69.0606096719198,24.1306270468251,22.8654057738168
225,Salisbury,MD,16092,5599,33.7958277509853,30.6228509759147,14.26535918825,20.1715724220581,5.72357990684916,4.69913864309232,56.3016279571785,63.4248069266415,23.5617090164398,23.5334127364115
226,Takoma Park,MD,14858,7551,35.6521858656961,31.2724466805876,15.4243293826259,18.4709117057581,5.45971774266402,4.64286030652794,56.9540742365839,64.0321169963916,20.9124350783804,19.8971760689649
227,Boston,MA,106175,50288,35.1766385000613,32.3422948605408,20.3470131839294,26.9288337688082,5.33431457880238,4.32026276097856,58.3800728980672,60.8392088868881,17.8175135631106,17.0336652224728
230,Springfield,MA,17262,8152,33.1202841721529,29.5638445032825,19.1724333026366,25.6816129415674,5.29441594247323,4.17478090335875,68.3109597747239,70.1568502878357,19.3656612356477,18.0211482407008
231,Worcester,MA,11847,5689,33.1506881932328,30.6799517644553,19.4424477890421,25.1417085286185,5.06581166615041,4.13548434831893,63.6018782128884,65.3602432369942,18.1693579692712,18.5715411667254
232,Ann Arbor,MI,27496,12001,34.6676646674656,33.3011360978401,17.7974026173602,23.128066547852,5.2213816646125,4.64279327993492,68.3367204247613,69.8634446951383,20.2587467768097,19.9519311748674
233,Dearborn,MI,13743,5538,36.9702900385205,39.7758365287485,19.8340846030644,31.5193368637597,4.63347995839943,4.5466929726134,73.2632394461281,76.1953614257597,24.8423112573666,23.672656294622
234,Detroit,MI,46210,19634,36.4875592497601,36.6840371049968,17.512069907947,25.9072309194004,5.11115629133977,4.82251736634022,67.6521719420615,73.8400177712611,26.0866097248677,24.1605606789707
