State #,State name,Medicare enrollees (20% sample) (2007),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2007)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2007)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2007)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2007)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2007)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2007)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2007)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2007)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2007)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2007)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2007)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2007)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2007)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2007)"
17,Kansas,60434,7608.82,8285.29,3688.48,4170.12,2038.7,2113.2,1074.67,1148.22,246.09,259.53,300.54,328.12,256.99,260.35
18,Kentucky,87041,8406.78,9211.15,4370.06,4770.84,2092.18,2373.17,955.74,1021.41,472.39,509.29,208.07,223.71,311.79,312.01
19,Louisiana,74434,9553.85,10569.5,4614.94,5254.93,2206.96,2321.21,986.05,1079.83,1091.35,1210.27,331.04,374.06,295.55,295.72
20,Maine,35075,7307.72,7392.67,3711.34,3745.7,1574.82,1613.26,1259.04,1267.71,367.79,367.78,207.54,208.74,197.88,198.1
21,Maryland,102205,9293.74,8064.42,4962.49,3893.04,2594.53,2482.52,1119.71,1093.59,255.23,247.07,178.46,171.95,188.48,187.83
22,Massachusetts,116133,9592.57,8751.45,5119.31,4595.82,2252.08,2102.25,1185.29,1088.83,650.93,601.48,228.38,206.53,164.15,163.36
23,Michigan,196165,8909.32,8751.04,4403.68,4318.4,2471.98,2403.18,959.17,958.1,561.38,557.85,262.23,262.82,251.75,251.45
24,Minnesota,75422,6871.87,6902.2,3611.75,3589.5,1661.79,1736.58,1048.43,1027.18,188.23,180.66,171.45,170,184.64,188.49
25,Mississippi,60049,8450.72,9511.93,4035.63,4651.06,1916.32,2069.94,916.64,1019.18,671.32,752.76,584.84,694,330.85,331.76
26,Missouri,115805,7965.32,8616.59,4056.45,4482.12,1964,2051.57,1041.61,1112.9,346.67,368.03,292.9,332.79,260.79,264.91
27,Montana,21730,6569.14,7072.08,3086.32,3417.08,1616.49,1703.68,1174.66,1228.2,206.19,215.07,205.61,222.67,267.47,272.82
28,Nebraska,39134,7404.38,7828.2,3735.91,4023.51,1850.63,1917.44,1206.99,1248.28,201.11,204.38,178.48,195.11,238.66,243.81
29,Nevada,31502,8870.57,8615.73,4289.09,4215.99,2750.49,2681.12,679.07,638.26,550.84,507.23,311.92,279.84,293.12,291.69
30,New Hampshire,28914,7689.38,7343.98,3912.48,3681.98,1615.5,1604.72,1331.08,1260.05,457.12,437.1,204.14,187.47,187.84,188.23
31,New Jersey,175032,9794.5,8818.5,5090.36,4506.77,3198.43,2954.64,785.06,700.58,324.07,290.79,225.84,197.77,185.26,183.78
32,New Mexico,30760,6646.25,6914.51,3048.36,3141.73,1741.07,1834.59,833.52,864.04,361.24,377.63,376.33,407.2,289.86,293.52
33,New York,302319,9646.34,8395.6,5107.27,4204.46,3021.78,2797.8,787.68,727.66,404.58,362.02,141.39,125.38,203.53,202.4
34,North Carolina,171506,7717.16,7981.57,3729.95,3826.47,2109.59,2224.89,925.53,952.56,345.89,357.7,337.21,349.08,268.99,271.17
35,North Dakota,15933,6101.89,6979.74,3016.39,3566.75,1501.76,1626.48,1150.29,1307.24,132.71,149.24,115.25,136.33,200.66,206.98
36,Ohio,225342,8446.66,8888.01,4340.02,4645.06,2196.4,2292.99,989.47,1017.83,373.75,385.29,304.53,303.22,239.38,238.98
37,Oklahoma,74997,8583.72,9514.7,4029.97,4592.06,2030.13,2139.55,775.03,841.93,913.8,1000.84,588.11,693.45,286.27,289.43
38,Oregon,48570,6529.37,6385.01,3103.38,2985.58,1697.55,1729.82,938.08,893.42,263.45,250.06,293.25,289.7,225.46,227.39
39,Pennsylvania,221621,8483.7,8753.28,4352.48,4537.36,2329.92,2385.92,934.07,950.46,393.83,400.69,258.91,261.95,215,215.23
41,Rhode Island,14207,8294.28,7756.84,4206.2,3824.92,2302.18,2281.07,891.57,824.65,420.89,391.88,309.06,276.62,154.1,155.09
42,South Carolina,90581,7742.15,8187.11,3651.43,3892.03,2237.98,2384.92,844.62,871.96,344.52,354.3,417.67,442.53,256.88,253.91
43,South Dakota,19497,6262.67,6799.68,3182.47,3502.67,1547.65,1692.28,1038.54,1084.14,135.39,141.39,135.15,147.03,224.32,230.33
44,Tennessee,114586,8310.97,8941.99,4101,4526.8,2188.78,2303.35,783.55,828.59,669.21,712.45,274.09,279.19,305.11,303.75
45,Texas,346780,9442.33,9806.68,4327.02,4577.45,2509.52,2557.8,856.77,884.16,1045.96,1068.59,395.38,411.11,283.66,283.83
46,Utah,29234,7366.39,7731.21,3196.7,3422.23,1795.11,1849.51,861.23,884.38,639.94,655.02,571.71,621.89,327.97,330.34
47,Vermont,15074,7127.31,6641.59,3626.63,3098.12,1329.17,1393.42,1382.52,1357.15,479.1,476.65,172.7,174.44,164.6,165.99
49,Virginia,141148,7028.21,7479.51,3352.03,3686.18,2034.77,2098.66,845.86,871.16,340.77,354.56,235.68,249.26,218.11,218.56
50,Washington,103066,7207.5,6868.43,3531.57,3301.51,1989.26,1977.36,958.71,891.91,282.07,262.14,230.37,216.79,208.34,210.23
51,West Virginia,40133,7879.09,8626.25,4138.04,4596.97,1848.85,1993.64,1040.64,1127.99,281.87,307.81,273,298.93,292.98,296
52,Wisconsin,105071,7206.76,7346.06,3789.46,3852.94,1691.76,1774.15,1090.12,1080.23,197.93,195.15,253.37,253.24,181.72,185.16
53,Wyoming,11558,6562.14,6800.22,3375.63,3449,1539.22,1653.43,960.04,987.28,199.23,205.93,125.56,132.16,344.02,350.12
99,United States,5133054,8507.29,8507.29,4185.58,4185.58,2370.11,2370.11,920.06,920.06,495.52,495.52,291.14,291.14,244.88,244.88
