HRR Name,State,Percent of population that is obese (BMI of 30 or more) (2010),Percent of Medicare beneficiaries with type II diabetes (2010-11),"Bariatric surgery per 100,000 Medicare beneficiaries (2007-11)",Percent having primary care visit within 30 days following bariatric surgery (2007-11),Percent readmitted within 30 days following bariatric surgery (2007-11)
Rome,GA,29.1999999880791,27.327398338667,19.0372588011684,,
Savannah,GA,28,21.8952945165921,17.3759062943133,31.2758018203825,
Honolulu,HI,21.1999999880791,23.6767778699408,,,
Boise,ID,25.3999999761581,19.4867253609422,54.1458390953437,48.5662610674425,
Idaho Falls,ID,26.3999999761581,23.7496756718576,25.1097458438714,,
Aurora,IL,26.0999999642372,24.0182721383119,19.3267587605367,,
Blue Island,IL,24.0999999642372,22.8988838875921,21.7232052052873,35.7799445902439,
Chicago,IL,24,23.4174352789319,16.7885319579125,34.6808416010824,
Elgin,IL,25.5,22.5336679168251,44.8525511678392,42.5222825224356,
Evanston,IL,24,19.3570619202129,24.8653096657647,35.5850950274076,
Hinsdale,IL,24.5,20.9482472101482,21.8498993054171,,
Joliet,IL,26.7999999523163,24.4195364636629,47.5782512089607,31.8653060178114,
Melrose Park,IL,24.1999999880791,22.4864736407617,23.2470204124807,42.9615511329066,
Peoria,IL,27.2999999523163,22.1434590603826,25.4527707485612,38.4573401619536,
Rockford,IL,26.3999999761581,23.2758470487714,25.1709301242367,33.5295678930518,
Springfield,IL,27.6999999880791,23.7289810072962,17.0650211541722,45.2901057492117,
Urbana,IL,27.6999999880791,22.8948915236015,25.8259492859277,39.2958238317444,
Bloomington,IL,27,22.1718116609766,20.1193581307603,,
Evansville,IN,28.1999999880791,24.9318359819621,38.1362576993369,34.1985606919743,
Fort Wayne,IN,29.1999999880791,24.5787381700385,33.2964910948083,35.0644967964931,
Gary,IN,30.5999999642372,24.193486243212,29.0761910456485,45.1340090383378,
Indianapolis,IN,28.5999999642372,24.9383307462257,49.4311780179489,36.1055515060289,9.36267929362576
Lafayette,IN,28.0999999642372,25.5585723464899,38.6701380795085,,
Muncie,IN,30.3999999761581,26.3664145351328,56.1792301163891,37.1107107470013,
Munster,IN,29.8999999761581,26.1597970421724,24.6068526172825,,
South Bend,IN,29.1999999880791,23.8183454095049,27.0199850444887,29.3568518107904,
Terre Haute,IN,30,26.4669555761753,69.4898455047318,40.9660439923293,
Cedar Rapids,IA,28.5999999642372,22.7120279249202,9.26511268610943,,
Davenport,IA,27.0999999642372,22.1831575173877,17.1447625328457,,
Des Moines,IA,27.1999999880791,21.6480573761901,26.9728572722083,38.3780900501945,
Dubuque,IA,27.2999999523163,20.8396232392533,,,
Iowa City,IA,25.8999999761581,22.2486319118555,27.5944424904037,,
Mason City,IA,27.0999999642372,21.891759949195,72.9335774846284,39.850990513855,
Sioux City,IA,28.5999999642372,22.7875978830246,17.722331447908,,
Waterloo,IA,27.1999999880791,23.7076015942019,20.0598795052264,,
Topeka,KS,28.7999999523163,21.9365238705038,51.1721713777192,28.4387568053479,
Wichita,KS,29,22.4794416441691,19.4619821121889,39.0731161473007,
Covington,KY,28.3999999761581,25.2018162574981,40.8437516716293,42.7330880235102,
Lexington,KY,31.0999999642372,26.9356379765443,45.4248967546837,39.3175059241228,8.45684674665849
Louisville,KY,29,24.2064254296716,58.4491086944691,34.6305146806108,9.02108656194624
Owensboro,KY,29.5999999642372,28.5267830364498,52.9291977306409,39.7595366421879,
Paducah,KY,30,24.8606288300508,24.0525684990377,43.8766509480484,
Alexandria,LA,30.3999999761581,24.4272157974681,38.6978913867129,32.1869995219386,
Baton Rouge,LA,29.3999999761581,23.6326787637831,33.6525571450899,30.3888506160245,
Houma,LA,30.1999999880791,25.8322585603224,31.0016987477083,,
Lafayette,LA,28.6999999880791,24.3700149610177,36.9711182708755,23.4298328156579,
Lake Charles,LA,31.5999999642372,24.2086925981151,58.9730048318033,33.7406377419007,
Metairie,LA,29,23.4137305643194,53.3924760131856,37.5793502686939,
Monroe,LA,30,23.5253569828258,30.9986288646363,,
New Orleans,LA,28.2999999523163,22.5682787317482,34.7721927478269,27.7288732444489,
Shreveport,LA,29,22.1476570759146,19.8966925491219,25.7557877881067,
Slidell,LA,28,24.3291601650355,67.2685602785232,40.8968665017395,
Bangor,ME,27.8999999761581,24.3987347394822,34.6563361917041,31.1014564143022,
Portland,ME,24.1999999880791,21.7339095186586,27.8222479891789,39.7440310736517,
Baltimore,MD,27.5,22.4076572652579,19.1320174341915,38.1620362821313,
Salisbury,MD,29.6999999880791,24.6863922126471,19.7473676428509,36.6332724043355,
Takoma Park,MD,25.2999999523163,21.6017205814068,11.0139776662985,,
Boston,MA,22.0999999642372,21.5111156916672,39.2909688668565,37.7115626232311,10.7031529920829
Springfield,MA,24.5999999642372,23.0514838324876,24.4406351961101,42.9457819756879,
Worcester,MA,23.7999999523163,22.5180204504484,32.8144890775421,39.0761684183566,
Ann Arbor,MI,29.5999999642372,23.3058524271133,42.0974423494506,54.9711492197728,7.84737395217845
Dearborn,MI,33.1999999284744,29.3027367721411,37.2374838547684,59.180824123457,
Detroit,MI,31.3999999761581,25.0566165710257,41.4929585535814,54.2215995521017,7.26495873937515
Flint,MI,33,25.3058219093073,48.2066992740783,70.0796822466171,
Grand Rapids,MI,28.1999999880791,23.6360180797097,54.7417259911998,43.3874012597631,6.90593340887867
Kalamazoo,MI,28.8999999761581,23.8935013959683,35.4984421586174,41.5213859918112,
Lansing,MI,29.5,24.4331397641721,52.9445873348186,43.5908003628062,
Marquette,MI,29.5,22.5705290985524,77.708248559448,54.9055457182048,
Muskegon,MI,29.7999999523163,24.7087734226674,110.866253547166,70.8678119418303,
Petoskey,MI,29.7999999523163,23.4841719753718,57.42854789434,45.7673460583321,
Pontiac,MI,26,22.7210593484305,48.1477074844435,48.8161153785817,
Royal Oak,MI,26.2999999523163,23.2292316880614,45.685113356116,60.940224396489,
Saginaw,MI,31,25.1001438441199,51.0062504994202,59.9382269795087,
St. Joseph,MI,28.8999999761581,23.5537781139973,28.1327386743057,,
Traverse City,MI,28.6999999880791,23.1869694698413,61.5815445474268,41.0968239663214,
Duluth,MN,26.2999999523163,20.7043204199768,55.4146569170102,35.5294703822625,
Minneapolis,MN,25.5999999642372,19.0110296114794,41.7244594676774,39.2987826928886,9.87582950652103
Rochester,MN,27.2999999523163,19.3478740896402,34.878546370811,27.2603085971608,
St. Cloud,MN,27.1999999880791,19.48914251639,51.3959788998202,,
St. Paul,MN,26.2999999523163,19.4349573744437,36.6520314309208,45.3093128292188,
Gulfport,MS,31,23.2898858945121,46.3886730517443,33.7976873693727,
Hattiesburg,MS,33.8999999761581,24.5914389362926,34.0192615526086,34.9113790307329,
Jackson,MS,33.6999999284744,22.7022819656105,18.5507338934104,37.5628393372994,
Meridian,MS,34,24.509852792833,20.3009743191433,,
Oxford,MS,33,23.4699155179638,28.2426372101163,,
Tupelo,MS,31.7999999523163,24.8865366893085,23.947957116223,33.8176487038133,
Cape Girardeau,MO,29.7999999523163,26.7113112227072,36.0628189866263,51.1121682518223,
Columbia,MO,29.2999999523163,23.1713881684494,44.8731959627668,42.286607781099,
Joplin,MO,30.1999999880791,24.7069547110647,21.7024377941153,46.9393417232198,
Kansas City,MO,28.8999999761581,22.4117739613472,44.0341687274889,41.0000054256547,7.508198151196
Springfield,MO,29,22.1064268996483,37.8778982329771,37.9427860773392,
St. Louis,MO,28.8999999761581,23.7631277396186,43.5400161729794,39.9170540402487,9.53973897042375
Billings,MT,23.8999999761581,17.8390863444052,28.4215261509175,44.3072467907709,
Great Falls,MT,25.8999999761581,20.4631840747869,75.3350891122083,27.4578826235796,
Missoula,MT,21.0999999642372,16.57132112894,49.0209611700737,42.9506394595277,
Lincoln,NE,27.8999999761581,20.8986262270516,45.4829148169895,54.3719704225212,
Omaha,NE,28.0999999642372,21.3537319902007,38.4016270272035,62.7574694079947,
Las Vegas,NV,25.1999999880791,22.0114012530663,56.1947999462109,32.7559203843028,7.7847307183297
Reno,NV,22.7999999523163,16.6431664222378,38.5538856803031,38.378528059806,
Lebanon,NH,25.0999999642372,19.4414236677526,10.719290443374,,
Manchester,NH,24.1999999880791,21.1491571817089,18.7858408736437,27.0827472194651,
Camden,NJ,24.6999999880791,24.4064180533091,40.7322666427461,34.8074143725031,8.23336622471977
Hackensack,NJ,21.7999999523163,24.1350835139242,42.0483151708645,36.1994805389341,
Morristown,NJ,21.5999999642372,20.2740288630824,29.9193285192751,31.5378346817004,
New Brunswick,NJ,23,24.3890844522716,28.7040899009797,35.4220968809617,
Newark,NJ,23.5999999642372,24.7189869593807,44.4857764035461,36.9244277658653,
Paterson,NJ,24.1999999880791,23.8066568396034,38.0959088086688,32.5469665362171,
Ridgewood,NJ,22.7999999523163,21.6756534295266,39.3013191004371,29.3272905526541,
Albuquerque,NM,21.5,21.6746930024396,11.2578940090342,46.4807656179647,
Albany,NY,25.3999999761581,22.009967897851,30.7512940010427,43.81739635917,9.18776265215213
Binghamton,NY,26.5999999642372,22.6412213110297,20.8398080320769,,
Bronx,NY,24.5999999642372,25.6080172752702,20.1840450208468,26.9732602093515,
Buffalo,NY,27.0999999642372,22.4574484756891,29.7041108239126,29.5000245899807,
Elmira,NY,25.0999999642372,25.0376511243234,39.3874996774299,26.3460898721134,
East Long Island,NY,22.3999999761581,22.5920267404329,25.3012345238685,36.1012513542782,7.07557056189428
Manhattan,NY,21.6999999880791,23.1935872282957,19.4507038372756,32.9023382725718,7.22713002991621
Rochester,NY,26.0999999642372,23.2288552608248,29.0928464733858,37.383559162194,
Syracuse,NY,27,23.6279523329472,29.5946364337277,33.2925360166032,
White Plains,NY,20.6999999880791,20.8997342177937,36.5421226016867,39.0778045598713,
Asheville,NC,25.0999999642372,20.8761960311174,13.566743217561,31.2462446626454,
Charlotte,NC,27.0999999642372,24.5761882583861,11.5735729402884,46.216655937039,
Durham,NC,29.5,23.8153320483124,17.5480058785534,32.1297047659688,
Greensboro,NC,28.6999999880791,23.2226398756652,15.7416146164745,,
Greenville,NC,31.5999999642372,25.7671588982471,41.0009809056644,41.5158831721423,
Hickory,NC,27.5,27.1187108178591,15.6595459967375,,
Raleigh,NC,29.7999999523163,24.6145306567105,25.954865109725,41.2977070534657,8.55624572695466
Wilmington,NC,27.1999999880791,24.771797158506,23.2400620166391,28.2685898965133,
Winston-Salem,NC,27.2999999523163,24.9208356024855,9.36187206418694,,
Bismarck,ND,27.7999999523163,22.0351761770335,58.3102836963132,33.486366477322,
Fargo/Moorhead MN,ND,27.3999999761581,21.0886700968034,66.4995264735144,34.8330131938569,
Grand Forks,ND,29,20.8603554601989,58.2971494997242,,
Minot,ND,27.1999999880791,23.1711258770359,,,
Akron,OH,27.8999999761581,24.7747189059372,24.9696159406305,39.3325866936705,
Canton,OH,29.8999999761581,25.439103544703,22.9890421411939,39.5838671406857,
Cincinnati,OH,28.1999999880791,23.9455575818385,41.6325350194935,34.0108441145248,9.25741385331385
Cleveland,OH,28.1999999880791,23.1481691870907,29.4587182356644,37.274524968432,13.3433735591766
Columbus,OH,29.8999999761581,26.2717512264833,28.1847905813474,50.4793148283685,7.17228123967221
Dayton,OH,29.8999999761581,25.3055991557921,63.5847188195667,43.6209954086047,9.1177509114218
Elyria,OH,29.0999999642372,26.5218783608252,30.6883170554988,,
Kettering,OH,29.8999999761581,24.175558013359,83.7076054519591,41.7363685015843,
Toledo,OH,29.7999999523163,29.0440098088647,26.4190370120878,46.3237638340408,
Youngstown,OH,28.5,26.1453541987262,34.8847449647521,42.9018132294073,
Lawton,OK,29.5,25.9358721204748,57.3192288734245,29.8400738991097,
Oklahoma City,OK,28.8999999761581,22.7081109239055,35.3569694337278,24.7967795975746,10.7568873473423
Tulsa,OK,29.2999999523163,23.3146350165903,32.0234044826887,31.2067160572634,
Bend,OR,20.5999999642372,17.215053523241,73.9457078231771,37.6611141146276,
Eugene,OR,27.5,20.4131059414678,64.4141108330621,43.7113226339912,
Medford,OR,24.0999999642372,19.2648385381109,32.9855325077287,39.9144473674013,
Portland,OR,25.7999999523163,20.1091905400367,40.9899527204033,36.025653652761,7.46815187837757
Salem,OR,30.1999999880791,21.5338159551238,61.9547461957628,,
Allentown,PA,27.1999999880791,24.7764644505479,54.8956154253334,45.177069727114,6.87646573047216
Altoona,PA,29.3999999761581,27.2200329342481,34.25529944244,,
Danville,PA,27.2999999523163,25.6655102370915,55.851529687381,78.5749204956711,
Erie,PA,29.1999999880791,24.873483196354,54.5893729784938,53.9788755925952,
Harrisburg,PA,28.2999999523163,24.8956112109619,38.638041124108,44.7240498420991,
Johnstown,PA,30,25.6307975577915,29.3613216502937,,
Lancaster,PA,25.8999999761581,23.2123389256159,22.016785289205,,
Philadelphia,PA,25.5,20.8964539263246,24.0470022733065,42.2823574002659,8.1559201473887
Pittsburgh,PA,27.3999999761581,23.2045762187417,30.7278672412993,39.654259581013,9.41528866728848
Reading,PA,27.7999999523163,24.2860170642833,35.9874719093338,42.9323091182767,
Sayre,PA,28.3999999761581,24.0513551585713,39.9130988664738,,
Scranton,PA,25.5999999642372,23.6595003478466,24.5918600695878,,
Wilkes-Barre,PA,27.0999999642372,24.7873972635603,27.3774507407416,,
York,PA,28.6999999880791,24.8646919343057,49.9376299998071,54.9855098269392,
Providence,RI,23.0999999642372,22.272159545162,23.5645805690227,39.3386193304776,
Charleston,SC,28.8999999761581,22.686092766933,33.7313412655822,35.5526786854401,
Columbia,SC,31.0999999642372,23.500317283438,39.6700639334949,37.235987134136,7.25343523408837
Florence,SC,32.5999999046326,25.445987668548,18.978000543672,,
Greenville,SC,26.1999999880791,23.7938095125043,30.3073618903309,29.2285361196789,
Spartanburg,SC,29.7999999523163,23.5295931437249,43.7540121689302,30.6781042573317,
Rapid City,SD,26.6999999880791,18.4958964796895,29.0425416744677,,
Sioux Falls,SD,27.7999999523163,20.3798436867587,37.6576545634495,43.6784418710831,
Chattanooga,TN,29.1999999880791,25.7571840048562,19.5358346311047,43.1251777682829,
Jackson,TN,30.6999999880791,25.6609162240666,13.0338412284392,,
Johnson City,TN,28.7999999523163,24.1623715945722,27.5096130071108,,
Kingsport,TN,29.2999999523163,27.4730690721709,25.1270174122752,42.6494212183921,
Knoxville,TN,29.5,25.9057629771574,35.3842568916667,45.1802779875289,9.78033873843844
Memphis,TN,33.2999999523163,23.1825957013376,15.0089902102652,37.4987465274669,
Nashville,TN,29.6999999880791,24.5408526474765,30.7855393388842,48.5567125389727,10.1740595044848
Abilene,TX,26.5999999642372,22.0356007261872,29.1197021973069,,
Amarillo,TX,27.5,20.1642451088746,23.1261020127325,,
Austin,TX,23.0999999642372,21.3542799895374,48.109408055746,34.6625991076014,
Beaumont,TX,29.6999999880791,26.0980312726229,34.5210115824625,41.7565691495529,
Bryan,TX,26.5999999642372,22.1045665464063,28.7734226816932,,
Corpus Christi,TX,26.8999999761581,30.2721128593418,29.2230542797408,41.8250119807446,
Dallas,TX,26.8999999761581,22.6280305458475,55.8051365349001,36.7780773942154,8.37085162195868
El Paso,TX,23.8999999761581,27.3648687875244,25.2264382644522,33.3424221577723,
Fort Worth,TX,26.5999999642372,24.1520511780074,47.4636972416611,36.5790826834304,8.22353747336633
Harlingen,TX,26.0999999642372,38.4605681268018,28.2762307966063,,
Houston,TX,26.5,22.7055936274255,41.7188952722587,28.9323808754168,7.33493315888786
Longview,TX,29.0999999642372,22.9181495220295,49.8404946881789,36.7865511544789,
Lubbock,TX,26.6999999880791,23.8207017580634,17.0284318578963,35.9743938676839,
McAllen,TX,28.5,38.4618585433559,52.4932898663025,63.4910180590074,
Odessa,TX,27.2999999523163,23.4137923567274,9.71183401149164,,
San Angelo,TX,26.5999999642372,24.056306176195,18.1042485193303,,
San Antonio,TX,26.2999999523163,26.8943961390785,30.0909466645937,36.3445032951594,4.3000795550894
Temple,TX,27.5,24.1668078580667,31.0885779866308,40.4460696001798,
Tyler,TX,27.5,23.2149029416932,64.1599160063297,32.4984932861637,
Victoria,TX,27.5999999642372,27.9524741240918,54.3308452791014,,
Waco,TX,30.2999999523163,22.758507588506,30.1498306977511,,
Wichita Falls,TX,26.5999999642372,24.7647900620639,72.9165002372828,20.0754731284422,
Ogden,UT,25,23.052845409985,31.8507104620981,,
Provo,UT,24.7999999523163,21.7456583611787,36.4627645204658,,
Salt Lake City,UT,23.8999999761581,20.3997319808859,32.4875938906905,38.4871498451153,
Burlington,VT,23.5,22.6480086087079,24.6596614725367,28.8173567243234,
Arlington,VA,23.1999999880791,18.6470650444906,12.173749196105,42.6880870167737,
Charlottesville,VA,26.3999999761581,23.6196424635473,16.7476852714502,,
Lynchburg,VA,28.3999999761581,24.0150916202262,14.2492455569133,,
Newport News,VA,29.5,21.8164445777975,23.5509349963881,35.4717069761043,
Norfolk,VA,27.5999999642372,24.5853012676947,32.7130162576704,40.3440202005438,
Richmond,VA,28.1999999880791,22.5551521283665,20.500201705003,42.096918126419,
Roanoke,VA,27.5999999642372,25.5209575389093,12.8133679459254,41.6042872435904,
Winchester,VA,29.5999999642372,24.1789772507094,21.3234085304027,,
Everett,WA,27,19.6636296904196,36.8445986442379,46.4843784180736,
Olympia,WA,29.1999999880791,19.8611714810058,28.616326752762,30.8401733229705,
Seattle,WA,22.7999999523163,18.6975852344554,30.7429355487686,43.7899055557018,9.49176267212861
Spokane,WA,26.6999999880791,21.1715454997979,37.1355944517251,36.2875512893531,9.39171741901331
Tacoma,WA,29,21.1364591487197,33.6030279046784,41.2744556300027,
Yakima,WA,28.0999999642372,23.4081567398936,27.8996296527265,,
Charleston,WV,31.0999999642372,27.9578291399995,32.9807318888904,32.6063962504403,
Huntington,WV,32.6999999284744,28.84114799519,49.8623072170589,36.3856273130028,
Morgantown,WV,30,26.371110963814,23.8235680640543,56.5806313260782,
Appleton,WI,27.3999999761581,22.7928640483606,24.1705695700058,,
Green Bay,WI,27.7999999523163,22.2383440371618,19.9477471972154,,
La Crosse,WI,27,20.6681628023699,30.9716579478782,,
Madison,WI,26.2999999523163,20.5034474809464,22.9493308184207,30.6740866284579,
Marshfield,WI,28,22.3499019683497,39.9059985511398,57.0186652394581,
Milwaukee,WI,27.6999999880791,21.9488600893904,26.662212786209,33.3926892985348,8.23883898331356
Neenah,WI,26.8999999761581,21.9927749238665,31.7949281319024,,
Wausau,WI,27.5999999642372,21.7831830529452,42.7455086068734,,
Casper,WY,25.5,17.4435337321397,58.1837339734346,50.132498410882,
United States average,,25.8999999761581,23.0033952418332,32.7662963728885,39.5211207482003,8.33575877524885
