Medicare Severity Diagnostic-Related Group code,Medicare Severity Diagnostic-Related Group label,# of records with this Medicare Severity Diagnositic-Related Group code in 2007,# of people with this Medicare Severity Diagnotic-Related Group code in 2007,# of records with this Medicare Severity Diagnositic-Related Group code in 2008,# of people with this Medicare Severity Diagnotic-Related Group code in 2008,# of records with this Medicare Severity Diagnositic-Related Group code in 2009,# of people with this Medicare Severity Diagnotic-Related Group code in 2009,# of records with this Medicare Severity Diagnositic-Related Group code in 2010,# of people with this Medicare Severity Diagnotic-Related Group code in 2010,# of records with this Medicare Severity Diagnositic-Related Group code in 2011,# of people with this Medicare Severity Diagnotic-Related Group code in 2011,# of records with this Medicare Severity Diagnositic-Related Group code in 2012,# of people with this Medicare Severity Diagnotic-Related Group code in 2012,# of records with this Medicare Severity Diagnositic-Related Group code in 2013,# of people with this Medicare Severity Diagnotic-Related Group code in 2013,# of records with this Medicare Severity Diagnositic-Related Group code in 2014,# of people with this Medicare Severity Diagnotic-Related Group code in 2014
20,"Intracranial Vascular Procedures with Principal Diagnosis of
Hemorrhage with MCC",282,282,1012,1007,1099,1092,1110,1109,1213,1212,1247,1242,1195,1192,1249,1245
21,"Intracranial Vascular Procedures with Principal Diagnosis of
Hemorrhage with CC",122,122,444,443,437,436,421,420,437,437,449,445,352,351,345,344
22,"Intracranial Vascular Procedures with Principal Diagnosis of
Hemorrhage without CC/MCC",53,53,130,130,130,128,137,136,116,115,113,113,103,103,94,93
23,"Craniotomy with Major Device Implant/Acute Complex Central
Nervous System Principal Diagnosis with MCC or Chemo
Implant",1094,1089,4160,4150,4454,4429,4731,4712,4847,4828,5397,5370,5234,5206,5494,5467
24,"Craniotomy with Major Device Implant/Acute Complex Central
Nervous System Principal Diagnosis without MCC",574,572,1831,1814,1623,1613,1646,1637,1859,1834,1744,1734,1787,1775,1898,1888
25,"Craniotomy and Endovascular Intracranial Procedures with
MCC",2421,2403,10571,10388,11975,11771,13130,12876,14350,14081,15530,15195,15912,15537,16863,16451
26,"Craniotomy and Endovascular Intracranial Procedures with
CC",2787,2754,11257,10971,10681,10384,10055,9809,10030,9788,9330,9123,8442,8239,7975,7809
27,"Craniotomy and Endovascular Intracranial Procedures without
CC/MCC",2994,2922,12315,11727,12190,11612,11671,11130,11201,10752,10838,10352,10606,10144,10167,9716
28,Spinal Procedures with MCC,457,454,1865,1840,1924,1899,1984,1956,2000,1970,2061,2032,1877,1844,1846,1833
29,Spinal Procedures with CC or Spinal Neurostimulator,859,855,3287,3212,3365,3291,3639,3557,3806,3721,3897,3815,3607,3536,3291,3246
30,Spinal Procedures without CC/MCC,806,797,3367,3283,3359,3274,3463,3380,3355,3268,3251,3178,3043,2972,2627,2576
31,Ventricular Shunt Procedures with MCC,301,294,1143,1102,1224,1187,1302,1257,1306,1255,1087,1042,990,960,996,949
32,Ventricular Shunt Procedures with CC,644,637,2725,2545,2633,2448,2515,2342,2470,2332,2423,2293,2273,2161,2154,2036
33,Ventricular Shunt Procedures without CC/MCC,805,803,3206,3154,3270,3199,3036,2990,2827,2793,2895,2858,2881,2846,2641,2605
34,Carotid Artery Stent Procedure with MCC,217,216,861,854,963,955,946,940,842,833,851,841,782,774,714,705
35,Carotid Artery Stent Procedure with CC,601,594,2227,2203,2121,2092,2201,2166,2469,2432,2289,2255,2211,2180,1952,1924
36,Carotid Artery Stent Procedure without CC/MCC,1511,1486,5631,5467,5651,5485,5551,5367,5653,5480,5070,4921,4661,4545,3702,3588
37,Extracranial Procedures with MCC,1269,1264,5429,5365,5485,5422,5401,5327,4854,4791,4619,4559,4255,4205,4181,4121
38,Extracranial Procedures with CC,3582,3553,13560,13316,13181,12922,12466,12256,12545,12325,12008,11783,11751,11534,11437,11252
39,Extracranial Procedures without CC/MCC,11509,11278,44676,42808,42119,40295,39480,37808,36576,35031,33791,32372,31175,29976,29521,28296
40,"Peripheral/Cranial Nerve and Other Nervous System
Procedures with MCC",1378,1368,5562,5519,5601,5552,5598,5552,4958,4913,4829,4787,4470,4438,4431,4399
41,"Peripheral/Cranial Nerve and Other Nervous System
Procedures with CC or Peripheral Neurostimulator",1892,1875,7081,6959,6649,6540,6438,6322,6939,6806,6607,6501,5883,5785,5968,5887
42,"Peripheral/Cranial Nerve and Other Nervous System
Procedures without CC/MCC",983,979,3977,3927,3680,3642,3359,3323,3007,2978,2736,2707,2291,2268,2257,2244
52,Spinal Disorders and Injuries with CC/MCC,897,801,2994,2640,2513,2226,2669,2418,2714,2394,2638,2348,2371,2157,2334,2100
53,Spinal Disorders and Injuries without CC/MCC,652,602,1985,1756,1854,1638,1880,1680,1815,1627,1577,1435,1357,1243,1217,1121
54,Nervous System Neoplasms with MCC,1840,1748,7604,7036,8484,7843,9633,8843,10364,9496,11451,10441,11272,10337,12093,11004
55,Nervous System Neoplasms without MCC,4595,4063,16853,14340,14867,12802,13433,11742,12509,11040,11287,10033,9668,8692,8631,7747
56,Degenerative Nervous System Disorders with MCC,6600,6251,23626,21937,22353,20749,21605,20091,19481,18108,18673,17394,18022,16785,18181,16781
57,Degenerative Nervous System Disorders without MCC,36749,32686,125260,103871,117529,98007,113080,94957,113380,95569,101520,86277,86809,74533,82972,71155
58,Multiple Sclerosis and Cerebellar Ataxia with MCC,453,419,1563,1368,1423,1262,1459,1281,1358,1182,1268,1121,1209,1095,1282,1133
59,Multiple Sclerosis and Cerebellar Ataxia with CC,1075,975,4039,3335,3958,3293,4070,3363,4466,3676,4168,3462,3702,3095,3743,3151
60,Multiple Sclerosis and Cerebellar Ataxia without CC/MCC,1418,1266,5092,4038,4789,3799,4882,3919,5014,4009,4612,3776,4173,3372,4026,3311
61,"Acute Ischemic Stroke with Use of Thrombolytic Agent with
MCC",452,452,2102,2099,2516,2515,3004,3004,3270,3268,3603,3599,3984,3978,4279,4271
62,"Acute Ischemic Stroke with Use of Thrombolytic Agent with
CC",706,705,2959,2956,3488,3479,4306,4292,5140,5127,5649,5625,6232,6209,6691,6666
63,"Acute Ischemic Stroke with Use of Thrombolytic Agent without
CC/MCC",289,289,1158,1157,1328,1326,1493,1493,1568,1566,1772,1770,1967,1965,2222,2219
64,Intracranial Hemorrhage or Cerebral Infarction with MCC,17619,16993,70787,67463,73295,69908,74452,70976,71839,68453,72752,69314,71322,67954,73764,70166
65,"INTRACRANIAL HEMORRHAGE OR CEREBRAL
INFARCTION W CC OR TPA IN 24 HRS",31060,29392,115956,107867,110887,103374,113551,105955,120570,112374,117531,109515,110439,103009,109655,102048
66,"Intracranial Hemorrhage or Cerebral Infarction without
CC/MCC",22489,21501,82016,77396,76991,72994,75650,71700,73491,69684,70866,67336,64614,61527,61253,58339
67,"Nonspecific Cerebrovascular Accident and Precerebral
Occlusion without Infarction with MCC",1434,1315,4743,4285,4110,3753,3707,3433,3103,2803,2965,2708,2755,2495,2640,2407
68,"Nonspecific Cerebrovascular Accident and Precerebral
Occlusion without Infarction without MCC",11122,10229,33886,30052,29193,26059,26229,23524,24150,21774,21308,19361,17879,16406,17131,15704
69,TRANSIENT ISCHEMIA,27093,25949,103627,97185,98544,92590,97970,92355,97891,92367,93726,88758,76811,72895,66943,63599
70,Nonspecific Cerebrovascular Disorders with MCC,2786,2702,12271,11802,14409,13799,16078,15352,15144,14406,14996,14290,14387,13740,15740,14996
71,Nonspecific Cerebrovascular Disorders with CC,3320,3240,13219,12709,12994,12490,15402,14746,19652,18795,19599,18687,18408,17507,19261,18416
72,Nonspecific Cerebrovascular Disorders without CC/MCC,1961,1889,7342,6991,7181,6857,7895,7542,8865,8440,8388,8052,7674,7340,8130,7726
73,Cranial and Peripheral Nerve Disorders with MCC,2876,2586,11793,9489,12466,9918,12518,9734,10296,7948,9893,7565,8423,6643,8216,6527
74,Cranial and Peripheral Nerve Disorders without MCC,9032,8246,33977,29204,31580,26990,31863,27021,34041,28487,31280,26303,25385,21974,24011,20734
75,Viral Meningitis with CC/MCC,339,320,1359,1304,1373,1321,1476,1420,1568,1484,1637,1584,1447,1398,1371,1323
76,Viral Meningitis without CC/MCC,206,199,762,736,680,654,733,701,728,705,701,686,615,600,480,460
77,Hypertensive Encephalopathy with MCC,412,403,1685,1626,1871,1799,2021,1919,1791,1703,1906,1836,1714,1643,1882,1801
78,Hypertensive Encephalopathy with CC,423,417,1709,1673,1842,1809,2123,2081,2723,2652,2933,2866,2790,2712,2931,2877
79,Hypertensive Encephalopathy without CC/MCC,277,271,908,881,845,832,908,883,969,951,1009,986,816,807,742,730
80,Nontraumatic Stupor and Coma with MCC,688,675,2456,2393,2560,2498,2610,2550,2210,2174,1913,1884,1659,1629,1369,1337
81,Nontraumatic Stupor and Coma without MCC,2227,2169,8149,7850,7589,7310,7263,7085,7952,7759,6826,6643,5046,4929,4461,4363
82,"Traumatic Stupor and Coma, Coma Greater Than 1 Hour with
MCC",588,582,2403,2388,2672,2646,2769,2738,2992,2968,3039,3018,2785,2773,2880,2864
83,"Traumatic Stupor and Coma, Coma Greater Than One Hour
with CC",663,656,2466,2429,2510,2490,2631,2598,2831,2792,2907,2879,2473,2454,2487,2453
84,"Traumatic Stupor and Coma, Coma Greater Than One Hour
without CC/MCC",716,709,2649,2616,2644,2623,2645,2615,2696,2664,2667,2643,2148,2125,2152,2133
85,"Traumatic Stupor and Coma, Coma Less Than One Hour with
MCC",2031,1975,8395,8094,9229,8883,9963,9598,9805,9475,10619,10231,10413,10060,11229,10883
86,"Traumatic Stupor and Coma, Coma Less Than One Hour with
CC",3772,3625,14248,13526,14564,13927,15829,15117,17489,16730,17944,17194,16588,15991,16707,16078
87,"Traumatic Stupor and Coma, Coma Less Than One Hour
without CC/MCC",3995,3817,14800,13989,15655,14802,15924,15139,16130,15392,15656,14946,14390,13807,14048,13521
88,Concussion with MCC,250,249,1156,1134,1076,1063,1059,1049,971,963,933,922,843,834,895,884
89,Concussion with CC,785,776,3139,3099,3028,2982,2997,2977,3213,3167,2936,2905,2361,2341,2170,2151
90,Concussion without CC/MCC,881,864,3059,3008,2795,2748,2646,2604,2373,2335,2248,2221,1598,1578,1471,1449
91,Other Disorders of Nervous System with MCC,4137,3959,15888,15016,15344,14538,15609,14875,14240,13452,15052,14306,14534,13894,15180,14486
92,Other Disorders of Nervous System with CC,7571,7219,27199,25656,25211,23781,25269,23931,27409,26020,27487,26296,24286,23203,24269,23194
93,Other Disorders of Nervous System without CC/MCC,9611,9038,32631,29850,30154,27520,27941,25663,24781,23103,21971,20723,18096,17104,17056,16188
94,"Bacterial and Tuberculous Infections of Nervous System with
MCC",488,460,2076,1858,1963,1778,1889,1706,1834,1623,1776,1597,1630,1488,1675,1528
95,"Bacterial and Tuberculous Infections of Nervous System with
CC",435,397,1499,1312,1432,1285,1354,1227,1599,1427,1486,1372,1403,1288,1310,1185
96,"Bacterial and Tuberculous Infections of Nervous System
without CC/MCC",298,270,985,866,895,808,914,809,825,731,815,750,749,686,751,682
97,"Nonbacterial Infections of Nervous System Except Viral
Meningitis with MCC",379,361,1533,1425,1523,1408,1589,1480,1484,1382,1610,1517,1530,1444,1478,1382
98,"Nonbacterial Infections of Nervous System Except Viral
Meningitis with CC",326,304,1231,1109,1162,1061,1178,1059,1370,1254,1284,1180,1146,1071,1155,1074
99,"Nonbacterial Infections of Nervous System Except Viral
Meningitis without CC/MCC",205,190,782,714,674,622,697,655,754,697,713,672,624,581,576,545
100,Seizures with MCC,5388,5112,21494,19435,22918,20637,23748,21315,23364,21000,24173,21754,21907,19675,21941,19754
101,Seizures without MCC,16267,14716,60640,50904,59415,50027,60010,50611,61069,51564,57832,49362,47855,41407,44364,38461
102,Headaches with MCC,367,359,1355,1302,1541,1484,1702,1643,1560,1502,1516,1467,1344,1311,1346,1299
103,Headaches without MCC,3286,3145,13223,12021,12583,11455,13562,12322,14006,12746,13290,12216,10761,9926,10332,9498
113,Orbital Procedures with CC/MCC,170,170,637,633,626,622,650,643,619,618,642,639,566,563,562,559
114,Orbital Procedures without CC/MCC,114,114,471,468,398,396,371,370,417,414,342,340,266,266,260,260
115,EXTRAOCULAR PROCEDURES EXCEPT ORBIT,252,251,1049,1034,845,838,842,835,810,807,860,844,750,737,694,688
116,Intraocular Procedures with CC/MCC,133,130,542,525,476,466,493,481,440,438,451,438,389,382,336,334
117,Intraocular Procedures without CC/MCC,287,281,783,764,570,557,478,475,407,404,359,357,291,287,188,188
121,Acute Major Eye Infections with CC/MCC,220,216,818,785,805,760,869,837,830,791,873,827,778,738,604,569
122,Acute Major Eye Infections without CC/MCC,162,154,613,573,579,552,550,523,537,518,465,441,472,456,296,275
123,NEUROLOGICAL EYE DISORDERS,754,736,2850,2795,2808,2762,3066,3005,3127,3059,3222,3163,2901,2850,2747,2701
124,Other Disorders of the Eye with MCC,320,312,1067,1022,1199,1160,1278,1240,1064,1013,1024,995,926,905,918,891
125,Other Disorders of the Eye without MCC,1613,1544,5497,5183,5360,5084,5248,5000,5433,5203,5223,4989,4378,4216,3990,3833
129,"Major Head and Neck Procedures with CC/MCC or Major
Device",427,425,1516,1513,1516,1511,1548,1533,1608,1597,1561,1557,1491,1485,1488,1471
130,Major Head and Neck Procedures without CC/MCC,258,257,959,952,1009,1002,1010,1005,1081,1071,1053,1042,1006,1000,930,925
131,Cranial/Facial Procedures with CC/MCC,255,255,1002,996,1179,1176,1141,1134,1230,1220,1194,1181,1076,1071,1060,1048
132,Cranial/Facial Procedures without CC/MCC,215,215,828,826,725,719,744,741,776,769,702,693,620,616,561,560
133,"Other Ear, Nose, Mouth and Throat O.R. Procedures with
CC/MCC",532,528,2212,2179,2231,2208,2329,2296,2383,2358,2302,2263,2150,2121,2124,2095
134,"Other Ear, Nose, Mouth and Throat O.R. Procedures without
CC/MCC",751,748,2802,2766,2570,2542,2440,2411,2295,2266,2139,2108,1845,1804,1552,1536
135,Sinus and Mastoid Procedures with CC/MCC,96,96,393,384,457,454,444,433,400,395,386,376,364,358,331,326
136,Sinus and Mastoid Procedures without CC/MCC,125,123,385,379,336,332,349,343,283,281,249,247,216,216,200,199
137,Mouth Procedures with CC/MCC,193,193,867,865,910,907,992,986,953,946,1008,1003,944,943,870,861
138,Mouth Procedures without CC/MCC,211,211,820,806,770,766,742,737,790,783,676,671,581,577,531,528
139,SALIVARY GLAND PROCEDURES,391,390,1431,1424,1360,1355,1218,1208,1042,1038,905,901,773,770,552,552
144,,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,"Ear, Nose, Mouth and Throat Malignancy with MCC",349,328,1271,1144,1158,1056,1094,1000,1043,965,1005,907,910,825,982,887
147,"Ear, Nose, Mouth and Throat Malignancy with CC",612,557,2015,1793,1847,1622,1760,1558,1812,1604,1774,1595,1386,1266,1376,1256
148,"Ear, Nose, Mouth and Throat Malignancy without CC/MCC",469,419,1504,1299,1322,1192,1319,1160,1180,1047,978,884,805,728,740,679
149,DYSEQUILIBRIUM,10017,9613,37970,36125,36284,34642,36304,34725,33790,32393,29807,28587,23517,22596,22009,21111
150,Epistaxis with MCC,357,345,1441,1378,1616,1555,1682,1624,1356,1300,1363,1299,1275,1236,1262,1212
151,Epistaxis without MCC,1765,1693,6324,5951,5926,5604,6135,5770,5849,5563,5357,5074,4530,4330,4111,3905
152,Otitis Media and Upper Respiratory Infection with MCC,595,583,4068,3976,4347,4272,2792,2726,3168,3098,3166,3109,5097,5020,5748,5669
153,Otitis Media and Upper Respiratory Infection without MCC,2904,2832,20495,19701,15458,15006,11598,11237,16068,15594,15091,14687,19314,18710,18764,18298
154,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W
MCC",777,750,3005,2926,3235,3153,3261,3162,2918,2842,2802,2732,2392,2334,2298,2243
155,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W
CC",1472,1439,5818,5635,5958,5767,6037,5846,6408,6219,6259,6100,5200,5034,4972,4846
156,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O
CC/MCC",1290,1255,4779,4607,4143,3986,4098,3947,3733,3627,3415,3325,2805,2726,2511,2429
157,Dental and Oral Diseases with MCC,411,402,1693,1665,1813,1786,1821,1777,1609,1581,1680,1650,1500,1480,1480,1464
158,Dental and Oral Diseases with CC,957,932,3836,3731,3733,3638,4080,3967,4008,3919,3940,3841,3410,3340,3124,3050
159,Dental and Oral Diseases without CC/MCC,603,587,2232,2165,1767,1715,1858,1811,1809,1755,1726,1676,1351,1318,1264,1232
163,Major Chest Procedures with MCC,3521,3512,14417,14281,14020,13905,13698,13576,12630,12528,12274,12164,11257,11148,10505,10411
164,Major Chest Procedures with CC,4481,4459,18072,17881,17687,17479,17410,17232,18035,17858,17572,17407,16734,16564,16339,16153
165,Major Chest Procedures without CC/MCC,2775,2765,10923,10814,10673,10568,10557,10448,10661,10554,9888,9776,9970,9887,9630,9525
166,Other Respiratory System O.R. Procedures with MCC,6464,6420,26570,26114,25908,25438,24082,23686,22747,22314,21439,21121,19771,19396,18834,18514
167,Other Respiratory System O.R. Procedures with CC,4745,4717,18444,18257,16916,16747,15749,15600,16117,15952,14894,14725,13279,13122,11638,11534
168,Other Respiratory System O.R. Procedures without CC/MCC,1224,1216,4667,4616,4274,4235,3847,3811,3689,3642,3315,3286,2850,2823,2557,2539
172,,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0
175,Pulmonary Embolism with MCC,4185,4056,16994,16313,17911,17288,19342,18631,18091,17464,18731,18059,18329,17720,18920,18268
176,Pulmonary Embolism without MCC,10630,10017,39735,37112,38946,36440,41773,39236,44668,41986,44817,42209,40810,38706,38912,37020
177,Respiratory Infections and Inflammations with MCC,20049,18801,88517,79233,86245,77688,85312,76847,79449,71965,76537,69544,74273,67832,70069,64038
178,Respiratory Infections and Inflammations with CC,18791,17503,74575,65910,68191,60060,66538,59057,70119,62725,62637,56293,55027,49905,46837,42872
179,Respiratory Infections and Inflammations without CC/MCC,7039,6521,26349,23686,23283,20921,22503,20388,21228,19372,18603,17099,15966,14774,13847,12876
180,Respiratory Neoplasms with MCC,6568,6156,25778,23525,24179,22146,24173,22190,22513,20756,21994,20215,20368,18741,20115,18588
181,Respiratory Neoplasms with CC,8494,7745,30926,27251,27502,24653,26235,23363,25385,22841,23417,21188,20032,18218,18459,16835
182,Respiratory Neoplasms without CC/MCC,2360,2197,7949,7236,7132,6493,6324,5787,5778,5334,4924,4624,3989,3733,3411,3222
183,Major Chest Trauma with MCC,779,756,3165,3077,3228,3147,3245,3144,3262,3201,3299,3225,3153,3088,3516,3423
184,Major Chest Trauma with CC,1423,1373,5216,5056,5366,5222,5854,5691,6664,6501,7479,7265,6533,6353,7249,7065
185,Major Chest Trauma without CC/MCC,871,823,3040,2872,3017,2865,2790,2664,2978,2830,3008,2843,2592,2487,2714,2575
186,Pleural Effusion with MCC,2982,2833,12367,11458,12860,11862,12429,11457,11733,10831,11698,10787,11415,10542,11323,10410
187,Pleural Effusion with CC,3038,2871,11532,10728,11055,10280,11037,10280,11379,10544,11188,10342,10119,9429,9530,8888
188,Pleural Effusion without CC/MCC,1654,1539,5877,5423,5575,5108,5186,4783,4810,4462,4429,4140,3866,3651,3583,3364
189,Pulmonary Edema and Respiratory Failure,36839,33025,150847,124532,121498,100421,125072,103212,136486,111978,141156,116387,144062,120113,151658,125893
190,Chronic Obstructive Pulmonary Disease with MCC,30378,28695,150089,131381,164684,142135,164794,142027,165627,142717,157837,136717,152295,132443,141439,122704
191,Chronic Obstructive Pulmonary Disease with CC,36872,33945,158139,132972,151143,126365,152941,127846,169045,141146,156557,131327,136718,117010,122538,105351
192,Chronic Obstructive Pulmonary Disease without CC/MCC,49411,44500,197509,159467,173089,140434,161519,131958,154605,127081,134699,112460,111520,95199,93923,80915
193,Simple Pneumonia and Pleurisy with MCC,29713,28353,137908,128366,153983,143098,157757,146498,147282,136290,147421,136674,150893,140092,146019,135676
194,Simple Pneumonia and Pleurisy with CC,62420,58777,253073,228899,221604,201380,217739,198249,243021,221389,223700,204903,205422,189314,181444,167262
195,Simple Pneumonia and Pleurisy without CC/MCC,41879,38959,166978,150664,144657,131138,136532,124112,135536,123406,120538,110655,108351,100077,92597,85704
196,Interstitial Lung Disease with MCC,1864,1796,7547,6980,8001,7327,7990,7331,7821,7171,7942,7221,7491,6803,7408,6749
197,Interstitial Lung Disease with CC,1944,1871,7137,6591,6506,6066,6289,5896,6488,6088,5956,5510,5113,4808,4541,4264
198,Interstitial Lung Disease without CC/MCC,1227,1161,4350,4002,3890,3589,3760,3453,3368,3130,2847,2646,2378,2231,2040,1919
199,Pneumothorax with MCC,1068,1029,4356,4154,4400,4203,4596,4406,4289,4076,4364,4164,4281,4066,4377,4148
200,Pneumothorax with CC,2287,2217,8496,8105,8612,8280,8604,8276,9147,8789,8548,8238,8143,7832,7842,7552
201,Pneumothorax without CC/MCC,922,863,3407,3172,3189,2983,3474,3301,3331,3153,3190,3001,2679,2553,2602,2486
202,Bronchitis and Asthma with CC/MCC,8798,8515,43108,40649,42670,40135,41531,39073,44063,41353,41577,39137,39818,37596,34853,32896
203,Bronchitis and Asthma without CC/MCC,9189,8765,40500,37287,33907,31250,31030,28609,30461,28263,26717,24951,23107,21699,18917,17788
204,Respiratory Signs and Symptoms,8982,8734,33077,31524,31631,30246,30771,29475,29690,28339,26423,25222,22143,21260,20613,19698
205,Other Respiratory System Diagnoses with MCC,2354,2278,9254,8732,9584,9092,9811,9311,9590,9055,9406,8897,8458,8016,8617,8117
206,Other Respiratory System Diagnoses without MCC,6835,6532,25480,24055,23762,22481,23470,22200,23560,22418,21428,20450,18076,17257,17147,16349
207,"Respiratory System Diagnosis with Ventilator Support 96+
Hours",12296,11773,53112,48504,52196,47410,49715,45034,49769,44979,46834,42471,42660,38808,39141,35638
208,"Respiratory System Diagnosis with Ventilator Support <96
Hours",18962,18328,79286,73955,76426,71064,74193,68818,75659,70167,72841,67571,66319,61831,61894,57556
215,OTHER HEART ASSIST SYSTEM IMPLANT,32,32,147,146,166,164,153,152,191,189,254,249,256,256,246,239
216,"Cardiac Valve and Other Major Cardiothoracic Procedures
with Cardiac Catheterization with MCC",2384,2383,9943,9932,10340,10337,10160,10148,9832,9823,10618,10597,10199,10178,9657,9642
217,"Cardiac Valve and Other Major Cardiothoracic Procedures
with Cardiac Catheterization with CC",1595,1595,5988,5984,5748,5745,5436,5435,5721,5719,5824,5816,5506,5498,5048,5045
218,"Cardiac Valve and Other Major Cardiothoracic Procedures
with Cardiac Catheterization without CC/MCC",365,365,1293,1293,1195,1194,1057,1057,1024,1023,938,938,912,911,699,699
219,"Cardiac Valve and Other Major Cardiothoracic Procedures
without Cardiac Catheterization with MCC",2971,2968,12737,12703,14288,14245,14999,14946,14923,14889,16966,16890,18650,18563,18739,18682
220,"Cardiac Valve and Other Major Cardiothoracic Procedures
without Cardiac Catheterization with CC",3366,3365,14022,14005,14957,14946,15865,15858,18306,18294,20420,20373,22152,22112,22420,22389
221,"Cardiac Valve and Other Major Cardiothoracic Procedures
without Cardiac Catheterization without CC/MCC",1236,1236,4609,4609,4376,4374,4274,4274,4212,4210,4721,4709,4776,4766,4462,4454
222,"Cardiac Defibrillator Implant with Cardiac Catheterization with
Acute Myocardial Infarction/Heart Failure/Shock with MCC",774,774,3242,3242,3175,3172,2722,2722,1765,1762,1671,1669,1445,1445,1402,1401
223,"Cardiac Defibrillator Implant with Cardiac Catheterization with
Acute Myocardial Infarction/Heart Failure/Shock without MCC",1075,1075,4053,4053,3050,3047,2925,2925,2273,2273,1795,1795,1558,1557,1215,1215
224,"Cardiac Defibrillator Implant with Cardiac Catheterization
without Acute Myocardial Infarction/Heart Failure/Shock with
MCC",650,650,2987,2986,2881,2878,2799,2798,2408,2408,2233,2231,2075,2074,1975,1975
225,"Cardiac Defibrillator Implant with Cardiac Catheterization
without Acute Myocardial Infarction/Heart Failure/Shock
without MCC",1106,1106,4566,4565,3959,3958,3793,3792,3260,3259,2786,2786,2334,2333,2068,2068
226,"Cardiac Defibrillator Implant without Cardiac Catheterization
with MCC",1911,1908,8261,8238,8451,8415,7421,7389,5429,5415,4839,4818,4575,4560,4382,4368
227,"Cardiac Defibrillator Implant without Cardiac Catheterization
without MCC",8622,8610,30726,30573,27258,27090,24419,24312,20329,20245,17018,16929,13280,13230,8783,8754
228,Other Cardiothoracic Procedures with MCC,804,802,3050,3047,2415,2412,2406,2403,2003,1999,1670,1668,1546,1544,1426,1425
