HCPC (Health Care Common Procedure Code System) Code ,HCPC (Health Care Common Procedure Code System) Label,# of records with this HCPC code in 2004,# of people with this HCPC code in 2004,# of records with this HCPC code in 2005,# of people with this HCPC code in 2005,# of records with this HCPC code in 2006,# of people with this HCPC code in 2006,# of records with this HCPC code in 2007,# of people with this HCPC code in 2007,# of records with this HCPC code in 2008,# of people with this HCPC code in 2008,# of records with this HCPC code in 2009,# of people with this HCPC code in 2009,# of records with this HCPC code in 2010,# of people with this HCPC code in 2010,# of records with this HCPC code in 2011,# of people with this HCPC code in 2011,# of records with this HCPC code in 2012,# of people with this HCPC code in 2012,# of records with this HCPC code in 2013,# of people with this HCPC code in 2013,# of records with this HCPC code in 2014,# of people with this HCPC code in 2014
0045T,WHBDY INTEG PHTGRPHY DYSPLSTC NEVI PRSNL MLNMA,0,0,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0046T,CATH LVG MAM DUX COLLJ CYTOL SPEC EA BRST 1 DUX,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00470,ANESTHESIA PARTIAL RIB RESECTION NOS,0,0,.,.,.,.,.,.,0,0,.,.,.,.,0,0,15,15,15,15,15,15
0048T,IMPLTJ VENTR ASSIST DEV XTRCORP PRQ T-SEPTAL,0,0,0,0,0,0,0,0,.,.,0,0,15,15,0,0,.,.,0,0,0,0
00500,ANESTHESIA ESOPHAGUS,35,35,35,35,.,.,.,.,50,50,35,35,25,25,15,15,35,35,45,45,.,.
0050T,RMVL VENTR DEV XTRCORP PRQ T-SEPTAL 1/DUAL,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,.,.,0,0,0,0
00520,ANESTHESIA CLOSED CHEST W/BRONCHOSCOPY NOS,240,220,365,330,430,405,530,465,595,540,700,650,660,605,795,655,1065,905,1285,1070,1230,1000
00522,ANESTHESIA CLOSED CHEST NEEDLE BIOPSY PLEURA,610,215,165,85,15,15,.,.,15,15,20,20,15,15,25,25,15,15,0,0,.,.
00524,ANESTHESIA CLOSED CHEST PNEUMOCENTESIS,0,0,.,.,20,15,0,0,.,.,.,.,.,.,20,20,.,.,.,.,15,15
00528,ANES MEDIASTINOSCOPY&THORACSCOPY W/O 1 LUNG VNTJ,70,70,55,55,50,50,40,40,115,110,110,110,85,85,95,95,85,85,105,105,65,65
00529,ANES MEDIASTINOSCOPY&THORACOSCOPY W/1 LUNG VNTJ,.,.,.,.,15,15,35,35,50,50,20,20,.,.,.,.,0,0,15,15,.,.
00530,ANES PERMANENT TRANSVENOUS PACEMAKER INSERTION,55,55,85,85,135,135,240,235,225,210,315,305,225,215,240,230,310,290,335,305,310,310
00532,ANESTHESIA ACCESS CENTRAL VENOUS CIRCULATION,935,845,1370,1290,2230,2070,2560,2420,2710,2560,3160,2945,2735,2635,2515,2310,3035,2775,2695,2545,2220,2055
00534,ANES TRANSVENOUS INSJ/REPLACEMENT PACING CVDFB,.,.,40,40,45,40,55,55,80,80,145,145,65,65,80,80,190,190,180,175,165,160
00537,ANES CARDIAC ELECTROPHYSIOL STDY W/RF ABLATION,0,0,15,15,.,.,.,.,.,.,.,.,60,60,30,30,95,90,115,115,345,340
00540,ANESTHESIA THRCM LUNG PLEURA DPHRM&MED THRSC,0,0,0,0,0,0,0,0,0,0,.,.,0,0,.,.,20,20,.,.,20,15
00541,ANES THORACOTOMY & THORACOSCOPY W/1 LUNG VNTJ,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,.,.,.,.
00542,ANES THORACOTOMY & THORACOSCOPY DECORTICATION,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00548,ANES THORACOTOMY &THORACSCOPY TRACHEA & BRONCHI,0,0,0,0,0,0,0,0,.,.,.,.,0,0,0,0,.,.,.,.,0,0
0054T,CPTR-ASST MUSCSKEL NAVIGJ ORTHO FLUOR IMAGES,0,0,0,0,45,45,40,35,0,0,60,55,70,60,60,55,.,.,25,20,.,.
00550,ANESTHESIA FOR STERNAL DEBRIDEMENT,.,.,.,.,.,.,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0
0055T,CPTR-ASST MUSCSKEL NAVIGJ ORTHO CT/MRI,0,0,0,0,0,0,.,.,0,0,95,95,195,175,205,190,240,205,170,170,130,125
00560,ANES HRT PERICARDIAL SAC&GRT VESLS W/O PMP OXTJ,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,.,.,.,.,.,.
00600,ANESTHESIA CERVICAL SPINE & CORD NOS,40,30,80,60,20,20,15,15,65,65,130,115,50,40,30,30,60,55,60,60,100,75
00604,ANES CERVICAL SPINE & CORD W/PATIENT SITTING,0,0,0,0,0,0,.,.,0,0,.,.,0,0,0,0,.,.,.,.,0,0
00620,ANESTHESIA THORACIC SPINE & CORD NOS,75,75,40,25,40,35,90,75,105,100,115,100,120,110,250,235,230,200,155,130,70,70
00625,ANES THRC SPINE & CORD ANT APPR W/O 1 LUNG VENTJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0
0062T,PRQ INTRDSCL XCP ELECTROTHRM ANNULOPLASTY 1 LVL,0,0,85,85,105,95,.,.,0,0,.,.,0,0,0,0,0,0,0,0,0,0
00630,ANESTHESIA LUMBAR REGION NOS,530,340,765,555,975,735,945,775,1510,1115,2235,1490,1850,1405,2220,1500,2220,1610,2440,1850,1625,1465
00632,ANESTHESIA LUMBAR REGION LUMBAR SYMPATHECTOMY,0,0,0,0,0,0,0,0,0,0,.,.,.,.,0,0,.,.,.,.,0,0
00634,ANESTHESIA LUMBAR CHEMONUCLEOLYSIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0
00635,ANES DIAGNOSTIC/THERAPEUTIC LUMBAR PUNCTURE,45,20,100,85,165,115,170,125,345,220,460,250,430,235,205,120,125,85,185,110,165,110
0063T,PRQ INTRDSCL ANNLPLSTY UNI/BI W/FLUOR 1+ADDL LVL,0,0,50,30,15,15,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0
00640,ANES MANIPULATE SPINE/CLSD CRV THORC/LUMBR SPINE,30,30,20,20,50,45,20,20,30,20,50,40,.,.,.,.,30,30,65,55,55,50
0064T,SPECTROSCOPY EXP GAS ALYS,0,0,0,0,130,85,90,75,40,40,0,0,0,0,0,0,0,0,0,0,0,0
0066T,CT COLONOGRAPY SCR,0,0,290,290,320,295,375,360,465,450,265,255,0,0,0,0,0,0,0,0,0,0
00670,ANESTHESIA EXTENSIVE SPINE & SPINAL CORD,.,.,.,.,.,.,0,0,20,20,30,30,15,15,20,20,30,30,35,30,25,25
0067T,CT COLONOGRAPY DX,.,.,1380,1380,1975,1960,2630,2595,3665,3620,3990,3965,0,0,0,0,0,0,0,0,0,0
0069T,ACOUS HRT SOUND REC&CPTR ALYS ACOUS HRT SOUND,0,0,20,20,30,30,0,0,20,20,35,35,0,0,0,0,0,0,0,0,0,0
00700,ANESTHESIA UPPER ANTERIOR ABDOMINAL WALL NOS,45,45,50,50,95,90,110,105,125,120,75,75,170,155,155,150,145,140,190,185,110,95
00702,ANES UPR ANT ABDL WALL PERCUTANEOUS LIVER BX,0,0,.,.,30,30,25,25,40,30,15,15,.,.,30,30,30,30,20,15,.,.
0071T,FOCED US ABLTJ UTERINE LEIOMYOM W/MR GDN <200 CC,0,0,.,.,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0
00730,ANESTHESIA UPPER POSTERIOR ABDOMINAL WALL,70,70,55,50,45,45,35,35,55,55,40,35,20,20,55,50,35,35,65,65,55,55
0073T,COMPNSTR-BASED BEAM MODLJ TX DLVR INVERSE 3> FLD,0,0,6730,295,11530,430,15240,565,16590,645,16990,700,12975,570,11865,505,10255,455,5915,265,3600,150
00740,ANES UPPER GI ENDOSCOPIC PROXIMAL TO DUODENUM,2375,2260,4650,4415,7170,6705,9020,8315,10100,9340,13025,11750,14565,13115,17145,15340,19640,17475,20815,18820,16705,15030
00750,ANESTHESIA HERNIA REPAIR UPPER ABDOMEN NOS,270,265,435,430,530,525,605,595,740,735,700,680,820,795,635,615,785,765,700,665,530,495
00752,ANES HRNA RPR UPR ABD LMBR&VENTRAL HERNIA&DEHISC,120,120,345,340,360,360,365,360,445,430,690,685,610,575,810,785,670,615,675,640,605,585
00754,ANES HERNIA REPAIR UPPER ABDOMEN OMPHALOCELE,.,.,0,0,.,.,0,0,15,15,.,.,0,0,0,0,.,.,.,.,0,0
00756,ANES HRNA REPAIR UPR ABD TABDL RPR DIPHRG HRNA,0,0,0,0,.,.,.,.,0,0,0,0,15,15,20,20,.,.,15,15,.,.
0075T,TCAT PLMT XTRC VRT CRTD STENT RS&I PRQ 1ST VSL,0,0,25,25,25,25,25,25,30,30,.,.,30,30,20,20,35,35,35,35,30,30
0076T,TCAT PLMT XTRC VRT CRTD STENT RS&IPRQ EA VSL,0,0,40,20,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0
00770,ANESTHESIA MAJOR ABDOMINAL BLOOD VESSELS,.,.,0,0,.,.,.,.,0,0,.,.,15,15,.,.,.,.,.,.,0,0
00790,ANES INTRAPERITONEAL UPPER ABDOMEN W/LAPS NOS,1560,1545,2430,2405,3570,3510,4055,3960,4615,4480,5080,4910,5450,5235,5435,5250,5820,5495,5725,5590,4130,3950
00792,ANES LAPS PARTIAL HEPATECTOMY W/MGMT LIVER HEMOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0
00794,ANES LAPAROSCOPIC PARTIAL/TOTAL PANCREATECTOMY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0
00797,ANES IPR UPPER ABDOMEN LAPS GASTRIC RSTCV MO,0,0,0,0,.,.,.,.,0,0,0,0,.,.,.,.,20,20,15,15,15,15
00800,ANESTHESIA LOWER ANTERIOR ABDOMINAL WALL NOS,150,150,240,230,290,265,245,240,205,180,285,280,265,235,270,235,425,315,320,295,230,220
00802,ANES LOWER ANT ABDOMINAL WALL PANNICULECTOMY,0,0,.,.,0,0,0,0,0,0,0,0,0,0,.,.,50,25,30,15,0,0
00810,ANES LOWER INTESTINE ENDOSCOPY DISTAL DUODENUM,4685,4535,13385,12785,18730,17995,22825,21980,26430,25330,29230,28015,31865,30315,36630,34715,41290,38870,43395,40815,38010,35990
00820,ANESTHESIA LOWER POSTERIOR ABDOMINAL WALL,40,35,50,50,55,50,40,35,60,60,40,40,30,30,35,35,75,70,55,55,60,60
00830,ANESTHESIA HERNIA REPAIR LOWER ABDOMEN NOS,1490,1470,2895,2790,3095,3005,3645,3490,3825,3680,4070,3920,4390,4215,4160,3950,4905,4650,4530,4290,3795,3615
00832,ANES LWR ABD VENTRAL & INCISIONAL HERNIA REPAIR,200,200,345,340,495,455,545,535,630,620,750,730,765,750,865,800,925,875,985,955,585,565
00834,ANES HERNIA REPAIR LOWER ABDOMEN NOS & 1YR AGE,0,0,.,.,0,0,.,.,20,20,.,.,.,.,.,.,.,.,.,.,.,.
00836,ANES HRNA RPR LWR ABD NOS INFTS <37WK BRTH/50WK,0,0,0,0,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,0,0
0083T,STRTCTC BDY RADJ THER TX MGMT PR D,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00840,ANESTHESIA INTRAPERITONEAL LOWER ABD W/LAPS NOS,480,475,900,870,1065,1040,1580,1530,1760,1705,2095,2015,2275,2120,2420,2290,2320,2195,2785,2645,2040,1965
00842,ANES IPER LOWER ABDOMEN W/LAPS AMNIOCENTESIS,0,0,0,0,0,0,0,0,.,.,0,0,.,.,0,0,0,0,0,0,0,0
00844,ANES IPER LOWER ABD W/LAPS ABDOMINOPRNL RESCJ,0,0,0,0,0,0,0,0,.,.,0,0,.,.,0,0,15,15,0,0,.,.
00846,ANES IPER LOWER ABD W/LAPS RAD HYSTERECTOMY,0,0,0,0,0,0,.,.,0,0,0,0,0,0,.,.,0,0,.,.,0,0
00848,ANES IPER LOWER ABD W/LAPS PELVIC EXENTERATION,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0
0084T,INSJ TEMP PROSTATIC URTL STENT,0,0,20,20,15,15,.,.,.,.,50,35,0,0,0,0,0,0,0,0,0,0
00851,ANES IPER LWR ABD W/LAPS TUBAL LIGATION/TRANSECT,.,.,45,45,50,50,85,85,45,45,45,45,100,100,90,85,150,145,100,100,0,0
00860,ANES EXTRAPERITONEAL LWR ABD W/URINARY TRACT NOS,195,195,250,245,380,360,575,570,600,590,940,900,705,660,530,520,675,640,650,620,470,465
00862,ANES XTRPRTL LOWER ABD UR TRACT RENAL DON NFRCT,15,15,15,15,30,30,25,25,25,25,55,55,145,145,165,160,255,240,205,200,150,135
00864,ANES XTRPRTL LWER ABD W/URINARY TRACT TOT CYSTEC,.,.,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,.,.
00865,ANES XTRPRTL LWR ABD W/URINARY TRACT RAD PRSTECT,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,.,.,0,0,0,0
00870,ANES XTRPRTL LWR ABD W/URIN TRACT CSTOLITHOTOMY,20,20,0,0,.,.,.,.,.,.,20,20,30,30,15,15,.,.,.,.,35,25
00872,ANES LITHOTRP XTRCORP SHOCK WAVE W/WATER BATH,175,175,175,175,225,225,210,190,250,225,260,210,255,220,180,160,180,160,115,105,90,80
00873,ANES LITHOTRP XTRCORP SHOCK WAVE W/O WATER BATH,245,220,490,405,690,575,835,660,865,760,860,700,750,620,820,605,1005,840,1045,855,1085,920
00880,ANESTHESIA MAJOR LOWER ABDOMINAL VESSELS NOS,.,.,.,.,0,0,0,0,15,15,.,.,.,.,25,25,.,.,20,20,15,15
00882,ANES MAJOR LOWER ABDOMINAL VESSELS IVC LIGATION,.,.,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0
0088T,SBMCSL RF TISS RDCTJ TONGUE BASE 1+ SITS PR SESS,0,0,130,120,145,135,75,75,115,95,0,0,0,0,0,0,0,0,0,0,0,0
0089T,ACTIGRAPY TSTG REC A&I MINIMUM 3-D REC,0,0,0,0,50,50,100,100,65,60,0,0,0,0,0,0,0,0,0,0,0,0
00902,ANESTHESIA ANORECTAL PROCEDURE,890,870,1485,1445,1625,1600,1975,1900,2465,2320,2340,2220,2205,2070,2055,1945,2180,2045,2190,2045,1545,1490
00904,ANESTHESIA RADICAL PERINEAL PROCEDURE,0,0,.,.,20,15,.,.,.,.,.,.,35,35,30,30,45,45,40,40,65,65
00906,ANESTHESIA VULVECTOMY,.,.,20,20,25,25,35,35,65,60,35,30,35,35,25,25,45,40,30,25,25,25
00908,ANESTHESIA PERINEAL PROSTATECTOMY,0,0,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.
0090T,TOT DISC ARTHRP ANT APPR DSKC 1 NTRSPC CRV,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0
00910,ANESTHESIA TRANSURETHRAL W/URETHROCYSTOSCOPY,2590,2300,3145,2860,4110,3640,4195,3720,4670,4120,4845,4220,4560,4015,4775,4150,5285,4405,5530,4525,4500,3740
00912,ANES TRANSURETHRAL RESECTION OF BLADDER TUMOR,645,580,870,780,1195,1045,1225,1055,1235,1100,1495,1235,1320,1095,1455,1190,1640,1395,1700,1415,1635,1405
00914,ANESTHESIA TRANSURETHRAL RESECTION OF PROSTATE,300,295,540,525,720,695,965,945,1080,1045,1030,1010,1160,1125,1095,1070,1145,1120,1400,1355,1260,1225
00916,ANES TRURL POST-TRURL RESECTION BLEEDING,.,.,0,0,0,0,0,0,25,20,70,70,60,60,35,35,30,25,15,15,45,40
00918,ANES TRURL FRAGMNTJ MANJ&/RMVL URETERAL CALCULUS,290,275,315,310,420,400,675,625,730,680,665,590,700,655,715,650,855,810,925,855,710,680
00920,ANESTHESIA MALE GENITALIA INCL OPEN URETHRAL PX,450,450,600,585,755,720,615,610,940,895,890,865,785,745,900,850,775,750,755,710,620,570
00921,ANES VASECTOMY UNI/BI INCL OPEN URETHRAL PX,0,0,.,.,0,0,.,.,.,.,0,0,.,.,.,.,20,20,.,.,0,0
00922,ANES SEMINAL VESICLES INCL OPEN URETHRAL PX,.,.,.,.,0,0,0,0,.,.,0,0,0,0,.,.,0,0,.,.,0,0
00924,ANES UNDSCND TESTIS UNI/BI INCL OPEN URTL PX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,.,.
00926,ANES RAD ORCHIECTOMY INGUN INCL OPEN URTL PX,20,20,30,30,35,35,20,20,45,45,25,25,20,20,25,25,25,25,15,15,25,25
00928,ANES RAD ORCHIECTOMY ABDOMINAL INCL OPN URTL,0,0,0,0,0,0,0,0,0,0,.,.,.,.,0,0,.,.,0,0,.,.
00930,ANES ORCHIOPEXY UNI/BI INCL OPEN URETHRAL PX,0,0,.,.,15,15,20,20,.,.,40,40,.,.,30,30,20,20,.,.,20,20
00938,ANES MALE GENT URTL INSJ PEN PROSTH PRNL APPR,35,35,40,40,15,15,60,60,55,55,90,85,70,65,75,75,65,65,90,85,60,55
