Diagnostic-Related Group code,Diagnostic-Related Group label,# of records with this Diagnositic-Related Group code in 2004,# of people with this Diagnotic-Related Group code in 2004,# of records with this Diagnositic-Related Group code in 2005,# of people with this Diagnotic-Related Group code in 2005,# of records with this Diagnositic-Related Group code in 2006,# of people with this Diagnotic-Related Group code in 2006,# of records with this Diagnositic-Related Group code in 2007,# of people with this Diagnotic-Related Group code in 2007
36,Retinal Procedures,1357,1276,1136,1064,799,765,99,98
37,Orbital Procedures,1200,1182,1170,1154,1164,1139,816,810
38,Primary Iris Procedures,53,53,56,55,53,53,45,45
39,Lens Procedures with or without Vitrectomy,422,413,318,313,268,261,163,163
40,"Extraocular Procedures Except Orbit, Age Greater
than 17",1349,1330,1172,1164,1121,1109,784,775
42,"Intraocular Procedures Except Retina, Iris and
Lens",1083,1063,895,877,960,941,916,891
43,Hyphema,137,135,162,161,152,148,79,78
44,Acute Major Eye Infections,1344,1252,1451,1366,1425,1305,1007,940
45,Neurological Eye Disorders,2887,2826,2912,2848,3013,2957,2157,2121
46,"Other Disorders of the Eye, Age Greater than 17
with CC",4763,4556,4978,4751,5125,4903,3729,3593
47,"Other Disorders of the Eye, Age Greater than 17
without CC",2300,2184,2295,2165,2266,2146,1495,1425
48,"Other Disorders of the Eye, Age 0-17",0,0,.,.,0,0,.,.
49,Major Head and Neck Procedures,2504,2483,2463,2437,2539,2511,1922,1909
50,Sialoadenectomy,2195,2187,1953,1941,1992,1982,1303,1295
51,"Salivary Gland Procedures Except
Sialoadenectomy",192,191,187,186,179,179,143,143
52,Cleft Lip and Palate Repair,159,157,174,174,248,247,137,137
53,"Sinus and Mastoid Procedures, Age Greater than
17",2172,2132,2066,2030,1873,1846,1321,1294
54,"Sinus and Mastoid Procedures, Age 0-17",.,.,.,.,0,0,.,.
55,"Miscellaneous Ear, Nose, Mouth and Throat
Procedures",1382,1353,1314,1280,1203,1176,897,888
56,Rhinoplasty,438,430,431,427,352,349,249,248
57,"Tonsillectomy and Adenoidectomy Procedures
Except Tonsillectomy and/or Adenoidectomy
Only, Age Greater than 17",665,661,732,728,805,801,500,498
58,"Tonsillectomy and Adenoidectomy Procedures
Except Tonsillectomy and/or Adenoidectomy
Only, Age 0-17",0,0,.,.,0,0,0,0
59,"Tonsillectomy and/or Adenoidectomy Only, Age
Greater than 17",102,102,124,124,108,108,80,80
60,"Tonsillectomy and/or Adenoidectomy Only, Age
0-17",.,.,.,.,.,.,.,.
61,"Myringotomy with Tube Insertion, Age Greater
than 17",204,203,212,207,211,211,140,139
62,"Myringotomy with Tube Insertion, Age 0-17",.,.,.,.,.,.,0,0
63,"Other Ear, Nose, Mouth and Throat Operating
Room Procedures",2806,2758,2749,2706,2629,2598,1866,1847
64,"Ear, Nose, Mouth and Throat Malignancy",5667,4513,5358,4357,5032,4124,3579,2989
65,Dysequilibrium,44952,42677,44066,41837,43681,41470,31891,30563
66,Epistaxis,8317,7742,8528,8012,8283,7723,5924,5558
67,Epiglottitis,407,397,376,365,377,364,238,233
68,"Otitis Media and URI, Age Greater than 17 with
CC",12608,12192,21783,21086,16296,15766,8908,8646
69,"Otitis Media and URI, Age Greater than 17 without
CC",4062,3938,6726,6516,4667,4524,2549,2492
70,"Otitis Media and URI, Age 0-17",27,26,38,37,50,47,32,32
71,Laryngotracheitis,68,68,86,83,64,63,47,46
72,Nasal Trauma and Deformity,1267,1205,1579,1510,1633,1567,1290,1231
73,"Other Ear, Nose, Mouth and Throat Diagnoses,
Age Greater than 17",8993,8486,10063,9485,11165,10529,8412,7945
74,"Other Ear, Nose, Mouth and Throat Diagnoses,
Age 0-17",.,.,.,.,.,.,.,.
75,Major Chest Procedures,45588,44822,47598,46752,46261,45431,34503,33968
76,"Other Respiratory System O.R. Procedures with
CC",48292,47290,48631,47613,46647,45606,34781,34175
77,"Other Respiratory System O. R. Procedures
without CC",2138,2120,2020,1990,1751,1730,1252,1236
78,Pulmonary Embolism,50936,46742,55561,51158,59570,54588,44209,41070
79,"Respiratory Infections and Inflammations, Age
Greater than 17 with CC",181816,149446,181863,150347,174184,144562,133471,112929
80,"Respiratory Infections and Inflammations, Age
Greater than 17 without CC",12740,11391,12678,11354,11019,9831,7591,6836
81,"Respiratory Infections and Inflammations, Age
0-17",.,.,.,.,.,.,.,.
82,Respiratory Neoplasms,78818,63602,76518,61899,73970,60177,52368,43494
83,Major Chest Trauma with CC,8066,7540,8175,7643,8514,7981,6642,6291
84,Major Chest Trauma without CC,2139,2002,2076,1929,2023,1912,1398,1327
85,Pleural Effusion with CC,25040,22324,26062,23136,26395,23414,20057,17843
86,Pleural Effusion without CC,3139,2919,2945,2758,2748,2537,1936,1796
87,Pulmonary Edema and Respiratory Failure,102781,86884,124245,104787,132071,110294,103643,87787
88,Chronic Obstructive Pulmonary Disease,462218,332632,505820,367178,458429,330548,324937,245972
89,"Simple Pneumonia and Pleurisy, Age Greater
than 17 with CC",593372,505517,645673,549157,567356,483432,403164,351087
90,"Simple Pneumonia and Pleurisy, Age Greater
than 17 without CC",71609,66156,79248,73180,65092,59960,43429,40192
91,"Simple Pneumonia and Pleurisy, Age 0-17",79,67,84,74,65,61,49,47
92,Interstitial Lung Disease with CC,18135,15766,18337,15985,17970,15655,13217,11706
93,Interstitial Lung Disease without CC,2298,2127,2172,2018,1722,1612,1128,1071
94,Pneumothorax with CC,14142,12954,14565,13359,14769,13514,10997,10132
95,Pneumothorax without CC,1813,1741,1896,1812,1735,1652,1219,1179
96,"Bronchitis and Asthma, Age Greater than 17 with
CC",58799,54663,67152,62680,59212,55129,41228,38699
97,"Bronchitis and Asthma, Age Greater than 17
without CC",27531,25165,31060,28528,24377,22315,15872,14733
98,"Bronchitis and Asthma, Age 0-17",17,15,18,17,29,26,21,21
99,Respiratory Signs and Symptoms with CC,26677,25705,27161,26103,27249,26197,20167,19414
100,Respiratory Signs and Symptoms without CC,9175,8887,8881,8550,7855,7581,5392,5235
101,Other Respiratory System Diagnoses with CC,27835,26259,28454,26825,29621,27957,21309,20201
102,Other Respiratory System Diagnoses without CC,7575,7258,7425,7026,6747,6403,4717,4487
103,"Heart Transplant or Implant of Heart Assist
System",604,601,892,867,909,875,735,706
104,"Cardiac Valve Procedures and Other Major
Cardiothoracic Procedures with Cardiac
Catheterization",20599,20575,19229,19222,18986,18972,13260,13249
105,"Cardiac Valve Procedures and Other Major
Cardiothoracic Procedures without Cardiac
Catheterization",31384,31283,31687,31604,31526,31412,23174,23131
106,Coronary Bypass with PTCA,3514,3513,3311,3311,3106,3106,2150,2150
107,CORONARY BYPASS W CARDIAC CATH,68325,68302,46170,46154,0,0,0,0
108,Other Cardiothoracic Procedures,8946,8926,9386,9375,8839,8831,5859,5855
109,"CORONARY BYPASS W/O PTCA OR CARDIAC
CATH",49604,49594,34235,34230,0,0,0,0
110,Major Cardiovascular Procedures with CC,56227,55404,56365,55517,55060,54173,39822,39206
111,Major Cardiovascular Procedures without CC,10038,9962,10462,10341,10189,10072,7411,7332
113,"Amputation for Circulatory System Disorders
Except Upper Limb and Toe",36401,33557,33226,30713,29835,27570,20549,19177
114,"Upper Limb and Toe Amputation for Circulatory
System Disorders",8476,8061,7807,7462,7240,6922,5018,4843
115,"PRM CARD PACEM IMPL W AMI/HR/SHOCK
OR AICD LEAD OR GNRTR",21286,21159,16164,16075,0,0,0,0
116,"OTHER PERMANENT CARDIAC PACEMAKER
IMPLANT",115938,115553,84081,83852,0,0,0,0
117,"Cardiac Pacemaker Revision Except Device
Replacement",5153,5012,5556,5405,7427,7221,6265,6083
118,Cardiac Pacemaker Device Replacement,7235,7229,7594,7588,7883,7871,5830,5830
119,Vein Ligation and Stripping,996,986,901,882,755,748,454,454
120,Other Circulatory System O.R. Procedures,36435,33732,33024,30750,30225,28274,21422,20259
121,"Circulatory Disorders with Acute Myocardial
Infarction and Major Complications, Discharged
Alive",156509,140112,148339,133344,134240,121308,96647,88212
122,"Circulatory Disorders with Acute Myocardial
Infarction without Major Complications,
Discharged Alive",61535,57605,54955,51496,48603,45705,33796,31935
123,"Circulatory Disorders with Acute Myocardial
Infarction, Expired",32374,32369,28851,28849,24291,24288,16639,16639
124,"Circulatory Disorders Except Acute Myocardial
Infarction with Cardiac Catheterization and
Complex Diagnosis",126770,124398,114199,112310,106515,104684,74597,73602
125,"Circulatory Disorders Except Acute Myocardial
Infarction with Cardiac Catheterization without
Complex Diagnosis",95199,94150,87110,86238,82655,81826,58237,57773
126,Acute and Subacute Endocarditis,7242,6003,6925,5774,6776,5668,4756,4033
127,Heart Failure and Shock,787136,552239,764292,535707,731176,512539,506822,371250
128,Deep Vein Thrombophlebitis,6307,5932,5178,4950,4127,3953,2633,2513
129,"Cardiac Arrest, Unexplained",4190,4107,4258,4190,3998,3926,2952,2896
130,Peripheral Vascular Disorders with CC,112104,99642,109449,97479,106131,94469,74433,67215
131,Peripheral Vascular Disorders without CC,35321,32917,34158,31691,31496,29166,21279,19926
132,Atherosclerosis with CC,132844,119603,114694,103783,99472,90355,65704,60445
133,Atherosclerosis without CC,18798,17670,16984,15933,16121,14974,10433,9668
134,Hypertension,70036,63728,68688,62362,70250,63386,50515,45973
135,"Cardiac Congenital and Valvular Disorders, Age
Greater than 17 with CC",11740,10873,11720,10859,11233,10395,8169,7611
136,"Cardiac Congenital and Valvular Disorders, Age
Greater than 17 without CC",3518,3289,3302,3074,3242,3033,2170,1996
137,"Cardiac Congenital and Valvular Disorders, Age
0-17",.,.,0,0,.,.,0,0
138,"Cardiac Arrhythmia and Conduction Disorders
with CC",223851,202510,226225,203552,230394,206949,172495,156338
139,"Cardiac Arrhythmia and Conduction Disorders
without CC",90532,84609,86076,80543,82372,76805,59067,55562
140,Angina Pectoris,42762,40923,35807,34326,30160,28884,19904,19141
141,Syncope and Collapse with CC,130696,122942,133452,125184,137316,128656,100327,94766
142,Syncope and Collapse without CC,59394,56754,57200,54569,53201,50753,36367,34930
143,Chest Pain,257055,239817,240685,224176,231769,215044,166634,155983
144,Other Circulatory System Diagnoses with CC,118928,103742,124322,108164,125710,109121,91052,80597
145,Other Circulatory System Diagnoses without CC,13651,12804,13094,12311,12154,11373,7999,7494
146,Rectal Resection with CC,10563,10537,10192,10167,9607,9574,6919,6903
147,Rectal Resection without CC,2636,2630,2612,2603,2424,2416,1714,1712
148,Major Small and Large Bowel Procedures with CC,134704,130845,131812,128102,96212,94030,0,0
149,"Major Small and Large Bowel Procedures without
CC",20073,19954,19822,19704,18696,18587,13573,13499
150,Peritoneal Adhesiolysis with CC,22907,22710,22900,22709,23663,23435,17371,17259
151,Peritoneal Adhesiolysis without CC,5454,5436,5382,5358,5274,5252,3833,3827
152,Minor Small and Large Bowel Procedures with CC,5088,5073,4997,4983,4948,4929,3673,3665
153,"Minor Small and Large Bowel Procedures without
CC",2104,2102,1946,1944,1892,1889,1349,1349
154,"Stomach, Esophageal and Duodenal Procedures,
Age Greater than 17 with CC",28096,27745,26833,26490,19593,19380,0,0
155,"Stomach, Esophageal and Duodenal Procedures,
Age Greater than 17 without CC",6077,6051,6014,5983,5833,5804,4386,4376
156,"Stomach, Esophageal and Duodenal Procedures,
Age 0-17",11,.,.,.,.,.,.,.
157,Anal and Stomal Procedures with CC,8394,8241,8150,7997,8381,8187,6019,5902
158,Anal and Stomal Procedures without CC,4046,4000,3638,3592,3257,3220,2247,2222
159,"Hernia Procedures Except Inguinal and Femoral,
Age Greater than 17 with CC",19055,18897,19175,19000,18808,18651,13802,13720
160,"Hernia Procedures Except Inguinal and Femoral,
Age Greater than 17 without CC",12019,11932,11673,11600,10753,10677,7420,7382
161,"Inguinal and Femoral Hernia Procedures, Age
Greater than 17 with CC",10375,10311,10063,10002,9431,9379,6858,6829
162,"Inguinal and Femoral Hernia Procedures, Age
Greater than 17 without CC",5467,5449,4812,4803,4306,4295,2962,2953
163,"Hernia Procedures, Age 0-17",14,13,12,11,11,.,.,.
164,"Appendectomy with Complicated Principal
Diagnosis with CC",5887,5881,6084,6075,6172,6161,4482,4481
165,"Appendectomy with Complicated Principal
Diagnosis without CC",2504,2498,2418,2414,2430,2428,1844,1840
166,"Appendectomy without Complicated Principal
Diagnosis with CC",5021,5021,5211,5211,5498,5497,4245,4245
167,"Appendectomy without Complicated Principal
Diagnosis without CC",4741,4741,4943,4943,4993,4993,3976,3975
168,Mouth Procedures with CC,1563,1548,1546,1533,1580,1566,1213,1206
169,Mouth Procedures without CC,757,750,774,761,728,715,581,579
170,Other Digestive System O.R. Procedures with CC,17793,17591,18046,17846,17857,17674,13054,12933
171,"Other Digestive System Operating Room
Procedures without CC",1514,1511,1436,1428,1343,1339,1054,1051
172,Digestive Malignancy with CC,42115,36060,42007,35835,40649,34660,28369,24516
173,Digestive Malignancy without CC,7552,6881,7230,6615,6648,6065,4350,3985
174,GI Hemorrhage with CC,283814,249605,273875,240575,262364,230433,184249,164057
175,GI Hemorrhage without CC,41473,39225,38190,36142,34416,32495,22794,21622
176,Complicated Peptic Ulcer,15665,14784,15333,14473,14245,13408,10260,9716
177,Uncomplicated Peptic Ulcer with CC,9032,8801,8248,8037,8387,8181,5941,5781
178,Uncomplicated Peptic Ulcer without CC,3436,3348,2961,2887,2674,2606,1873,1829
179,Inflammatory Bowel Disease,15800,12476,15939,12526,15987,12512,11737,9515
180,GI Obstruction with CC,100053,88014,99227,87303,99593,87396,71785,64115
181,GI Obstruction without CC,30327,27815,29533,27079,28549,26140,20300,18841
182,"Esophagitis, Gastroenteritis and Miscellaneous
Digestive Disorders, Age Greater than 17 with CC",322547,287567,332782,294690,358218,317528,214746,197330
183,"Esophagitis, Gastroenteritis and Miscellaneous
Digestive Disorders, Age Greater than 17 without
CC",102142,96388,97726,91928,94241,88354,63587,60208
184,"Esophagitis, Gastroenteritis and Miscellaneous
Digestive Disorders, Age 0-17",131,113,147,130,160,139,103,95
185,"Dental and Oral Diseases Except Extractions and
Restorations, Age Greater than 17",6533,6234,7034,6748,6864,6574,5209,4994
186,"Dental and Oral Diseases Except Extractions and
Restorations, Age 0-17",.,.,.,.,.,.,.,.
187,Dental Extractions and Restorations,609,605,652,647,613,610,445,443
188,"Other Digestive System Diagnoses, Age Greater
than 17 with CC",101513,93396,103603,95131,100901,92428,67925,62920
189,"Other Digestive System Diagnoses, Age Greater
than 17 without CC",17949,17156,18160,17323,17272,16431,11385,10923
190,"Other Digestive System Diagnoses, Age 0-17",113,90,117,98,85,70,16,16
191,"Pancreas, Liver and Shunt Procedures with CC",10514,10339,10717,10523,10370,10201,7740,7649
192,"Pancreas, Liver and Shunt Procedures without
CC",1363,1342,1480,1464,1338,1310,1033,1026
193,"Biliary Tract Procedures Except Only
Cholecystectomy with or without Common Duct
Exploration with CC",4432,4408,3859,3829,3608,3585,2574,2563
194,"Biliary Tract Procedures Except Only
Cholecystectomy with or without Common Duct
Exploration without CC",498,496,483,481,418,415,286,285
195,"Cholecystectomy with Common Duct Exploration
with CC",3129,3129,2794,2794,2376,2376,1662,1661
196,"Cholecystectomy with Common Duct Exploration
without CC",665,665,591,591,489,488,341,341
197,"Cholecystectomy Except by Laparoscope without
Common Duct Exploration with CC",17161,17159,16089,16086,14905,14897,10090,10087
198,"Cholecystectomy Except by Laparoscope without
Common Duct Exploration without CC",4538,4536,4075,4071,3562,3562,2346,2346
199,"Hepatobiliary Diagnostic Procedure for
Malignancy",1456,1452,1452,1446,1365,1361,968,968
200,"HEPATOBILIARY DIAGNOSTIC PROCEDURE
FOR NON-MALIGNANCY",968,965,972,969,850,846,641,641
201,Other Hepatobiliary or Pancreas O.R. Procedures,2674,2640,2660,2624,2629,2596,1932,1908
202,Cirrhosis and Alcoholic Hepatitis,29773,21744,29959,21960,28627,21050,21094,15978
203,Malignancy of Hepatobiliary System or Pancreas,36009,29866,36219,30022,34666,28744,24587,20890
204,Disorders of Pancreas Except Malignancy,77932,62125,74176,59322,73149,58426,52550,42777
205,"Disorders of Liver Except Malignancy, Cirrhosis
and Alcoholic Hepatitis with CC",34330,24606,35517,25086,34826,24751,26407,19240
206,"Disorders of Liver Except Malignancy, Cirrhosis
and Alcoholic Hepatitis without CC",2983,2771,2839,2625,2698,2492,1870,1742
207,Disorders of the Biliary Tract with CC,41289,37445,42740,38693,43298,39219,31704,28855
208,Disorders of the Biliary Tract without CC,12542,11952,12257,11665,11607,11000,7841,7480
209,"MAJOR JOINT & LIMB REATTACHMENT
PROCEDURES OF LOWER EXTREMITY",465291,442514,365345,352147,0,0,0,0
210,"Hip and Femur Procedures Except Major Joint
Procedures, Age Greater than 17 with CC",125406,122549,125329,122679,124697,121898,91840,90098
211,"Hip and Femur Procedures Except Major Joint
Procedures, Age Greater than 17 without CC",26035,25789,25499,25298,22674,22500,16257,16136
212,"Hip and Femur Procedures Except Major Joint
Procedures, Age 0-17",13,13,13,13,15,14,14,12
213,"Amputation for Musculoskeletal System and
Connective Tissue Disorders",10236,9327,9090,8430,8190,7705,5842,5510
216,"Biopsies of Musculoskeletal System and
Connective Tissue",18600,17682,19995,19078,19433,18584,17387,16591
217,"Wound Debridement and Skin Graft Except Hand
for Musculoskeletal and Connective Tissue
Disorders",18278,17401,16278,15449,15189,14421,10635,10188
218,"Lower Extremity and Humerus Procedures Except
Hip, Foot and Femur, Age Greater than 17 with
CC",28543,27703,30322,29451,30998,30068,24041,23427
219,"Lower Extremity and Humerus Procedures Except
Hip, Foot and Femur, Age Greater than 17 without
CC",21154,20780,21054,20718,19300,18981,14674,14452
220,"Lower Extremity and Humerus Procedures Except
Hip, Foot and Femur, Age 0-17",.,.,.,.,.,.,.,.
223,"Major Shoulder/Elbow Procedures or Other Upper
Extremity Procedures with CC",13295,13172,12328,12248,11651,11551,8567,8511
224,"Shoulder, Elbow or Forearm Procedures Except
Major Joint Procedures without CC",10559,10467,9553,9485,8500,8443,5772,5741
225,Foot Procedures,6472,6352,6359,6246,6145,6030,4546,4478
226,Soft Tissue Procedures with CC,6787,6706,6893,6820,7386,7290,5646,5583
227,Soft Tissue Procedures without CC,5056,5007,4992,4937,4679,4645,3411,3383
228,"Major Thumb or Joint Procedures or Other Hand
or Wrist Procedures with CC",2612,2575,2637,2598,2563,2530,1770,1754
229,"Hand or Wrist Procedures Except Major Joint
Procedures without CC",1176,1172,1055,1053,975,966,635,635
230,"Local Excision and Removal of Internal Fixation
Devices of Hip and Femur",2548,2504,2482,2436,2384,2336,1686,1656
232,Arthroscopy,688,686,561,558,459,458,293,292
233,"Other Musculoskeletal System and Connective
Tissue O.R. Procedures with CC",15995,15358,18908,18080,22821,21718,16609,15907
234,"Other Musculoskeletal System and Connective
Tissue O.R. Procedures without CC",8050,7747,9181,8841,10738,10299,7356,7100
235,Fractures of Femur,15998,13842,15147,13123,14175,12350,9044,7977
236,Fractures of Hip and Pelvis,139313,115389,132857,110094,127506,105640,77756,66001
237,"Sprains, Strains and Dislocations of Hip, Pelvis
and Thigh",3405,3059,3339,2991,3067,2768,2041,1867
238,Osteomyelitis,18731,15395,18844,15426,18702,15210,13522,11230
239,"Pathological Fractures and Musculoskeletal and
Connective Tissue Malignancy",53606,46804,49307,43381,46256,40849,30217,27295
240,Connective Tissue Disorders with CC,15630,13476,15653,13445,14885,12849,10534,9226
241,Connective Tissue Disorders without CC,4737,4223,4897,4365,4362,3861,2795,2533
242,Septic Arthritis,5199,4557,5155,4563,4904,4323,3477,3091
243,Medical Back Problems,150285,125996,147712,124330,145497,122425,99245,85768
244,"Bone Diseases and Specific Arthropathies with
CC",51214,47940,50107,46887,45853,42814,27521,25764
245,"Bone Diseases and Specific Arthropathies without
CC",47760,45281,47821,45300,42763,40507,25739,24594
246,NON-SPECIFIC ARTHROPATHIES,8223,7782,6844,6469,6222,5847,3894,3691
247,"Signs and Symptoms of Musculoskeletal System
and Connective Tissue",46454,42737,53893,49101,63467,57092,48416,43577
248,"Tendonitis, Myositis and Bursitis",29856,26861,31285,28040,30975,27769,21962,20122
249,"Aftercare, Musculoskeletal System and
Connective Tissue",82285,73305,96322,86252,106882,95354,73832,66462
250,"Fractures, Sprains, Strains and Dislocations of
Forearm, Hand and Foot, Age Greater than 17
with CC",7404,6724,7249,6595,7641,6976,5281,4852
251,"Fractures, Sprains, Strains and Dislocations of
Forearm, Hand and Foot, Age Greater than 17
without CC",5654,5165,5746,5220,5521,5046,3572,3284
252,"Fractures, Sprains, Strains and Dislocations of
Forearm, Hand and Foot, Age 0-17",.,.,.,.,0,0,0,0
253,"Fractures, Sprains, Strains and Dislocations of
Upper Arm and Lower Leg Except Foot, Age
Greater than 17 with CC",39358,34146,39698,34478,40697,35314,28560,25279
254,"Fractures, Sprains, Strains and Dislocations of
Upper Arm and Lower Leg Except Foot, Age
Greater than 17 without CC",26065,22723,25339,22265,24299,21240,15857,14119
255,"Fractures, Sprains, Strains and Dislocations of
Upper Arm and Lower Leg Except Foot, Age 0-17",.,.,0,0,.,.,0,0
256,"Other Musculoskeletal System and Connective
Tissue Diagnoses",26897,24942,29688,27523,31500,29103,22037,20588
257,Total Mastectomy for Malignancy with CC,13562,13531,13193,13165,12329,12306,9106,9089
258,Total Mastectomy for Malignancy without CC,12052,12016,11434,11407,10444,10421,7718,7703
259,Subtotal Mastectomy for Malignancy with CC,2889,2857,2601,2590,2454,2434,1681,1663
260,Subtotal Mastectomy for Malignancy without CC,2925,2909,2297,2282,1928,1921,1256,1249
261,"Breast Procedure for Nonmalignancy Except
Biopsy and Local Excision",1625,1616,1564,1552,1491,1480,974,970
262,"Breast Biopsy and Local Excision for
Nonmalignancy",655,651,602,597,551,544,407,407
263,"Skin Graft and/or Debridement for Skin Ulcer or
Cellulitis with CC",27354,25297,26105,24164,24479,22755,17099,16052
264,"Skin Graft and/or Debridement for Skin Ulcer or
Cellulitis without CC",4049,3936,4085,3982,3425,3328,2249,2198
265,"Skin Graft and/or Debridement Except for Skin
Ulcer or Cellulitis with CC",4409,4297,4224,4136,4062,3979,3027,2973
266,"Skin Graft and/or Debridement Except for Skin
Ulcer or Cellulitis without CC",2346,2306,2309,2276,2151,2110,1626,1592
267,Perianal and Pilonidal Procedures,277,274,266,265,238,236,155,153
268,"Skin, Subcutaneous Tissue and Breast Plastic
Procedures",1045,1041,1000,988,988,976,666,660
269,"Other Skin, Subcutaneous Tissue and Breast
Procedures with CC",11364,11217,11925,11761,12441,12255,9490,9352
270,"Other Skin, Subcutaneous Tissue and Breast
Procedures without CC",2633,2615,2681,2659,2609,2592,1801,1792
271,Skin Ulcers,43998,36158,44560,36319,42847,34699,29383,24476
272,Major Skin Disorders with CC,6923,6349,6987,6399,7013,6396,4850,4479
273,Major Skin Disorders without CC,1949,1797,1869,1745,1704,1579,1132,1056
274,Malignant Breast Disorders with CC,4270,3809,4387,3872,4248,3761,2912,2626
275,Malignant Breast Disorders without CC,1491,1361,1411,1301,1429,1299,924,852
276,Nonmalignant Breast Disorders,1954,1793,2030,1847,1873,1753,1559,1477
277,"Cellulitis, Age Greater than 17 with CC",135292,115971,143138,122279,146588,124973,110267,96045
278,"Cellulitis, Age Greater than 17 without CC",46808,42593,47167,42986,45542,41494,32306,29846
279,"Cellulitis, Age 0-17",13,11,14,13,13,12,11,11
280,"Trauma to Skin, Subcutaneous Tissue and
Breast, Age Greater than 17 with CC",23608,22155,23865,22512,24274,22917,17477,16636
281,"Trauma to Skin, Subcutaneous Tissue and
Breast, Age Greater than 17 without CC",9991,9458,9805,9240,9317,8789,6244,5939
282,"Trauma to Skin, Subcutaneous Tissue and
Breast, Age 0-17",.,.,.,.,.,.,0,0
283,Minor Skin Disorders with CC,7784,7358,8271,7812,8385,7931,6186,5874
284,Minor Skin Disorders without CC,2752,2622,2751,2620,2700,2555,1860,1779
285,"Amputation of Lower Limb for Endocrine,
Nutritional and Metabolic Disorders",7929,7600,8017,7671,8455,8120,6201,6009
286,Adrenal and Pituitary Procedures,2741,2708,2844,2818,2997,2959,2282,2262
287,"Skin Grafts and Wound Debridement for
Endocrine, Nutritional and Metabolic Disorders",6458,6169,5862,5603,5475,5218,3921,3769
288,Operating Room Procedures for Obesity,10571,10560,11230,11211,8649,8637,8250,8239
289,Parathyroid Procedures,6747,6707,6115,6073,5782,5744,4197,4182
290,Thyroid Procedures,11156,10919,12058,11792,12122,11875,9220,9048
291,Thyroglossal Procedures,60,60,65,65,50,50,53,53
292,"Other Endocrine, Nutritional and Metabolic O.R.
Procedures with CC",7404,7246,7612,7459,7742,7554,6035,5910
