hcpcs_cdH – CPC (Health Care Common Procedure Code System) Code ,Format value long labelH – CPC (Health Care Common Procedure Code System) Long Label,Format value short labelH – CPC (Health Care Common Procedure Code System) Short Label,Nrecs2004# -  of records with this HCPC code in 2004,nppl_any2004# -  of people with this HCPC code in 2004,Nrecs2005 - # of records with this HCPC code in 2005,nppl_any2005 - # of people with this HCPC code in 2005,Nrecs2006 - # of records with this HCPC code in 2006,nppl_any2006 - # of people with this HCPC code in 2006,Nrecs2007 - # of records with this HCPC code in 2007,nppl_any2007 - # of people with this HCPC code in 2007,Nrecs2008 - # of records with this HCPC code in 2008,nppl_any2008 - # of people with this HCPC code in 2008,Nrecs2009 - # of records with this HCPC code in 2009,nppl_any2009 - # of people with this HCPC code in 2009,Nrecs2010 - # of records with this HCPC code in 2010,nppl_any2010 - # of people with this HCPC code in 2010,Nrecs2011 - # of records with this HCPC code in 2011,nppl_any2011 - # of people with this HCPC code in 2011,Nrecs2012 - # of records with this HCPC code in 2012,nppl_any2012 - # of people with this HCPC code in 2012,Nrecs2013 - # of records with this HCPC code in 2013,nppl_any2013 - # of people with this HCPC code in 2013,Nrecs2014 - # of records with this HCPC code in 2014,nppl_any2014 - # of people with this HCPC code in 2014
00124,"ANESTHESIA FOR PROCEDURES ON EXTERNAL, MIDDLE, AND INNER EAR
INCLUDING BIOPSY; OTOSCOPY",ANES EXTERNAL MIDDLE & INNER EAR W/BX OTOSCOPY,820,590,805,595,745,530,685,545,960,685,1005,695,980,660,840,620,975,655,1175,765,990,665
00126,"ANESTHESIA FOR PROCEDURES ON EXTERNAL, MIDDLE, AND INNER EAR
INCLUDING BIOPSY; TYMPANOTOMY",ANES XTRNL MID & INNER EAR W/BX TYMPANOTOMY,8920,6260,9855,6855,10075,7085,10515,7235,10725,7370,10490,7185,11420,7950,11380,7740,11710,7885,12180,8095,11490,7515
0012F,"COMMUNITY-ACQUIRED BACTERIAL PNEUMONIA ASSESSMENT (INCLUDES ALL OF
THE FOLLOWING COMPONENTS) (CAP): CO-MORBID CONDITIONS ASSESSED
(1026F) VITAL SIGNS RECORDED (2010F) MENTAL STATUS ASSESSED (2014F)
HYDRATION STATUS ASSESSED (2018F)",COMMUNITY-ACQUIRED BACTERIAL PNEUMONIA ASSMT,0,0,0,0,0,0,30,15,0,0,.,.,0,0,0,0,.,.,.,.,.,.
00140,ANESTHESIA FOR PROCEDURES ON EYE; NOT OTHERWISE SPECIFIED,ANESTHESIA EYE NOT OTHERWISE SPECIFIED,163835,114135,144030,101570,138580,96800,137050,95480,137675,94345,134125,92140,135630,92500,139450,93265,139520,92095,142745,92330,140700,90150
00142,ANESTHESIA FOR PROCEDURES ON EYE; LENS SURGERY,ANESTHESIA EYE LENS SURGERY,2206695,1217915,2178610,1200045,2124465,1156915,2097740,1137725,2045290,1099855,2081355,1115190,2080695,1095765,2074470,1081345,2099360,1086470,2142815,1092575,2093075,1054710
00144,ANESTHESIA FOR PROCEDURES ON EYE; CORNEAL TRANSPLANT,ANESTHESIA EYE CORNEAL TRANSPLANT,20450,14020,20225,14055,21730,14410,22765,14980,24045,15765,25860,17015,25840,16840,25615,16335,26985,17215,26380,16780,27130,16615
00145,ANESTHESIA FOR PROCEDURES ON EYE; VITREORETINAL SURGERY,ANESTHESIA EYE VITREORETINAL SURGERY,128515,79965,131090,81305,127075,78825,125485,78385,125700,77810,130985,81490,132140,82155,132035,82280,133420,83195,134815,82980,133710,82305
00147,ANESTHESIA FOR PROCEDURES ON EYE; IRIDECTOMY,ANESTHESIA EYE IRIDECTOMY,1225,895,1215,920,1265,945,905,660,815,615,920,680,800,645,710,565,840,665,1060,705,830,575
00148,ANESTHESIA FOR PROCEDURES ON EYE; OPHTHALMOSCOPY,ANESTHESIA EYE OPHTHALMOSCOPY,855,580,1025,660,815,520,865,560,1020,705,945,615,1235,735,1305,725,1510,825,980,590,965,560
0014F,"COMPREHENSIVE PREOPERATIVE ASSESSMENT PERFORMED FOR CATARACT
SURGERY WITH INTRAOCULAR LENS (IOL) PLACEMENT (INCLUDES ASSESSMENT
OF ALL OF THE FOLLOWING COMPONENTS) (EC): DILATED FUNDUS EVALUATION
PERFORMED WITHIN 12 MONTHS PRIOR TO CATARACT SURGERY (","COMP PREOP ASSESS, CATARACT SURG W/ IOL PLACEMNT",0,0,0,0,0,0,0,0,4940,3510,558725,364560,686975,441815,38220,24820,26155,16840,13535,8700,12080,7720
0015F,"MELANOMA FOLLOW UP COMPLETED (INCLUDES ASSESSMENT OF ALL OF THE
FOLLOWING COMPONENTS) (ML): HISTORY OBTAINED REGARDING NEW OR
CHANGING MOLES (1050F) COMPLETE PHYSICAL SKIN EXAM PERFORMED (2029F)
PATIENT COUNSELED TO PERFORM A MONTHLY SELF SKIN EXAMIN",MELANOMA FOLLOW UP COMPLETED,0,0,0,0,0,0,0,0,1670,1525,78605,53250,24175,17010,2910,1960,2495,1870,1155,815,1000,645
00160,"ANESTHESIA FOR PROCEDURES ON NOSE AND ACCESSORY SINUSES; NOT
OTHERWISE SPECIFIED",ANESTHESIA NOSE & ACCESSORY SINUSES NOS,70665,48385,69720,48405,68545,47380,70175,47850,68630,46655,72290,49225,70090,48050,71160,48490,75615,50800,76540,51585,75110,50410
00162,"ANESTHESIA FOR PROCEDURES ON NOSE AND ACCESSORY SINUSES; RADICAL
SURGERY",ANES NOSE & ACCESSORY SINUSES RADICAL SURGERY,2070,1615,1675,1345,1340,1035,1470,1040,1230,850,1275,920,1280,940,1090,825,1015,735,855,615,970,645
00164,"ANESTHESIA FOR PROCEDURES ON NOSE AND ACCESSORY SINUSES; BIOPSY,
SOFT TISSUE",ANES NOSE & ACCESSORY SINUSES BIOPSY SOFT TISSUE,760,585,815,660,600,495,605,515,670,545,690,530,505,400,450,350,410,340,310,250,395,320
0016T,DSTRJ LOCLZD LES CHOROID TRANSPUPILLARY THERMOTH,DSTRJ LOCLZD LES CHOROID TRANSPUPILLARY THERMOTH,4380,3180,2020,1425,500,415,225,165,125,75,65,50,115,80,0,0,0,0,0,0,0,0
00170,"ANESTHESIA FOR INTRAORAL PROCEDURES, INCLUDING BIOPSY; NOT
OTHERWISE SPECIFIED",ANESTHESIA INTRAORAL WITH BIOPSY NOS,55370,35820,54440,35955,53040,34420,53665,34790,51665,33435,50650,33250,50310,33100,49810,32415,49115,32160,49710,32045,48545,30970
00172,"ANESTHESIA FOR INTRAORAL PROCEDURES, INCLUDING BIOPSY; REPAIR OF
CLEFT PALATE",ANES INTRAORAL W/BIOPSY REPAIR CLEFT PALATE,205,180,115,100,100,80,75,70,105,75,105,90,105,75,115,75,60,45,80,70,90,60
00174,"ANESTHESIA FOR INTRAORAL PROCEDURES, INCLUDING BIOPSY; EXCISION OF
RETROPHARYNGEAL TUMOR",ANES INTRAORAL W/BX EXC RETROPHARYNGEAL TUMOR,135,105,165,120,115,80,80,70,100,70,115,95,50,35,30,20,30,25,55,45,35,25
00176,"ANESTHESIA FOR INTRAORAL PROCEDURES, INCLUDING BIOPSY; RADICAL
SURGERY",ANESTHESIA INTRAORAL W/BIOPSY RADICAL SURGERY,1995,1385,1670,1225,1875,1270,2105,1360,1465,1010,1735,1230,1830,1235,1905,1310,2085,1405,2165,1460,2025,1295
0017T,DSTRJ MACULAR DRUSEN PC,DSTRJ MACULAR DRUSEN PC,165,100,40,30,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00190,"ANESTHESIA FOR PROCEDURES ON FACIAL BONES OR SKULL; NOT OTHERWISE
SPECIFIED",ANESTHESIA FACIAL BONES OR SKULL NOS,12085,8200,11420,7930,11755,8020,11130,7560,12375,8235,12270,8365,12450,8445,13520,9025,13765,8900,12990,8500,12175,7830
00192,"ANESTHESIA FOR PROCEDURES ON FACIAL BONES OR SKULL; RADICAL SURGERY
(INCLUDING PROGNATHISM)",ANES FACIAL BONES/SKULL RAD SURG W/PROGNATHISM,2335,1670,2825,2035,2295,1620,2815,1940,2670,1885,2525,1725,2410,1680,2825,1930,2550,1720,2505,1695,2330,1550
0019T,"EXTRACORPOREAL SHOCK WAVE INVOLVING MUSCULOSKELETAL SYSTEM, NOT
OTHERWISE SPECIFIED, LOW ENERGY",EXTRACORPOREAL SHOCK WAVE MUSCSKEL NOS LOW ENRGY,100,35,60,25,370,105,430,160,110,65,330,85,230,85,255,100,345,115,500,155,800,285
0020T,XTRACORP SHOCK WAVE THERAPY; INVLV PLANTAR FASC,XTRACORP SHOCK WAVE THERAPY; INVLV PLANTAR FASC,1215,530,860,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00210,ANESTHESIA FOR INTRACRANIAL PROCEDURES; NOT OTHERWISE SPECIFIED,ANESTHESIA INTRACRANIAL PROCEDURE NOS,43260,29165,46065,31190,46470,31165,46520,30820,47010,30945,33155,22450,33115,22260,33505,22565,34910,23805,36050,23915,36815,24125
00211,"ANESTHESIA FOR INTRACRANIAL PROCEDURES; CRANIOTOMY OR CRANIECTOMY
FOR EVACUATION OF HEMATOMA",ANES INTRACRANIAL CRANIOTOMY/CRANIECTOMY HMTMA,0,0,0,0,0,0,0,0,0,0,13920,9380,14320,9715,15740,10555,16015,10525,15890,10380,16300,10610
00212,ANESTHESIA FOR INTRACRANIAL PROCEDURES; SUBDURAL TAPS,ANESTHESIA INTRACRANIAL PROCEDURE SUBDURAL TAPS,180,145,215,195,150,130,120,110,255,195,155,120,90,80,100,90,170,130,130,75,105,75
00214,"ANESTHESIA FOR INTRACRANIAL PROCEDURES; BURR HOLES, INCLUDING
VENTRICULOGRAPHY",ANES INTRACRANIAL BURR HOLES W/VENTRICULOGRAPHY,12725,8750,12435,8565,11295,7915,12385,8410,11280,7620,10095,6955,10825,7330,10780,7240,10000,6940,10105,6825,10160,6910
00215,"ANESTHESIA FOR INTRACRANIAL PROCEDURES; CRANIOPLASTY OR ELEVATION
OF DEPRESSED SKULL FRACTURE, EXTRADURAL (SIMPLE OR COMPOUND)",ANES INTRACRANIAL/ELEVATION DEPRSD SKULL FX XDRL,1035,790,990,705,1120,790,1195,850,1210,815,1520,985,1530,990,1490,1035,1860,1190,1705,1145,2130,1355
00216,ANESTHESIA FOR INTRACRANIAL PROCEDURES; VASCULAR PROCEDURES,ANESTHESIA INTRACRANIAL VASCULAR PROCEDURE,4975,3605,4820,3285,3665,2715,3655,2655,3345,2460,3620,2630,3260,2460,3455,2600,3590,2495,3620,2555,3485,2445
00218,"ANESTHESIA FOR INTRACRANIAL PROCEDURES; PROCEDURES IN SITTING
POSITION",ANES INTRACRANIAL PROCEDURE IN SITTING POSITION,3950,2925,3295,2570,2310,1860,1985,1500,1970,1510,1135,865,1105,825,1090,860,1110,820,650,465,600,430
0021T,INSJ TRANSCRV/TRVG FTL OXIMTRY SENSOR,INSJ TRANSCRV/TRVG FTL OXIMTRY SENSOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00220,"ANESTHESIA FOR INTRACRANIAL PROCEDURES; CEREBROSPINAL FLUID
SHUNTING PROCEDURES",ANES INTRACRANIAL CEREBROSPINAL FLUID SHUNTING,13240,7995,16370,9830,16055,9645,14255,8295,14185,8250,14355,8495,14685,8435,14130,8240,14100,8160,14190,8125,13210,7540
00222,"ANESTHESIA FOR INTRACRANIAL PROCEDURES; ELECTROCOAGULATION OF
INTRACRANIAL NERVE",ANES INTRACRANIAL ELECTROCOAGULATION ICRA NERVE,805,590,670,520,795,610,950,720,905,630,935,645,750,545,765,515,900,565,795,455,720,510
0023T,INF AGT RX SUSECPT PHENOTYPE PREDICTION HIV 1,INF AGT RX SUSECPT PHENOTYPE PREDICTION HIV 1,1680,1195,390,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0024T,N-SURG SEPTAL RDCTJ THER HYPRTRPHC CARDMYPTHY,N-SURG SEPTAL RDCTJ THER HYPRTRPHC CARDMYPTHY,230,160,145,110,125,110,70,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0026T,LIPOPROTEIN DIR MEAS IDL REMNANT LIPOPROTEINS,LIPOPROTEIN DIR MEAS IDL REMNANT LIPOPROTEINS,0,0,0,0,155,140,315,255,230,170,0,0,0,0,0,0,0,0,0,0,0,0
0027T,NDSC LSS EDRL ADS W/MCHNL/SLN NJX W/RAD EDRLG,NDSC LSS EDRL ADS W/MCHNL/SLN NJX W/RAD EDRLG,115,80,110,95,145,110,80,75,.,.,0,0,0,0,0,0,0,0,0,0,0,0
0028T,DXA BDY COMPOS STD 1+ SITS,DXA BDY COMPOS STD 1+ SITS,230,220,385,320,160,135,400,355,465,355,.,.,.,.,0,0,0,0,0,0,0,0
0029T,TX INCONT PLSD MAG NEUROMODULATION PR D,TX INCONT PLSD MAG NEUROMODULATION PR D,5265,460,3100,310,2320,235,1595,250,1455,150,.,.,0,0,0,0,0,0,0,0,0,0
00300,"ANESTHESIA FOR ALL PROCEDURES ON THE INTEGUMENTARY SYSTEM,
MUSCLES AND NERVES OF HEAD, NECK, AND POSTERIOR TRUNK, NOT
OTHERWISE SPECIFIED",ANES INTEG MUSC&NRV HEAD NCK&POSTERIOR TRUNK NOS,216325,140525,232765,150655,237375,151320,236335,150835,245285,154490,254740,158995,261920,163245,261940,163580,268795,166025,264660,163180,262625,160105
0030T,ANTIPROTHROMBIN ANTIBODY EACH IG CLASS,ANTIPROTHROMBIN ANTIBODY EACH IG CLASS,75,25,40,15,75,50,750,435,1060,585,1430,570,1655,975,1365,975,1095,940,0,0,0,0
0031T,SPECULOSCOPY,SPECULOSCOPY,240,185,190,180,325,250,210,175,125,125,0,0,0,0,0,0,0,0,0,0,0,0
00320,"ANESTHESIA FOR ALL PROCEDURES ON ESOPHAGUS, THYROID, LARYNX,
TRACHEA AND LYMPHATIC SYSTEM OF NECK; NOT OTHERWISE SPECIFIED, AGE 1
YEAR OR OLDER",ANES ESOPH THYR LARX TRACH&LYMPHTC NCK NOS 1YR/>,179960,118975,181320,118755,175745,115745,171375,112455,175260,113305,175040,112620,176175,113440,178720,113395,176035,110710,177625,110710,171580,108350
00322,"ANESTHESIA FOR ALL PROCEDURES ON ESOPHAGUS, THYROID, LARYNX,
TRACHEA AND LYMPHATIC SYSTEM OF NECK; NEEDLE BIOPSY OF THYROID",ANES ESOPH THYRD LARX TRACH & LYMPH NCK BX THYRD,165,145,180,165,330,255,140,110,150,125,155,120,185,140,190,120,235,180,170,115,180,145
00326,"ANESTHESIA FOR ALL PROCEDURES ON THE LARYNX AND TRACHEA IN CHILDREN
YOUNGER THAN 1 YEAR OF AGE",ANESTHESIA LARYNX & TRACHEA CHILDREN <1 YEAR,290,165,655,335,530,285,285,180,530,275,615,350,390,255,270,180,420,200,260,160,220,170
0032T,SPECULOSCOPY W/DIRED SAMPLING,SPECULOSCOPY W/DIRED SAMPLING,60,60,20,20,.,.,40,40,20,20,0,0,0,0,0,0,0,0,0,0,0,0
0033T,ENDOVASC REP DESCEND TAA; LT SUBCLAV ART INIT,ENDOVASC REP DESCEND TAA; LT SUBCLAV ART INIT,110,55,465,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0034T,ENDOVASC REP DESCEND TAA;NOT LT SUBCLAV ART INIT,ENDOVASC REP DESCEND TAA;NOT LT SUBCLAV ART INIT,495,260,830,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00350,"ANESTHESIA FOR PROCEDURES ON MAJOR VESSELS OF NECK; NOT OTHERWISE
SPECIFIED",ANESTHESIA MAJOR VESSELS NECK NOS,127810,85625,116935,78570,107250,71730,99585,67070,93405,62400,89805,59770,85325,57005,79630,52670,76800,50575,71485,47105,69780,45755
00352,ANESTHESIA FOR PROCEDURES ON MAJOR VESSELS OF NECK; SIMPLE LIGATION,ANESTHESIA MAJOR VESSELS NECK SIMPLE LIGATION,17410,12200,18175,12915,14415,10315,14645,10280,14065,9860,14060,9790,13870,9390,14155,9775,13640,9210,13150,9000,12580,8500
0035T,PLCMT EXT PROS ENDOVASC REP DESCEND TAA;INIT EXT,PLCMT EXT PROS ENDOVASC REP DESCEND TAA;INIT EXT,370,180,655,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0036T,PLCMT EXT PROS ENDOVASC REP DESCEND TAA; EA ADD,PLCMT EXT PROS ENDOVASC REP DESCEND TAA; EA ADD,275,95,265,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0037T,OPEN SUBCLAV CA TRNSPSTN THOR ANEUR REP UNI,OPEN SUBCLAV CA TRNSPSTN THOR ANEUR REP UNI,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0038T,ENDOVASC REP DESCEND TAA LT SCA INIT RAD S&I,ENDOVASC REP DESCEND TAA LT SCA INIT RAD S&I,85,40,305,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0039T,ENDOVASC REP DESCEND TAA NOT LT SCA INIT RAD S&I,ENDOVASC REP DESCEND TAA NOT LT SCA INIT RAD S&I,385,230,645,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00400,"ANESTHESIA FOR PROCEDURES ON THE INTEGUMENTARY SYSTEM ON THE
EXTREMITIES, ANTERIOR TRUNK AND PERINEUM; NOT OTHERWISE SPECIFIED",ANES INTEG EXTREMITIES ANTERIOR TRUNK PERINEUM,450445,279245,451420,281820,432330,268680,430035,264660,425180,261020,448555,274620,449620,273920,458590,278250,454070,274015,457570,273235,440590,262840
00402,"ANESTHESIA FOR PROCEDURES ON THE INTEGUMENTARY SYSTEM ON THE
EXTREMITIES, ANTERIOR TRUNK AND PERINEUM; RECONSTRUCTIVE
PROCEDURES ON BREAST (EG, REDUCTION OR AUGMENTATION MAMMOPLASTY,
MUSCLE FLAPS)",ANESTHESIA RECONSTRUCTION BREAST,19995,12445,20825,12735,20875,12700,22675,13645,23465,13730,25095,14965,27915,16080,29200,16650,33250,19200,35650,20190,36615,20375
00404,"ANESTHESIA FOR PROCEDURES ON THE INTEGUMENTARY SYSTEM ON THE
EXTREMITIES, ANTERIOR TRUNK AND PERINEUM; RADICAL OR MODIFIED RADICAL
PROCEDURES ON BREAST",ANESTHESIA RADICAL/MODIFIED RADICAL BREAST,46980,33955,45200,33125,42175,30765,39375,28460,37385,27155,34575,25285,32605,23600,29960,21655,29160,21045,18450,13140,15100,10775
00406,"ANESTHESIA FOR PROCEDURES ON THE INTEGUMENTARY SYSTEM ON THE
EXTREMITIES, ANTERIOR TRUNK AND PERINEUM; RADICAL OR MODIFIED RADICAL
PROCEDURES ON BREAST WITH INTERNAL MAMMARY NODE DISSECTION",ANES RADICAL/MODIFIED RADICAL BREAST W/NODES,1515,1260,1085,975,1025,890,985,765,935,705,790,610,590,470,565,480,1115,555,505,405,605,475
0040T,PLCMT EXT PROS REP DESCEND TAA EA EXT RAD S&I,PLCMT EXT PROS REP DESCEND TAA EA EXT RAD S&I,410,140,645,285,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0
00410,"ANESTHESIA FOR PROCEDURES ON THE INTEGUMENTARY SYSTEM ON THE
EXTREMITIES, ANTERIOR TRUNK AND PERINEUM; ELECTRICAL CONVERSION OF
ARRHYTHMIAS",ANES INTEG SYS XTR ANT TRNK&PR ELEC CONV ARRHYTS,60040,40890,59600,40565,61560,41065,61855,40965,65095,42255,70680,45300,75170,47550,78315,48800,80275,49175,82880,49690,83880,50330
0041T,URNLS NFCT AGT DETCJ SEMI-QUAN ALYS VLTL COMPND,URNLS NFCT AGT DETCJ SEMI-QUAN ALYS VLTL COMPND,.,.,30,25,50,45,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0
0042T,"CEREBRAL PERFUSION ANALYSIS USING COMPUTED TOMOGRAPHY WITH
CONTRAST ADMINISTRATION, INCLUDING POST-PROCESSING OF PARAMETRIC
MAPS WITH DETERMINATION OF CEREBRAL BLOOD FLOW, CEREBRAL BLOOD
VOLUME, AND MEAN TRANSIT TIME",CEREBRAL PERFUSION ANALYS CT W/BLOOD FLOW&VOLUME,380,240,780,630,1250,925,2265,1915,4460,3830,6590,5925,9375,8350,10565,9600,11905,10450,13110,11690,12535,11245
0043T,CARBON MONOXIDE EXP GAS ALYS,CARBON MONOXIDE EXP GAS ALYS,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0044T,WHBDY INTEG PHTGRPHY DYSPLSTC NEVUS FAMIL MLNMA,WHBDY INTEG PHTGRPHY DYSPLSTC NEVUS FAMIL MLNMA,45,30,45,45,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00450,"ANESTHESIA FOR PROCEDURES ON CLAVICLE AND SCAPULA; NOT OTHERWISE
SPECIFIED",ANESTHESIA CLAVICLE AND SCAPULA NOS,4465,3300,3660,2650,3995,2850,3845,2690,4155,2915,4190,2900,4245,2920,4520,3060,4765,3185,4665,3220,5235,3600
00452,ANESTHESIA FOR PROCEDURES ON CLAVICLE AND SCAPULA; RADICAL SURGERY,ANESTHESIA CLAVICLE & SCAPULA RADICAL SURGERY,80,65,135,105,80,55,85,65,105,75,85,65,95,75,50,35,40,35,90,65,90,75
00454,"ANESTHESIA FOR PROCEDURES ON CLAVICLE AND SCAPULA; BIOPSY OF
CLAVICLE",ANESTHESIA CLAVICLE & SCAPULA BIOPSY CLAVICLE,240,180,200,170,170,125,165,115,125,105,145,105,155,120,190,115,115,90,150,115,180,105
0045T,WHBDY INTEG PHTGRPHY DYSPLSTC NEVI PRSNL MLNMA,WHBDY INTEG PHTGRPHY DYSPLSTC NEVI PRSNL MLNMA,30,25,60,60,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0046T,CATH LVG MAM DUX COLLJ CYTOL SPEC EA BRST 1 DUX,CATH LVG MAM DUX COLLJ CYTOL SPEC EA BRST 1 DUX,15,15,15,15,.,.,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0
00470,ANESTHESIA FOR PARTIAL RIB RESECTION; NOT OTHERWISE SPECIFIED,ANESTHESIA PARTIAL RIB RESECTION NOS,1910,1350,2025,1515,2010,1485,2070,1545,2235,1685,2350,1645,2130,1580,2275,1640,2430,1790,2105,1520,2485,1750
00472,ANESTHESIA FOR PARTIAL RIB RESECTION; THORACOPLASTY (ANY TYPE),ANESTHESIA PARTIAL RIB RESECTION THORACOPLASTY,325,255,375,280,350,250,325,250,270,200,340,255,260,205,385,285,430,300,440,320,410,315
00474,"ANESTHESIA FOR PARTIAL RIB RESECTION; RADICAL PROCEDURES (EG, PECTUS
EXCAVATUM)",ANESTHESIA PARTIAL RIB RESECTION RADICAL,425,300,320,240,225,190,265,205,175,125,170,120,130,100,120,100,190,145,165,110,260,185
0047T,CATH LVG MAM DUX COLLJ CYTOL SPEC EA BRST EA DUX,CATH LVG MAM DUX COLLJ CYTOL SPEC EA BRST EA DUX,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0048T,IMPLTJ VENTR ASSIST DEV XTRCORP PRQ T-SEPTAL,IMPLTJ VENTR ASSIST DEV XTRCORP PRQ T-SEPTAL,.,.,.,.,75,55,135,100,120,80,160,125,245,160,265,210,270,185,0,0,0,0
