drug_id,LABEL,nrecs2006,nppl_any2006,nrecs2007,nppl_any2007,nrecs2008,nppl_any2008,nrecs2009,nppl_any2009,nrecs2010,nppl_any2010,nrecs2011,nppl_any2011,nrecs2012,nppl_any2012,nrecs2013,nppl_any2013
d00114,ofloxacin,6945,5000,5510,3540,3780,2570,3355,2375,2575,1715,2080,1380,1840,1150,1230,755
d00115,oxacillin,1125,295,1050,330,1120,335,1295,360,1400,390,1895,440,2250,435,1780,515
d00116,penicillin,429380,315210,481025,351605,4575,3680,650,570,200,165,30,30,,,0,0
d00117,pyrazinamide,2175,1045,2485,1245,2375,1045,1895,950,2100,975,2195,1015,2070,1055,1690,865
d00118,sulfadiazine,2015,470,2065,535,1715,415,1630,500,1575,470,1590,505,2020,550,2015,530
d00119,sulfamethoxazole,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d00120,sulfisoxazole,625,180,270,80,160,45,115,40,0,0,0,0,0,0,0,0
d00122,ticarcillin-clavulanate,1880,650,1245,425,645,315,550,190,430,175,185,85,160,70,45,25
d00123,trimethoprim,114440,28230,120580,29770,126415,30740,125700,31615,129400,32930,138535,34945,158595,40670,185920,47420
d00124,sulfamethoxazole-trimethoprim,2009725,1184155,2329525,1367505,2470825,1461555,2571000,1531180,2654710,1596245,2730845,1654185,2819275,1715625,3041280,1869750
d00125,vancomycin,139485,47405,171950,55635,187010,61950,196515,63355,206785,65315,218125,68485,226290,72970,248555,80670
d00127,zalcitabine,1335,175,305,100,0,0,0,0,0,0,0,0,0,0,0,0
d00128,acebutolol,98080,15130,110265,15120,102830,14580,94695,13930,88780,13595,84090,13565,82355,13820,88370,15595
d00129,diazoxide,640,135,930,105,1100,145,995,160,775,120,815,130,1045,185,1030,180
d00130,guanabenz,6520,995,6340,770,2820,590,1095,190,790,130,555,100,115,35,0,0
d00132,hydralazine,810075,154900,1001745,181995,1134385,205105,1296560,236390,1488760,273435,1704205,315080,1958540,364005,2298340,434480
d00133,methyldopa,108500,18330,112420,17030,100760,15485,87830,14310,79785,13230,73355,13060,68070,12225,49170,10505
d00134,metoprolol,17140090,2711495,20676145,3002305,21578380,3144995,20719565,3144910,20797915,3218870,21269820,3400685,21753500,3597685,23834230,4095490
d00135,minoxidil,212760,40895,233940,42475,239880,42905,239610,44085,237280,43280,230360,42920,223280,43205,223945,43675
d00136,nitroprusside,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
d00137,pindolol,66090,10350,70535,10040,64870,9445,60605,9225,56450,8975,55525,9145,52280,8870,54475,9575
d00138,prazosin,128720,20850,140790,21610,135670,21405,133690,22330,141830,25000,159215,28960,194160,35525,240625,45125
d00139,timolol,17045,2735,19030,2645,17155,2475,15125,2290,14305,2275,13095,2235,12585,2265,13140,2510
d00140,cimetidine,247685,59690,226880,51670,191200,44140,163695,39125,139205,34405,119660,30350,104215,26825,85815,24265
d00141,famotidine,1656840,339505,1784530,347370,1749560,338920,1807340,371710,2135335,440470,2352870,477645,2409175,492435,2599585,537800
d00142,theophylline,927630,146220,900065,134990,801715,121815,713625,110490,647420,101720,582895,94280,525005,86085,492810,83920
d00143,phenytoin,2536075,292850,2554885,282920,2407355,266545,2237165,249665,2104005,236750,1970155,224670,1831630,210080,1739985,200290
d00144,nortriptyline,593475,113665,623225,113960,606635,110610,595030,113220,606830,118630,629070,124830,656785,132145,719455,148760
d00145,desipramine,73490,13215,76210,12890,69265,11915,67485,11990,66960,12155,63025,11410,59570,11440,63090,12195
d00146,amitriptyline,2748595,514290,2898800,512880,2818210,495515,2693045,486620,2675910,493740,2699010,506055,2712250,518810,2778640,534475
d00147,chloral hydrate,27700,9015,27460,8645,14790,4680,9785,3520,5510,1835,4860,1570,4850,1700,390,240
d00148,diazepam,24565,9205,91820,29700,103525,30920,112440,33560,136170,40585,73720,25045,101250,33550,2819210,725680
d00149,lorazepam,99340,36130,334475,79820,393820,86005,334170,77095,403140,89720,237815,57705,299705,69305,6538005,1377895
d00150,colchicine,708025,197630,829180,221635,862585,229915,867400,239680,741860,222715,662120,205240,744530,221085,872360,258445
d00153,dicloxacillin,49845,37355,48510,36145,43825,32090,39830,29235,38235,27420,35605,25430,35770,25000,37585,26240
d00154,mebendazole,8240,6515,9355,7360,9465,7505,9395,7400,9745,7670,9835,7690,5475,4350,595,540
d00155,miconazole,0,0,0,0,0,0,0,0,265,225,1075,855,135,125,,
d00157,nalidixic acid,60,15,,,,,0,0,0,0,0,0,0,0,0,0
d00158,quinacrine,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d00159,streptomycin,130,40,65,40,110,70,145,35,135,50,110,55,280,85,350,65
d00160,thiabendazole,185,170,60,55,,,,,0,0,0,0,0,0,0,0
d00161,acetazolamide,133990,39155,147205,43280,143820,42440,142335,42340,140865,42570,147805,45445,160370,50245,170880,55775
d00162,acetohexamide,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d00164,adenosine,0,0,0,0,,,,,0,0,,,0,0,0,0
d00168,alprazolam,72725,21775,419300,93210,473475,96190,442875,94130,554135,112100,332205,67445,451500,95265,8150425,1556830
d00169,amiloride,38220,6900,44055,7820,43030,7815,44345,7770,44150,8125,44545,8535,46750,9170,53130,10690
d00170,aspirin,5100,2805,1805,360,910,235,980,300,2475,795,3225,930,1540,375,15615,5365
d00173,atracurium,0,0,0,0,0,0,0,0,,,20,20,0,0,0,0
d00174,atropine,6315,1480,6885,1475,4250,1090,2560,725,2160,580,975,375,150,115,165,65
d00175,benztropine,1429290,188920,1587240,201010,1665955,209190,1725925,217340,1814140,227515,1880490,235585,1909555,239370,1910605,238815
d00176,betaxolol,24705,4150,27250,4125,20340,3610,14920,2345,14135,2230,13015,2155,11925,2035,12220,2275
d00177,bleomycin,,,20,20,50,25,,,15,15,,,60,35,,
d00178,bromocriptine,41300,6270,43360,6320,43405,6430,42700,6380,42590,6375,44125,7170,47105,7700,46630,8155
d00179,bumetanide,702310,130080,770515,136970,765770,138065,754115,138860,778825,147525,813930,156425,840060,164385,929505,189890
d00180,bupivacaine,850,540,735,530,680,455,615,370,470,270,470,405,620,390,875,480
d00181,bupropion,2168215,404295,2472410,418065,2543165,416735,2638955,442890,2738905,464315,2991660,508220,3199340,550305,3544595,616385
d00182,buspirone,1110590,188535,1214765,200480,1242000,206135,1265675,213665,1333425,225655,1434455,248330,1543185,271380,1729940,306925
d00183,busulfan,205,60,,,0,0,,,0,0,0,0,,,,
d00184,carbidopa,10970,1965,12625,2185,14300,2485,14645,2505,14275,2565,13825,2535,13530,2515,17320,2970
d00185,carboplatin,750,245,615,180,575,175,1050,250,1085,350,1400,375,1110,365,1395,385
d00188,chlorambucil,12885,3490,12830,3420,11875,3200,10810,2840,10045,2565,8540,2205,7710,2075,7975,2260
d00189,chlordiazepoxide,5295,1825,8385,2115,8590,1975,9020,2100,10315,2420,4795,1150,5890,1615,64035,21940
d00190,chlorothiazide,22930,4550,24010,4245,22705,3765,20605,3590,19230,3255,17500,3135,15930,2940,14295,2970
d00191,chlorpheniramine,22795,9100,10850,5250,3485,1435,1155,795,445,250,45,30,0,0,70,20
d00192,chlorthalidone,167445,31070,186420,33055,195530,36900,237490,50485,303070,63785,391695,86515,562450,126975,755710,166135
d00193,cholestyramine,265455,91925,293200,100355,304420,106005,313055,108805,324725,113040,333650,114105,340665,116565,363045,126195
d00195,cisplatin,155,70,90,55,225,85,170,75,195,75,310,95,400,130,435,150
d00197,clonazepam,64220,22600,216840,41175,254470,43375,231130,40910,297855,51780,181955,35165,235025,42190,5923765,891675
d00198,clorazepate,3625,920,10700,2565,12060,2550,13745,2925,16145,3500,8630,2105,12590,2685,189485,38755
d00199,clozapine,1061025,50285,1097875,53190,1094720,54285,1072355,54990,1081005,56090,1072030,56560,1051745,56310,1063845,56280
d00200,cromolyn,15460,4105,15895,4040,14410,4035,9520,3045,1765,405,1790,395,1795,385,2035,495
d00201,cytarabine,90,15,135,50,125,40,160,35,150,45,205,20,365,55,205,35
d00202,dacarbazine,,,,,,,,,0,0,0,0,,,,
d00203,dactinomycin,0,0,0,0,0,0,0,0,0,0,,,,,0,0
d00204,danazol,8240,1775,8785,1755,9090,1890,8335,1650,7545,1535,7900,1525,7790,1550,7280,1615
d00206,dexamethasone,223030,111910,265190,132395,283905,140135,297270,145920,305155,151335,328490,164930,344245,170930,390540,193775
d00207,dextromethorphan,,,,,0,0,0,0,0,0,0,0,0,0,35,25
d00208,diflunisal,46690,16150,49305,16310,44590,14735,40525,13385,38020,12870,34560,12020,32795,11525,34005,12070
d00210,digoxin,5516325,856475,5712535,827550,5240640,771100,4630000,703255,4208390,659845,3894900,630800,3626780,608170,3526450,616920
d00211,dihydroergotamine,3795,1495,4365,1415,5205,1660,4990,1630,4930,1605,4900,1510,4445,1455,5075,1565
d00212,diphenhydramine,194055,66680,206470,70450,238690,78555,204455,67030,149875,47955,129425,41780,55980,21265,33930,13365
d00213,dipyridamole,229865,39350,226900,36030,205190,32310,187140,29595,173460,28300,157330,26060,115145,21010,91005,17250
d00214,disopyramide,55170,7805,55270,7260,49360,6810,40050,5810,32660,4775,28570,4340,25610,4020,25095,4290
d00215,dobutamine,,,275,25,135,25,160,20,,,,,40,20,525,50
d00216,dopamine,20,15,,,,,,,,,,,0,0,0,0
d00217,doxepin,547700,96975,572700,96595,551430,95290,528950,94825,529280,98065,584630,115955,612970,121250,635165,126475
d00218,doxorubicin,160,60,315,90,85,45,65,35,245,80,150,55,270,95,210,95
d00219,droperidol,360,125,320,195,360,155,260,125,50,40,135,45,65,30,30,20
d00220,edrophonium,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
d00222,ergotamine,50,30,90,50,100,20,80,35,90,70,65,50,85,70,25,15
d00223,epoetin alfa,305620,64095,297015,56480,243130,47835,214690,42415,177100,36055,144620,29430,128160,26155,120655,25355
d00224,esmolol,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
d00227,ethosuximide,10850,1235,11395,1215,11505,1230,10385,1145,10825,1265,11380,1295,11245,1260,11530,1310
d00229,ethinyl estradiol,,,,,0,0,0,0,0,0,0,0,0,0,0,0
d00230,etoposide,685,330,220,80,135,80,230,70,295,95,415,135,210,75,265,85
d00231,felodipine,924285,161150,1230370,179410,1085195,152580,891165,128110,739980,109800,618435,97415,511290,83065,484180,81950
d00233,fentanyl,1799910,296980,2044085,319275,2150330,319795,2077180,304390,2050510,304610,2072105,309585,2133020,311820,2228615,321430
d00234,flecainide,159255,25670,196985,29810,212215,33165,228035,37105,243460,40860,269515,46690,301120,54315,364505,68380
d00235,fluorouracil,1030,370,1000,390,910,350,1215,475,1225,400,1125,340,930,280,1425,300
d00236,fluoxetine,2944600,468765,3258915,489825,3283740,492420,3230950,497125,3301465,511995,3407455,540990,3540300,570325,3824775,626580
d00237,fluphenazine,289215,39885,316875,41080,323150,41055,334600,41475,343195,43080,336805,42635,332590,39920,307465,38420
d00238,flurazepam,1910,615,6720,1785,7545,1745,7385,1730,8415,1850,3395,855,4450,1070,35470,12500
d00239,flurbiprofen,33890,10720,33305,10485,30490,9175,26980,8335,23715,7415,20895,6790,19835,6590,19930,6915
d00240,flutamide,16495,3390,18355,3755,18055,3605,17035,3500,13655,2840,12290,2335,9455,1915,8065,1570
d00241,folic acid,169220,68720,501700,118960,95095,18240,62940,12900,71860,14455,74145,14520,121270,26130,211830,48725
d00242,fosinopril,768840,119795,768995,109565,677775,96645,582075,86280,503090,77375,440525,69690,390930,65005,382775,68330
d00245,gemfibrozil,1353540,238945,1489220,245620,1526380,252325,1538770,262585,1456630,258510,1416785,255270,1286645,234835,1257685,236365
d00246,glipizide,4788155,712530,5179305,728365,5069180,714530,4799530,705130,4669300,709865,4550290,720260,4431960,727945,4716070,811750
d00248,glyburide,2893580,454295,2957665,446480,2759715,419435,2503920,395980,2331005,380980,2172815,366770,1974165,344940,1519035,308930
d00250,gold sodium thiomalate,290,125,230,110,220,105,105,40,75,35,40,25,0,0,0,0
d00252,heparin,66925,18500,76155,19815,75355,17930,88295,19520,99615,20845,109220,21705,112855,21595,113820,21325
d00253,hydrochlorothiazide,9012385,1708080,10253210,1800075,10288175,1810640,9933155,1810790,9792920,1835500,9951315,1937735,9930435,1970415,10454395,2136065
d00254,hydrocortisone,130320,28715,147010,31250,156365,31550,160060,31620,167620,32200,180290,35205,194090,37100,211385,40710
d00255,hydromorphone,293565,82995,371980,102125,427855,116100,494415,134440,551670,149325,650505,172770,744435,190515,817060,204715
d00256,idarubicin,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
d00257,ifosfamide,0,0,0,0,,,,,,,,,65,25,,
d00259,imipramine,312195,54110,328765,54565,319180,52890,297985,51095,288955,49395,283375,49270,275245,48520,271855,48080
d00260,indapamide,414965,68440,426350,64865,392225,62100,350940,58420,324105,55660,308645,56315,299840,56535,315140,62400
d00265,ipratropium,888800,237600,851515,213410,799790,202455,753130,189135,694745,170825,585525,143655,488515,119730,434475,109505
d00268,isosorbide dinitrate,700415,119720,684630,111190,612175,101965,778060,132005,658925,108995,591770,102105,476050,93520,425110,82515
d00269,isosorbide mononitrate,4151865,643255,4448930,650010,4306925,635820,3794340,604045,3782130,599730,3731930,606345,3774310,631190,3975790,682155
d00270,isradipine,220640,42560,250270,41475,163230,31630,78000,13255,51920,9405,35660,6690,19250,4515,17715,3535
d00271,kanamycin,25,20,40,20,50,15,,,0,0,0,0,0,0,0,0
d00272,ketamine,1755,760,2320,945,1600,595,0,0,0,0,0,0,0,0,0,0
d00273,ketorolac,67705,48780,86035,62755,79940,56500,84130,58525,85780,61300,101610,73110,77975,56740,64155,46175
d00275,leucovorin,28860,5760,33565,6265,34190,6455,33775,6605,35705,7185,37870,8075,41605,9075,47260,10240
d00278,levothyroxine,17517500,2462160,20431050,2616855,20924370,2725155,20764760,2824305,21352765,2975120,22024385,3179380,22931595,3416450,25533020,3937730
d00279,lincomycin,355,290,450,350,445,360,515,400,440,295,320,240,295,215,250,210
d00280,lovastatin,3296020,581410,4005830,626975,3937570,617895,3707420,599760,3382275,571970,3371700,587415,3021060,554695,3051915,569725
d00282,mannitol,50,30,320,55,125,75,40,35,65,30,115,55,45,30,65,15
d00283,meclofenamate,7480,2250,5145,1445,3705,1040,3385,920,3025,890,2350,705,1975,620,1760,540
d00284,medroxyprogesterone,249835,65080,260350,67285,253680,66975,251795,68535,261885,71645,264200,73895,274285,76105,300130,81365
d00285,mefenamic acid,1485,830,1550,780,975,480,620,310,295,215,560,210,415,245,470,255
d00286,mefloquine,6155,5190,7515,6300,7245,6000,6015,5175,6880,5740,6645,5795,6760,5920,8045,6990
d00287,melphalan,3800,1430,620,195,370,100,235,135,495,240,170,70,180,60,320,120
d00288,meprobamate,63640,12310,63930,11345,46485,8945,40505,7195,34535,6315,28485,5555,17695,3680,13010,2845
d00289,mercaptopurine,26260,4675,31190,5195,32560,5360,33355,5660,34270,5910,36995,6680,40170,7230,45970,8355
d00290,methimazole,169465,32070,201090,35255,219140,38250,230290,41155,251005,45100,269835,48655,286490,52705,324990,60520
d00292,methsuximide,2385,255,2310,260,2040,240,2120,245,2135,240,2130,240,2120,255,2420,255
d00293,methylprednisolone,834225,621670,1007895,746190,1143525,842515,1219025,902730,1356235,1002585,1059620,818710,1375710,1042535,1643535,1246420
d00295,methyltestosterone,5250,1280,5750,1250,4980,1035,5160,1200,3965,880,2545,560,1510,340,1540,365
d00297,metipranolol ophthalmic,16550,3865,15970,3180,13175,2505,10970,2055,8570,1765,7405,1440,5835,1230,5475,1175
d00298,metoclopramide,2004570,539925,2202895,591140,2275250,602525,2083400,565270,1604690,449690,1396035,393360,1276190,366070,1203315,354245
