Revenue Center Code,Revenue Center Label,# of records with this revenue center code in 2004,# of people with this revenue center code in 2004,# of records with this revenue center code in 2005,# of people with this revenue center code in 2005,# of records with this revenue center code in 2006,# of people with this revenue center code in 2006,# of records with this revenue center code in 2007,# of people with this revenue center code in 2007,# of records with this revenue center code in 2008,# of people with this revenue center code in 2008,# of records with this revenue center code in 2009,# of people with this revenue center code in 2009,# of records with this revenue center code in 2010,# of people with this revenue center code in 2010,# of records with this revenue center code in 2011,# of people with this revenue center code in 2011,# of records with this revenue center code in 2012,# of people with this revenue center code in 2012,# of records with this revenue center code in 2013,# of people with this revenue center code in 2013,# of records with this revenue center code in 2014,# of people with this revenue center code in 2014
0124,Semi-private 2 bed (medical or general)-psychiatric,50,30,60,40,45,35,65,45,75,60,.,.,15,15,100,75,150,75,35,20,15,15
0127,Semi-private 2 bed (medical or general)-oncology,0,0,.,.,30,30,75,30,35,35,20,20,0,0,0,0,0,0,.,.,0,0
0128,Semi-private 2 bed (medical or general)-rehabilitation,110,40,60,25,120,20,35,35,20,20,30,25,20,15,240,15,35,30,15,15,80,.
0129,Semi-private 2 bed (medical or general)-other,0,0,0,0,0,0,0,0,0,0,0,0,25,.,0,0,0,0,0,0,0,0
0130,Semi-private 3 and 4 beds-general classification,0,0,0,0,0,0,.,.,0,0,.,.,20,15,0,0,0,0,0,0,.,.
0131,Semi-private 3 and 4 beds-medical/surgical/GYN,.,.,.,.,.,.,0,0,0,0,0,0,15,15,0,0,15,15,0,0,15,15
0133,Semi-private 3 and 4 beds-pediatric,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0134,Semi-private 3 and 4 beds-psychiatric,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0
0140,Private (deluxe)-general classification,.,.,180,140,.,.,0,0,0,0,.,.,0,0,0,0,.,.,0,0,0,0
0142,Private (deluxe)-OB,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0
0147,Private (deluxe)-oncology,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,.,.,0,0
0150,Room&Board ward (medical or general)-general classification,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,0,0
0151,Room&Board ward (medical or general)-medical/surgical/GYN,0,0,0,0,.,.,.,.,.,.,15,15,0,0,0,0,0,0,.,.,.,.
0152,Room&Board ward (medical or general)-OB,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,.,.
0154,Room&Board ward (medical or general)-psychiatric,0,0,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0155,Room&Board ward (medical or general)-hospice,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0
0156,Room&Board ward (medical or general)-detoxification,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0158,Room&Board ward (medical or general)-rehabilitation,0,0,0,0,0,0,205,.,0,0,.,.,20,20,15,15,20,20,0,0,0,0
0159,Room&Board ward (medical or general)-other,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0
0160,Other Room & Board-general classification,.,.,0,0,0,0,.,.,0,0,.,.,0,0,0,0,0,0,.,.,0,0
0164,Other Room & Board-sterile environment,.,.,130,25,20,.,40,20,.,.,40,30,85,40,40,30,35,20,0,0,0,0
0169,Other Room & Board-other,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0
0170,Nursery-general classification,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0
0171,Nursery-newborn level I (routine),0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0
0172,Nursery-premature newborn-level II (continuing care),0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0173,Nursery-newborn-level III (intermediate care) (eff 10/96),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0
0174,Nursery-newborn-level IV (intensive care) (eff 10/96),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0
0180,Leave of absence-general classification,275,140,225,105,.,.,40,30,55,40,20,15,25,25,.,.,0,0,0,0,0,0
0182,Leave of absence-patient convenience charges billable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0
0190,Subacute care - general classification (eff. 10/97),0,0,0,0,0,0,15,15,0,0,0,0,75,15,80,.,.,.,.,.,0,0
0191,Subacute care - level I (eff. 10/97),0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0192,Subacute care - level II (eff. 10/97),0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,20,.,20,.,0,0
0200,Intensive care-general classification,105,85,720,185,175,115,170,125,115,95,135,120,155,115,135,70,155,85,230,95,760,155
0201,Intensive care-surgical,.,.,.,.,20,15,45,45,55,50,40,40,50,35,40,25,40,40,85,55,115,25
0202,Intensive care-medical,35,20,65,55,85,65,100,95,105,90,160,130,110,90,175,100,95,65,150,50,175,100
0204,Intensive care-psychiatric,.,.,15,.,.,.,0,0,.,.,0,0,0,0,.,.,0,0,0,0,0,0
0206,Intensive care-post ICU; redefined as intermediate ICU (eff 10/96),335,230,470,285,490,280,610,490,765,610,670,510,980,650,910,570,535,355,610,400,1445,605
0207,Intensive care-burn care,.,.,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0208,Intensive care-trauma,.,.,0,0,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,30,15
0209,Intensive care-other intensive care,.,.,35,25,20,15,25,25,45,35,15,15,45,20,25,20,25,25,25,25,15,15
0210,Coronary care-general classification,30,30,105,70,100,55,45,45,75,65,95,55,75,70,105,75,65,50,55,45,100,50
0211,Coronary care-myocardial infraction,0,0,0,0,.,.,0,0,0,0,.,.,45,45,35,35,0,0,0,0,0,0
0212,Coronary care-pulmonary care,0,0,0,0,0,0,0,0,.,.,0,0,.,.,0,0,0,0,0,0,0,0
0213,Coronary care-heart transplant,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0214,Coronary care-post CCU; redefined as intermediate CCU (eff 10/96),40,40,80,65,145,105,470,370,1030,770,1045,925,580,465,610,485,595,495,425,350,940,395
0219,Coronary care-other coronary care,35,.,45,.,35,35,95,60,50,45,65,55,45,45,70,60,70,50,80,65,80,55
0220,Special charges-general classification,35,35,15,15,30,25,40,35,60,35,25,25,100,85,155,95,40,25,50,35,20,15
0221,Special charges-admission charge,0,0,50,50,25,25,.,.,0,0,20,20,.,.,0,0,.,.,25,25,.,.
0222,Special charges-technical support charge,.,.,0,0,0,0,0,0,0,0,0,0,.,.,50,50,60,50,1025,105,300,55
0223,Special charges-UR service charge,.,.,0,0,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0229,Special charges-other special charges,.,.,0,0,.,.,.,.,.,.,35,20,.,.,0,0,.,.,0,0,0,0
0230,Incremental nursing charge rate-general classification,35,30,715,35,145,75,330,220,45,35,80,60,30,30,100,55,45,30,125,120,30,30
0231,Incremental nursing charge rate-nursery,0,0,145,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0
0232,Incremental nursing charge rate-OB,.,.,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0233,Incremental nursing charge rate-ICU (include transitional care),135,100,55,35,15,.,0,0,.,.,.,.,0,0,.,.,.,.,.,.,.,.
0235,Incremental nursing charge rate-hospice,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
0239,Incremental nursing charge rate-other,0,0,0,0,0,0,0,0,0,0,.,.,.,.,0,0,0,0,0,0,0,0
0240,All inclusive ancillary-general classification,123760,5700,142355,4920,110110,4675,112035,5380,120590,6120,104980,5115,74520,4615,80890,4270,75785,4230,64630,4755,71635,6355
0241,All inclusive ancillary-basic,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,.,.,0,0,.,.
0242,All inclusive ancillary-comprehensive,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,0,0,.,.,.,.
0243,All inclusive ancillary-specialty,0,0,.,.,0,0,0,0,0,0,.,.,0,0,.,.,.,.,0,0,0,0
0249,All inclusive ancillary-other inclusive ancillary,.,.,0,0,0,0,0,0,.,.,40,40,15,15,0,0,0,0,80,25,205,45
0250,Pharmacy-general classification,13870075,7236610,14654810,7366755,14410275,7137950,14685180,7044975,15130390,6966030,16691160,6962410,17237875,7054955,18097825,7156935,19779725,7311015,20577285,7229280,21197760,7197625
0251,Pharmacy-generic drugs,872870,533620,876105,524010,799470,485305,773175,458120,785860,442725,804845,428530,772400,408840,751820,391985,750435,380240,712055,357555,655490,327995
0252,Pharmacy-nongeneric drugs,518895,345630,500840,319455,467970,294990,444595,277710,433645,263885,428010,249130,419555,241680,387930,218480,392995,209110,369090,194535,311355,171060
0253,Pharmacy-take home drugs,150075,90560,118055,80280,99470,72755,100755,70800,96620,65235,78510,52830,67040,44710,69290,46240,59585,40520,53690,38945,51785,36130
0254,Pharmacy-drugs incident to other diagnostic service-subject to payment limit,155865,136275,139210,118975,89435,76465,67215,56625,55285,43715,71810,54285,95000,68950,111630,81310,110810,83950,126645,96525,132135,98085
0255,Pharmacy-drugs incident to radiology-subject to payment limit,2107465,1635235,1906820,1474475,1050360,826215,756960,594315,635170,499000,738085,571050,775060,596645,848620,650510,904390,689570,929270,702340,974475,721405
0256,Pharmacy-experimental drugs,145,105,100,50,20,20,40,15,0,0,0,0,15,15,295,70,280,60,160,35,320,35
0257,Pharmacy-non-prescription,35095,26950,35595,26470,37770,27010,37530,26885,36480,25315,37505,24780,31325,20445,32055,20145,38700,22485,26790,16405,22900,13345
0258,Pharmacy-IV solutions,6151640,3872580,6497595,3934350,6304945,3775575,6199925,3630290,6104785,3481710,6251535,3405325,6357970,3367665,6428700,3331665,6569385,3307440,6303165,3120060,6278165,3021310
0259,Pharmacy-other pharmacy,1848300,1172170,1848145,1127115,1712700,1035850,1658775,979655,1647510,932760,1692635,892900,1687510,874205,1646790,832085,1768820,824925,1808230,778085,1701340,726545
0260,IV therapy-general classification,2654490,1215750,3324550,1135865,3687605,1193050,4146490,1252580,4594700,1329710,5313235,1475865,6227235,1670615,7108515,1807620,8087430,1967275,8944130,2100665,9535965,2202700
0261,IV therapy-infusion pump,9185,4020,16715,5155,8165,3550,9195,3450,9205,3870,8765,3115,10495,3695,8140,3215,7895,2835,4175,2095,3050,1440
0262,IV therapy-pharmacy services (eff 10/94),9260,3645,18265,7175,19935,7015,17555,5460,15175,5080,9925,3750,8350,2940,9705,3275,11090,3920,8620,3375,9930,3665
0263,IV therapy-drug supply/delivery (eff 10/94),9090,2420,12840,3440,10915,2955,5700,2500,2685,1280,2740,1315,8310,2425,5255,1660,1755,720,2880,980,4025,1645
0264,IV therapy-supplies (eff 10/94),44430,29780,50705,31910,43295,27955,42850,26985,36355,20050,34265,16565,37430,18385,32465,17610,31765,16485,26830,14220,26630,15040
0269,IV therapy-other IV therapy,52395,24570,44620,18325,43860,15950,54465,19235,53720,17645,60020,21405,60995,22380,63540,23075,62150,20575,50270,17485,46630,14510
0270,Medical/surgical supplies-general classification (also see 062X),13959780,5898330,17519070,5821585,16615195,5462100,19958015,5208050,34142310,5043845,40306010,4970975,39546050,4939250,39158180,4884880,37555100,4787030,37790900,4581485,36491495,4396635
0271,Medical/surgical supplies-nonsterile supply,1814700,1291880,1881380,1317635,1815435,1259290,1771325,1238325,1820975,1248950,1927175,1281810,2001415,1320760,2071250,1348165,2059100,1335380,1986635,1285535,1865735,1215130
0272,Medical/surgical supplies-sterile supply,7688105,4409825,8933915,4675750,9378720,4638900,9486375,4584255,10148480,4588070,11247080,4705905,11756305,4846515,11934180,4951455,12205075,5047990,12111400,4984775,12003385,4924995
0273,Medical/surgical supplies-take home supplies,18575,11580,16745,10140,12830,7770,12475,7450,12755,6925,11275,6680,11030,6810,11315,6900,10630,6300,7330,4995,6750,4895
0274,Medical/surgical supplies-prosthetic/orthotic devices,1023360,133065,889600,142510,851885,151635,769260,157455,810245,156840,808260,165565,898080,166205,1003790,173655,960945,181965,880235,188625,823615,186960
0275,Medical/surgical supplies-pace maker,66770,57190,90910,69845,96125,71895,108240,82530,133800,99935,162055,119000,177415,127455,182465,130650,188475,132615,195950,137295,204870,141220
0276,Medical/surgical supplies-intraocular lens,774490,579150,735745,544320,681830,496925,642640,462435,599335,424845,589310,411210,571520,395045,564305,386000,559725,377575,553290,370250,529215,350810
0277,Medical/surgical supplies-oxygen-take home,.,.,0,0,0,0,.,.,0,0,.,.,0,0,.,.,0,0,0,0,.,.
0278,Medical/surgical supplies-other implants,765265,632800,964895,729305,1101895,786090,1152710,824525,1279255,896230,1505440,999955,1800285,1112765,1977140,1181685,2075290,1224595,2200070,1273710,2402345,1343840
0279,Medical/surgical supplies-other devices,348765,233335,336385,217265,334305,209665,315080,196365,308495,186510,315890,175750,308565,172150,298965,164445,284470,153620,273855,147895,260930,141290
0280,Oncology-general classification,254325,50310,273270,53915,279210,57575,279990,57545,263835,56825,243615,55015,236895,48380,250190,48625,276485,48235,289330,50585,275230,52495
0289,Oncology-other oncology,1625,675,2095,690,5180,1565,4320,1345,1855,875,765,270,455,80,350,120,100,30,25,25,.,.
0290,DME (other than renal)-general classification,1460,1185,1285,1090,1580,1370,2295,1825,1860,1490,1760,1475,1080,905,1065,895,555,525,430,405,340,300
0291,DME (other than renal)-rental,985,235,890,220,1125,210,860,140,200,90,15,15,50,35,280,95,95,40,235,25,60,20
0292,DME (other than renal)-purchase of new DME,500,440,450,420,405,335,475,420,555,535,410,390,565,425,325,275,355,325,440,425,315,255
0293,DME (other than renal)-purchase of used DME,.,.,0,0,0,0,.,.,0,0,.,.,15,15,.,.,0,0,0,0,0,0
0294,DME (other than renal)-related to and listed as DME,30,15,155,140,60,50,15,15,115,90,55,20,115,80,95,85,155,140,290,140,555,325
0299,DME (other than renal)-other,135,75,140,75,130,75,125,90,90,45,85,35,105,45,25,25,45,35,60,55,15,15
0300,Laboratory-general classification,123392050,13216905,124552665,13494785,119362085,13432520,114254705,13348275,115964455,13371490,117797260,13518175,119858330,13853870,124116905,14252530,124997525,14499310,123266830,14503075,121220415,14436725
0301,Laboratory-chemistry,78020860,10751590,83701785,11173175,86077810,11181815,88615090,11251540,91678340,11313755,96509545,11605225,102850125,12094855,114453655,12644580,119850855,13053555,116998235,13127455,116587460,13131435
0302,Laboratory-immunology,4676060,1638345,5112515,1776330,5109945,1768600,5256820,1770485,5534025,1825620,5932000,1957305,6353905,2045905,7122140,2241690,7468455,2360350,7611055,2412635,7628520,2438550
0303,Laboratory-renal patient (home),13400,1320,10445,355,12765,340,12150,230,11790,310,12570,225,7715,230,29115,1200,24795,1305,8465,700,11450,675
0304,Laboratory-non-routine dialysis,1327530,35435,1356235,36815,1266205,36580,1858975,39485,1444880,32335,1071965,19700,879850,16925,6982190,156740,7414555,158715,8536310,160460,8890455,162325
0305,Laboratory-hematology,34885600,8775685,36867250,9127915,37466420,9160120,38269555,9233750,38708035,9288705,39957295,9517560,41852315,9913410,44923310,10355395,45245415,10675495,44296580,10661940,43962220,10663460
0306,Laboratory-bacteriology & microbiology,8088595,2559450,8945990,2788675,9492480,2892665,10039415,3003495,10790910,3172205,11728355,3374580,12305320,3507890,13812095,3828920,14760270,4049575,15014090,4122850,15028500,4148375
0307,Laboratory-urology,4485385,2963415,4876315,3196310,5079220,3282645,5222600,3340945,5449450,3448290,5788830,3611980,6261105,3862400,6781245,4149110,7227325,4390365,7250235,4414735,7324955,4439925
0309,Laboratory-other laboratory,3122135,770550,2845425,713675,2574225,672790,2326120,628305,2342395,609620,2447430,645050,2564785,683855,2750320,722740,2614175,706675,2536895,697850,2490700,674985
0310,Laboratory pathological-general classification,3539890,1857020,3555350,1851435,3451340,1796145,3355225,1745200,3249295,1676655,3235725,1629920,3300540,1631700,3441940,1664065,3592145,1717275,3749365,1776445,3761605,1746935
0311,Laboratory pathological-cytology,1275315,990015,1266500,964445,1241435,930785,1208085,891725,1223905,870420,1240450,848595,1246965,824955,1283205,832535,1281995,788950,1280075,749010,1276375,717980
0312,Laboratory pathological-histology,1917895,1189890,2002470,1247045,2004015,1228450,1993670,1199605,2036905,1189475,2150015,1212960,2219095,1228265,2295020,1244245,2467305,1320265,2679450,1400835,2677610,1381695
0314,Laboratory pathological-biopsy,90745,68700,80745,61145,76825,59005,67820,51885,49345,36920,40100,30035,35110,26485,34295,25845,36205,27020,37555,27385,32850,24585
0319,Laboratory pathological-other,54265,37095,54325,36385,48430,31780,45455,29870,44535,29205,53110,30275,50355,30550,62090,35425,62225,35910,62590,33860,59940,32545
0320,Radiology diagnostic-general classification,16397030,8137335,16747735,8267510,16287200,8015215,15965575,7837815,15944175,7791400,16056995,7791200,16202825,7890065,16456645,8049105,16486775,8078455,16260055,8031270,16150795,8009960
0321,Radiology diagnostic-angiocardiography,34055,18540,33065,18350,30300,17210,25670,14765,23655,13685,22725,13390,20605,12860,17180,10985,14465,8770,12650,7965,10215,7065
0322,Radiology diagnostic-arthrography,10720,9755,11350,10165,10915,9970,11530,10560,11905,10775,13400,11840,14660,13020,15455,13760,16860,14950,17220,15085,18135,16080
0323,Radiology diagnostic-arteriography,261360,135005,265895,138870,263350,136900,254925,131650,247630,128545,257700,132720,219600,114320,196325,103935,179585,93060,138295,79845,128925,75165
0324,Radiology diagnostic-chest X-ray,5426670,3885490,5741180,4101930,5586980,3977160,5639415,4000540,5802800,4077195,5916445,4137095,6021425,4201135,6311610,4369430,6541395,4512095,6440225,4456905,6407605,4434095
0329,Radiology diagnostic-other,276860,162375,262370,155195,251915,149605,240140,142355,235015,139515,229295,137935,226545,137875,224735,137520,222550,137860,218150,136710,216085,138125
0330,Radiology therapeutic-general classification,7410,2060,13975,3865,12265,3360,11410,3235,12870,3430,15990,3185,19245,3425,23885,4760,19730,4370,21805,4620,20790,4425
0331,Radiology therapeutic-chemotherapy injected,173525,32605,200335,34975,241165,43555,269295,49075,273070,50570,286915,54110,316775,58920,381035,69595,479720,84590,571005,99165,627740,109620
0332,Radiology therapeutic-chemotherapy oral,225,45,210,55,180,135,60,50,150,45,110,45,30,25,220,45,100,25,375,55,305,30
0333,Radiology therapeutic-radiation therapy,7096135,216500,7055045,213930,6838360,205945,6980750,204190,6808480,196440,6526155,190225,6488895,186010,6695865,192020,6606535,190435,6569360,190695,6426965,190805
0335,Radiology therapeutic-chemotherapy IV,578125,86425,884760,91685,1008550,102415,1198980,113955,1330100,123095,1454120,133590,1643070,151050,1865275,173210,2103365,189455,2300910,203465,2440730,214040
0339,Radiology therapeutic-other,1840,850,2695,650,2550,370,6495,560,6980,550,5955,550,8535,625,6565,530,6920,480,6360,430,4360,265
0340,Nuclear medicine-general classification,815830,443565,729470,396555,671010,359960,599105,320865,546890,293340,473970,258720,285915,252415,289085,259055,289745,263650,275805,249185,264155,240570
0341,Nuclear medicine-diagnostic,2426940,1235165,2420465,1222315,2359590,1173550,2282340,1127795,2232775,1084095,2149355,1069120,1214965,1062670,1310070,1160675,1348685,1210405,1319455,1194520,1302050,1179300
0342,Nuclear medicine-therapeutic,15180,13175,23750,16100,27410,16300,28920,16650,29865,16990,23715,14740,21870,14640,21240,13980,18805,12665,19655,12940,21040,12735
0343,Nuclear Medicine - Diagnostic radiopharmaceuticals,81990,69685,788940,635355,1118840,896160,1182650,943165,1308830,1039825,1456040,1148415,1560290,1230535,1709200,1370605,1797590,1454325,1791695,1461325,1754785,1442145
0344,Nuclear Medicine - Therapuetic radiopharmaceuticals,840,785,8435,7560,8755,7885,9780,8860,11630,10510,13520,10770,12605,10715,10835,8975,9670,8130,9215,8125,8765,7425
0349,Nuclear medicine-other,18390,10885,15805,9935,14160,9265,13070,8200,11725,6685,10705,6445,6770,5975,6730,5750,7665,6785,9725,8760,9935,8800
0350,Computed tomographic (CT) scan-general classification,2679175,1534590,2927435,1655670,2893870,1617965,3027580,1649620,3051085,1628925,3166410,1661860,3192625,1666155,2996700,1851985,3073885,1906305,3116245,1893095,3174535,1893600
0351,CT scan-head scan,1723825,1454735,1879000,1563265,1954465,1610100,2048670,1668050,2141910,1729355,2298990,1832260,2375130,1886425,2516305,1983225,2655215,2077495,2677570,2084720,2784750,2143370
0352,CT scan-body scan,3975130,1942220,4362280,2119580,4597315,2220840,4808170,2308300,4937970,2367235,5130825,2462410,5270645,2538525,3779940,2500120,3948505,2654675,4118100,2753795,4372930,2895645
0359,CT scan-other CT scans,153750,106230,165420,114980,160260,109340,172275,111475,169325,106125,171430,105275,167285,99975,139755,89270,144570,90630,143295,87060,138535,83250
0360,Operating room services-general classification,5848475,3291230,6010595,3342990,5865960,3228060,5738375,3135550,5700920,3070950,5821165,3081625,5916555,3102735,6026240,3149395,6057965,3153400,6142430,3167455,5971980,3100175
0361,Operating room services-minor surgery,1736080,783890,1874925,831455,2002605,848525,2076195,857790,2108665,877525,2164685,892645,2318980,931525,2385820,961755,2564950,1015395,2639310,1046065,2669175,1069645
0362,"Operating room services-organ transplant, other than kidney",405,315,550,355,355,260,415,275,885,515,640,450,1230,690,2060,955,2720,930,2290,720,2375,615
0367,Operating room services-kidney transplant,35,35,40,40,65,60,40,40,55,50,50,50,40,40,40,35,30,30,25,20,15,15
0369,Operating room services-other operating room services,79905,47655,77725,45755,80315,46065,76310,42115,77390,41325,74145,40680,78870,41485,79200,43515,82990,44620,83520,45275,79390,43185
0370,Anesthesia-general classification,3045215,2443495,3091265,2471870,2945695,2329440,2921880,2307695,2942465,2309360,3065730,2386135,3217035,2490925,3350740,2587125,3521875,2718975,3620925,2801190,3663715,2824090
0371,Anesthesia-incident to RAD and subject to the payment limit,46220,39700,44140,38340,46825,34030,48710,35260,47595,33195,47385,33755,44050,32275,42620,31275,32085,23590,30220,22465,28965,21475
0372,Anesthesia-incident to other diagnostic service and subject to the payment limit,106980,93540,86950,74890,42925,32635,35270,26970,41535,31280,39300,29610,43795,33335,47985,37315,46245,36290,44700,34385,43700,33605
0374,Anesthesia-acupuncture,285,65,470,55,1430,80,1245,165,1545,150,865,155,615,145,690,140,355,90,500,115,410,125
0379,Anesthesia-other anesthesia,119280,98455,114375,94355,115565,90765,91465,73170,81300,63680,77415,60550,70635,55155,73260,56800,66590,51555,63680,48910,59475,46125
0380,Blood-general classification,1795,1255,2590,1380,3040,1715,3945,2040,1925,1150,40,30,60,20,75,30,.,.,.,.,0,0
0381,Blood-packed red cells,10780,5500,8180,4465,6155,3475,7760,3930,9620,4650,11755,5795,12160,5800,11920,5720,13320,5965,11540,5170,10530,5050
0382,Blood-whole blood,195,125,160,125,70,60,540,195,500,205,215,130,100,75,25,25,70,50,90,45,35,20
0383,Blood-plasma,2055,1105,1220,745,470,425,505,410,510,450,560,430,485,400,645,520,760,410,585,400,840,455
0384,Blood-platelets,6265,2000,4210,1410,1430,465,2175,620,1730,480,1365,455,1355,445,1900,525,1440,445,1630,475,1330,520
0385,Blood-leukocytes,13565,6780,7685,4075,3670,1715,2135,1015,2380,1105,2340,1110,2205,1010,1520,690,720,425,730,375,715,315
0386,Blood-other components,4355,1610,3445,1695,1320,500,540,295,430,215,125,90,390,170,695,245,745,250,620,275,465,175
0387,Blood-other derivatives (cryopricipatates),230,80,140,85,65,35,.,.,.,.,20,20,20,20,15,15,.,.,0,0,75,35
0389,Blood-other blood,5730,2820,3165,1590,1700,750,285,190,360,230,420,200,380,170,240,105,115,70,80,65,255,120
0390,Blood storage and processing-general classification,810455,253210,846285,262675,955660,282880,962525,285960,1026340,296705,1076410,308145,1057560,306795,1053305,310020,1049155,311205,976585,296500,932885,283720
0391,Blood storage and processing-blood administration,462130,180910,488995,190120,494585,193775,530185,205440,575270,219405,601965,228455,616930,236110,649380,244335,648375,243975,625075,237730,602020,225755
0399,Blood storage and processing-other,10405,4140,9565,4215,8610,3410,7795,3060,6970,2995,7605,2980,10575,3320,10740,3475,8910,3245,13530,5435,15165,5270
0400,Other imaging services-general classification,19110,16115,14540,10805,11640,9345,11875,8430,10210,7925,11400,9035,15105,12575,16640,13840,20845,18025,22565,19345,22950,20815
0401,Other imaging services-diagnostic mammography,1399185,1031650,1483295,1032105,1537310,1005000,1605275,986480,1684255,970705,1759800,957525,1764720,924635,1827115,937200,1833930,919955,1817665,906300,1760160,873675
0402,Other imaging services-ultrasound,2683485,1964870,2798350,2018815,2801720,2016300,2877310,2048850,2880255,2070270,2987885,2152385,3099230,2238415,3272550,2358450,3311285,2434580,3350075,2481700,3323430,2516090
