HRR Name,State,Number of Medicare beneficiaries,"Inpatient decompression for lumbar spinal stenosis per 100,000 Medicare beneficiaries","Inpatient fusion for lumbar spinal stenosis per 100,000 Medicare beneficiaries"
Norfolk,VA,726543,55.9571250256933,67.93227718161
Richmond,VA,1016211,81.9756550693153,64.3074674151469
Roanoke,VA,547605,95.6091203973223,29.0221428188075
Winchester,VA,278536,89.636171819545,44.7512534654307
Everett,WA,281257,109.975710930065,28.8602419755692
Olympia,WA,206427,126.000321588146,57.5286930551151
Seattle,WA,1322823,112.429371633619,44.2667539762593
Spokane,WA,932111,144.952337552652,52.345024180998
Tacoma,WA,353221,200.671561526514,63.5213396188049
Yakima,WA,168224,115.959663292647,44.3929516722309
Charleston,WV,616385,45.6097492702821,21.1000922530065
Huntington,WV,267118,62.5660920678204,19.631820229846
Morgantown,WV,276451,59.0034210173278,25.2926776233944
Appleton,WI,179914,77.2674806707469,50.9014955753188
Green Bay,WI,344975,121.79393298972,32.0987475355348
La Crosse,WI,216541,85.9102194632333,19.3786983094344
Madison,WI,643338,66.0593506711016,35.6416373527027
Marshfield,WI,272431,49.9797984237447,27.0491846471127
Milwaukee,WI,1528985,69.0631759269605,33.3431104487401
Neenah,WI,142774,78.4224219988218,47.6977453099871
Wausau,WI,145152,40.9479277412773,33.7748582619782
Casper,WY,145133,155.816358568279,73.3877534174834
United States,US,165390225,80.0494708801563,41.1469299349463
