HRR Name,State,Percent of male enrollees age 68-74 having PSA test (2010),"Incidence of prostate cancer per 1,000 male Medicare beneficiaries","Age 75 & under - Prostatectomy per 1,000 male Medicare beneficiaries with prostate cancer","Over age 75 - Prostatectomy per 1,000 male Medicare beneficiaries with prostate cancer","Radiation treatment per 1,000 male Medicare beneficiaries over age 75 with prostate cancer","Hormone therapy per 1,000 male Medicare beneficiaries over age 75 with prostate cancer","No treatment/delayed treatment  per 1,000 male Medicare beneficiaries over age 75 with prostate cancer"
Fort Collins,CO,14.17649772,7.50773,195.73849,,,,527.2885482
Grand Junction,CO,18.10477763,4.37046,,,,,
Greeley,CO,17.02104891,3.10561,,,,,
Pueblo,CO,39.34456377,5.49742,,,,,500.9241208
Bridgeport,CT,33.02548998,5.62954,192.60374,,265.6834364,379.9090501,341.8050324
Hartford,CT,30.24296024,6.35076,178.06789,,261.2162321,333.2241645,349.9741686
New Haven,CT,30.78105708,4.79094,137.55686,,216.4413137,413.3122335,347.1568062
Wilmington,DE,37.06741942,9.01553,77.53259,,313.6339857,312.1460083,350.3483829
Washington,DC,41.20900102,7.56758,178.65617,,312.7917317,311.9485267,358.6551206
Bradenton,FL,43.5900032,9.63367,,,335.7036189,301.3126007,337.8315625
Clearwater,FL,41.10157049,5.19285,,,245.3075724,456.6047377,280.7660874
Fort Lauderdale,FL,47.02938067,6.43378,130.37657,,275.696653,288.4246142,413.6388765
Fort Myers,FL,47.74821381,10.22322,114.83204,,314.1871746,320.9369314,353.579115
Gainesville,FL,40.88772653,6.55154,89.22023,,203.3409468,359.9536573,393.1867321
Hudson,FL,46.0233825,10.77384,97.26928,,241.1453179,296.7357214,417.0723622
Jacksonville,FL,35.29997618,10.99092,123.56196,,424.0879551,299.2065808,248.0956977
Lakeland,FL,44.45530349,6.80347,,,217.4834022,328.1305699,418.4282699
Miami,FL,58.43031781,6.82211,156.59342,,201.8928567,393.7292491,364.3006109
Ocala,FL,47.08142204,10.04632,54.80631,,203.1830725,290.8430257,490.1935217
Orlando,FL,44.94742445,8.86875,164.9428,33.222207,236.0497253,359.1408613,371.7046083
Ormond Beach,FL,42.96309947,3.97009,,,,357.4606328,404.8429876
Panama City,FL,34.2585126,6.3174,,,302.6546406,273.0502726,374.397698
Pensacola,FL,26.94243144,4.01232,166.09632,,327.7093364,259.8224048,401.8090699
Sarasota,FL,40.77112249,8.80902,150.51342,,315.8550898,321.3130379,324.233591
St. Petersburg,FL,42.91557684,4.29547,,,,390.292705,387.8122226
Tallahassee,FL,40.16781802,3.68587,,,543.4910045,324.4785859,
Tampa,FL,46.38012023,10.04048,159.3137,,307.3276841,278.3330455,378.958204
Albany,GA,37.51136566,10.85164,,,603.6521385,,
Atlanta,GA,41.77062744,4.69517,90.71631,,221.8330631,319.0251643,441.5582464
Augusta,GA,36.33330768,13.2624,118.61717,,370.6936517,297.3701252,316.0369785
Columbus,GA,48.26990172,6.26805,,,389.4144678,388.2989293,
Macon,GA,36.44199129,5.64991,176.2554,,234.4906861,446.1945196,279.2991463
Rome,GA,39.63671611,6.65276,,,424.303563,345.6878244,
Savannah,GA,45.01424647,6.89856,165.28666,,279.8420028,276.1196639,416.1037184
Honolulu,HI,43.94491071,2.80763,284.26466,,369.1680718,324.6926599,203.7657441
Boise,ID,21.688867,7.86512,340.12251,169.166489,305.5684096,336.0853849,185.5274521
Idaho Falls,ID,35.63572258,3.29831,,,,,
Aurora,IL,32.48140241,3.26084,,,,792.2012643,
Blue Island,IL,36.31011467,4.74199,198.61547,,294.4005197,375.3830473,242.2448106
Chicago,IL,29.23095516,6.05301,148.73484,49.1824244,235.5435462,313.021724,402.7094964
Elgin,IL,32.94258513,12.56032,239.26858,65.9074111,310.3801988,359.8723612,262.953471
Evanston,IL,35.13405751,6.34936,184.35405,,319.4545554,346.8910882,306.0418601
Hinsdale,IL,34.80541926,4.41036,,,363.3116475,294.359603,317.4805867
Joliet,IL,26.18657282,7.93544,178.53347,,415.3853881,315.6073386,222.3480129
Melrose Park,IL,25.99940236,5.14752,104.50176,,217.5424059,449.2227932,292.5526895
Peoria,IL,14.82198769,15.38361,171.79339,52.1774712,273.8844856,451.1852102,222.8784058
Rockford,IL,17.23675253,10.69622,276.25257,,303.3505209,519.742279,144.637274
Springfield,IL,26.32635889,9.36281,173.8582,42.4070886,198.0038649,478.9548737,281.5668588
Urbana,IL,20.34450689,12.01762,343.58157,,417.3162125,340.8326736,178.754215
Bloomington,IL,26.22435544,6.95767,,,,,
Evansville,IN,14.60322955,11.16127,218.00322,75.0290802,236.9502529,484.9466791,203.3019421
Fort Wayne,IN,24.6955468,17.24609,190.89058,,381.5627474,382.856105,231.6512352
Gary,IN,23.41897961,9.32968,285.23909,90.5023201,195.3408597,440.2595594,273.732858
Indianapolis,IN,25.7602103,6.76474,175.50426,37.6145347,362.2168904,324.7662991,274.7227089
Lafayette,IN,18.86931057,16.63817,286.80601,,258.271734,306.8605688,392.0275728
Muncie,IN,39.21425348,8.04928,,,,426.3125529,350.242945
Munster,IN,25.48210527,12.72215,479.54863,105.9268571,300.5329289,345.4621688,247.8408557
South Bend,IN,35.72025301,5.72267,208.02704,,167.0942854,452.6248177,281.3451288
Terre Haute,IN,41.45356461,8.50761,278.69432,,364.6135569,451.7365208,
Cedar Rapids,IA,26.79048255,1.93011,,,,,
Davenport,IA,37.54508782,3.84197,,,,584.7885697,300.5544725
Des Moines,IA,23.18228746,6.19715,245.36042,69.9106409,231.4383071,477.9396057,221.1872741
Dubuque,IA,46.94462341,4.07743,,,,,
Iowa City,IA,23.24998886,7.94221,336.02297,,209.4318869,387.7908287,346.7936221
Mason City,IA,5.771743204,25.89427,107.89532,,375.3099054,461.2936655,150.6046376
Sioux City,IA,32.89239707,21.86806,285.84033,,228.1566661,497.1578001,224.063631
Waterloo,IA,10.97743955,6.53995,,,,,
Topeka,KS,37.42691864,10.21449,226.38826,,244.7241259,472.5773481,261.4967273
Wichita,KS,36.09230109,9.59802,225.39371,32.2718454,198.2783819,590.4752118,181.1103392
Covington,KY,13.09828414,2.56468,,,,,
Lexington,KY,31.52521162,4.21243,130.7932,,295.9207968,414.9344868,272.3222157
Louisville,KY,36.51865958,11.91322,116.80038,32.7616361,409.6897936,320.9363733,236.5494478
Owensboro,KY,52.67691459,14.19885,303.50136,,339.4316983,410.5456238,
Paducah,KY,38.43963488,6.76857,236.14689,,220.0092549,462.1174042,222.6329426
Alexandria,LA,33.44155197,8.29369,238.20612,,315.8641581,417.1124936,
Baton Rouge,LA,40.62857806,3.41437,201.92383,,,533.0489831,
Houma,LA,35.42880678,12.23982,178.35249,,258.2588218,500.5709964,241.4413585
Lafayette,LA,30.92959277,4.76326,,,258.666982,523.2119746,215.1120075
Lake Charles,LA,32.71453141,6.94007,187.85965,,,451.2533883,423.5462806
Metairie,LA,24.26278226,7.16541,233.14155,,333.9668183,427.9106454,
Monroe,LA,33.52138192,7.50092,152.92163,,,494.2262039,
New Orleans,LA,31.7842407,7.06467,215.60529,,,470.6578051,
Shreveport,LA,30.47793277,2.83605,,,318.9026733,313.2995761,341.4938224
Slidell,LA,20.23583073,7.72697,320.27148,,,574.3825561,
Bangor,ME,16.14465162,8.43294,274.20295,,180.8729932,513.822848,221.5625919
Portland,ME,12.3248108,8.7189,244.07645,,229.7960488,384.3883967,335.6308967
Baltimore,MD,39.25623545,8.21532,127.4645,,211.2436131,314.5641691,446.6861987
Salisbury,MD,21.74346072,7.05344,126.89171,,198.2567715,301.1272354,487.9546852
Takoma Park,MD,48.6695221,6.3124,103.93804,,263.2168893,280.3852018,423.2029629
Boston,MA,21.08980224,5.80867,102.89538,24.452775,246.2455703,244.4572711,484.7766312
Springfield,MA,15.14814666,5.69447,124.78463,,,275.541489,581.285815
Worcester,MA,11.15511682,5.56907,142.24222,,,380.0266126,445.0377662
Ann Arbor,MI,15.52698808,10.26243,189.67225,,274.1603846,360.129219,334.5706349
Dearborn,MI,24.71225388,10.17026,198.29898,,175.3849416,352.7376138,398.3735231
Detroit,MI,26.58459807,8.18111,144.74176,,239.6912842,320.7318448,399.9281408
Flint,MI,37.8421992,7.17984,212.5233,,269.9760794,352.042431,299.3270321
Grand Rapids,MI,19.05416054,6.13912,284.68138,,203.3701701,376.7725884,352.646509
Kalamazoo,MI,16.79639871,4.09233,255.92979,,244.0320886,311.5396709,400.124006
Lansing,MI,12.16829576,6.19359,372.06056,164.2417359,216.4681266,270.7382917,346.5886349
Marquette,MI,9.524313409,15.65501,352.87503,,,569.1768615,242.3826391
Muskegon,MI,8.634391361,11.53428,328.28873,,,465.5491555,357.3613549
Petoskey,MI,19.68784263,10.0069,,,286.5910031,530.661134,
Pontiac,MI,35.62946396,8.41795,,,282.2864076,264.8334355,390.362136
Royal Oak,MI,37.63455276,11.82485,133.70374,,276.9569797,287.8237909,388.1102822
Saginaw,MI,15.15139256,6.22609,282.24702,,257.0765491,337.0063249,356.5244646
St. Joseph,MI,14.19645518,7.23451,264.77207,,,,
Traverse City,MI,24.40511486,10.72385,155.91291,,306.7734681,213.0118636,423.3161584
Duluth,MN,13.78413926,11.79615,277.69713,,231.0097176,459.3166926,256.027884
Minneapolis,MN,25.58465023,11.67702,346.69709,53.6375336,241.5821248,431.3766853,273.7961895
Rochester,MN,28.70812411,16.61173,257.2563,,323.6674615,452.4226335,179.8189152
St. Cloud,MN,31.74096696,10.81394,385.88445,,,381.5023288,352.0007335
St. Paul,MN,19.49451027,12.60756,284.62853,113.3103481,128.5516499,354.6397683,403.4214767
Gulfport,MS,12.42429306,17.28508,402.27766,,,443.8073459,299.0598648
Hattiesburg,MS,46.9519807,3.71196,,,,,
Jackson,MS,35.09831485,6.56007,254.55842,,211.3533681,403.373619,330.5216165
Meridian,MS,44.5155835,11.94772,459.0804,,,409.556786,394.291224
Oxford,MS,42.14570213,11.99108,,,,425.8415344,313.8324562
Tupelo,MS,39.05819945,8.71834,185.22299,,125.5280223,362.3953769,454.1950443
Cape Girardeau,MO,29.17446122,5.30096,279.50698,,,477.7777351,285.9282932
Columbia,MO,32.74841757,5.40197,169.03405,,232.1615871,326.6987323,415.0940941
Joplin,MO,24.03975447,5.75598,180.88333,,330.0138823,317.4139746,296.8439234
Kansas City,MO,37.92546784,5.91299,217.88603,,257.7325896,350.7679129,363.8975685
Springfield,MO,37.32299261,3.02706,163.52522,,194.7622912,380.1621566,410.5935416
St. Louis,MO,33.87429864,6.56696,226.7133,38.2544644,237.2137535,387.7965514,336.7428028
Billings,MT,10.59960758,13.15348,350.27666,,300.679315,261.3997438,371.0549043
Great Falls,MT,35.9369937,6.11204,,,,,
Missoula,MT,31.35398794,10.47972,225.36271,,282.869042,228.0579397,465.1438265
Lincoln,NE,41.55461378,2.99775,287.72086,,252.7765907,450.4974308,255.7910404
Omaha,NE,25.20982718,6.26604,400.75572,82.8837454,151.5080327,508.3320076,258.245983
Las Vegas,NV,40.80912243,4.82754,137.19121,,185.3558948,352.1956756,411.5684349
Reno,NV,22.37866051,6.21837,136.24804,,244.9566838,331.7293142,400.6305785
Lebanon,NH,3.61625638,9.24445,245.006,,256.2460733,438.8879732,294.6612475
Manchester,NH,11.38570058,11.11591,302.32753,,297.7987078,232.9840465,416.898596
Camden,NJ,43.98656484,6.18166,119.8576,,282.7620111,314.6071485,387.1020914
Hackensack,NJ,52.7597865,6.23415,86.18857,,241.582464,349.1186679,367.0218479
Morristown,NJ,47.51836723,5.906,140.96807,,161.6308318,323.7477109,485.3678514
New Brunswick,NJ,48.78655703,6.40948,119.53374,,190.2684188,317.7427847,476.2858678
Newark,NJ,47.93882517,5.60271,96.41033,,250.3573017,385.0972944,349.7259679
Paterson,NJ,53.68172944,3.00199,,,,,
Ridgewood,NJ,49.32816427,5.64751,,,216.0090866,348.3066716,382.5238741
Albuquerque,NM,19.13741696,6.159,212.04763,92.3785276,172.3363602,292.0301165,442.771954
Albany,NY,28.27237253,4.60849,139.90487,,235.9732036,312.9532071,421.331543
Binghamton,NY,7.237741023,7.87028,134.13,,283.9895049,446.6528284,206.5793194
Bronx,NY,41.84667528,6.15752,133.4766,,254.2555662,392.6446948,331.2683199
Buffalo,NY,26.44780358,8.12534,119.13075,,357.0801046,352.3021266,278.1025154
Elmira,NY,32.64563775,3.42864,,,,390.292705,
East Long Island,NY,52.91456876,5.18218,120.31185,30.2719375,206.692207,387.6908259,375.2672135
Manhattan,NY,51.4644015,7.31563,133.69734,62.0574558,223.4633719,268.0688517,446.9357692
Rochester,NY,12.67972998,5.94986,253.53702,,320.5993689,226.6677422,440.68524
Syracuse,NY,38.73606781,8.6347,100.7837,,379.8592162,226.3190533,375.0651887
White Plains,NY,41.75293632,6.40836,186.32956,,243.4644939,399.1893079,299.8628015
Asheville,NC,36.07996621,6.94186,139.64466,,174.7132318,345.9702491,432.1698297
Charlotte,NC,38.50684838,6.6115,111.55486,,193.1595095,372.2661258,419.542102
Durham,NC,43.3633905,5.40642,171.32967,,268.4480827,290.8172983,425.3829873
Greensboro,NC,46.1866048,7.59757,,,264.919269,235.365864,485.7645877
Greenville,NC,47.29390649,6.30679,145.58238,,114.0065823,416.6490332,438.2889505
Hickory,NC,40.66840059,3.99864,,,,,478.6647677
Raleigh,NC,49.20868932,5.28327,155.58242,,184.3254873,307.3820101,484.2944233
Wilmington,NC,55.77253899,4.09371,,,374.3766131,,399.4231261
Winston-Salem,NC,39.38160301,5.75859,143.11847,,179.3528598,367.7449599,424.4816046
Bismarck,ND,24.79291632,10.35731,233.68584,,243.1681238,583.7272474,
Fargo/Moorhead MN,ND,34.93087222,24.79748,284.32391,,319.9754372,437.0387894,232.3678431
Grand Forks,ND,10.86248992,18.84986,197.32727,,240.8209412,449.6277446,270.769795
Minot,ND,7.179504432,24.68263,265.37617,,322.3391409,363.441172,221.338565
Akron,OH,19.14751129,6.67451,,,349.3969208,404.31729,231.6930081
Canton,OH,19.33273301,7.93057,,,263.6048154,387.2829247,349.7517665
Cincinnati,OH,31.03279597,8.60682,161.27992,72.3569774,235.3336596,472.2402531,219.9441794
Cleveland,OH,20.6942747,13.39185,159.66782,35.939475,331.0273063,388.4213283,244.9768091
Columbus,OH,23.68570098,4.67146,144.50351,,207.4673158,527.8353606,239.7668979
Dayton,OH,28.64817585,4.2334,176.24398,,256.2660749,438.7894952,292.6476319
Elyria,OH,15.56514693,9.55702,159.4052,,,400.2097109,400.0472274
Kettering,OH,40.06960958,5.24913,,,,354.7799457,
Toledo,OH,18.65611813,13.86114,167.50706,,220.3334962,507.0545766,253.1279459
Youngstown,OH,27.73406277,6.03176,223.74628,,266.6623977,373.338199,333.3343121
Lawton,OK,20.85787781,5.45512,,,,,
Oklahoma City,OK,33.18571801,7.90462,209.41829,45.8597952,282.474335,387.1187541,284.4630579
Tulsa,OK,40.07122891,4.39078,71.6617,,290.649318,318.88957,374.4642817
Bend,OR,28.18256259,5.62486,,,,,
Eugene,OR,37.52956401,10.65021,234.99373,,275.6459693,409.9887243,222.5378849
Medford,OR,27.47290511,6.6277,250.98175,,226.292374,423.7628801,298.6759785
Portland,OR,24.06029664,6.75523,299.86438,73.7730301,241.8863129,295.6041511,388.0483657
Salem,OR,27.99972059,4.08506,,,,,
Allentown,PA,29.46400254,6.91115,134.53353,,269.7759986,412.7711203,282.4389439
Altoona,PA,12.98694936,7.61781,211.66379,,302.5127255,588.1494235,
Danville,PA,12.69612009,8.66597,112.39353,,153.0992238,519.7196673,309.8499716
Erie,PA,18.97187346,14.09091,129.786,,219.2885054,435.3095055,329.4150482
Harrisburg,PA,24.49153656,4.88085,163.60702,,245.4436846,412.5001104,295.7188035
Johnstown,PA,18.10426319,5.42346,,,,,
Lancaster,PA,18.44234697,7.70505,151.38462,,231.5274088,263.5093398,486.0075822
Philadelphia,PA,42.4561674,5.5629,159.10959,52.5134828,294.8699502,308.1720314,345.4655231
Pittsburgh,PA,14.86692359,9.22838,108.61907,38.078461,339.9092952,397.7856503,223.8911587
Reading,PA,20.50537862,3.9161,,,310.1911597,356.3258259,292.065386
Sayre,PA,21.78815616,7.95057,,,393.3790532,343.0692603,
Scranton,PA,20.35986649,10.19711,128.40783,,159.5449599,555.6212126,287.8111186
Wilkes-Barre,PA,20.12078888,13.24504,134.76605,,382.5524082,431.4746641,157.3814351
York,PA,10.71130674,6.23981,,,328.2876658,356.588354,301.4506115
Providence,RI,25.12854503,5.49872,92.31604,,113.5893244,409.1649024,448.6367294
Charleston,SC,43.35985339,8.09842,124.59907,,187.3002789,257.5086762,501.7457908
Columbia,SC,33.4578806,8.86966,82.11918,,259.4428471,301.3608009,399.209297
Florence,SC,44.34388728,8.69324,,,394.2323553,315.5913329,278.7558251
Greenville,SC,35.33667714,5.12186,126.52261,,199.8713496,412.7162643,375.0442757
Spartanburg,SC,37.85022171,4.35508,,,,,461.9816429
Rapid City,SD,32.64370123,2.7534,,,,,
Sioux Falls,SD,36.54275973,9.75913,283.03508,52.6681061,248.6203239,411.4408523,287.5259527
Chattanooga,TN,47.98701485,6.06145,280.75124,,235.1179931,468.2439472,259.1480554
Jackson,TN,44.20564726,9.43946,370.82587,,,513.888656,328.379891
Johnson City,TN,32.17637175,4.9801,,,,,434.134238
Kingsport,TN,35.70266849,5.66607,178.17797,,379.5159647,336.0853849,267.1595311
Knoxville,TN,45.12408871,4.03891,231.66228,,197.0175776,328.0913862,406.3196913
Memphis,TN,45.55377083,15.9438,375.34438,83.2640216,179.3282873,425.3568674,311.439548
Nashville,TN,39.27382569,5.67396,300.99743,72.4446516,183.1189475,404.7369817,339.7243137
Abilene,TX,30.34197273,3.9235,291.65156,,,380.4428707,351.7814287
Amarillo,TX,36.2503119,4.75014,,,,480.0588501,348.119831
Austin,TX,43.68540795,4.80275,215.68914,,172.8378629,347.9738487,459.4916034
Beaumont,TX,39.21647395,8.66156,216.19903,,355.427781,283.262196,339.9962518
Bryan,TX,28.41606888,3.98669,,,,,
Corpus Christi,TX,47.33109542,5.00328,,,,374.4951431,457.9877676
Dallas,TX,49.86015329,5.10942,136.1696,,290.0295297,344.8566859,345.2733706
El Paso,TX,32.14619389,8.32525,113.33725,,378.8155404,332.0320884,239.6067072
Fort Worth,TX,45.655442,7.49729,90.34415,53.330347,165.8150868,324.8877489,456.3121725
Harlingen,TX,48.34440281,2.23413,,,,,612.2405921
Houston,TX,40.62146087,9.66389,170.26965,50.5546792,258.4351849,309.8805577,381.253025
Longview,TX,49.08171069,1.79034,,,,,
Lubbock,TX,23.70537134,3.65423,234.67967,,216.9929879,283.1162366,391.2059748
McAllen,TX,53.51533552,2.5395,,,,504.1280773,
Odessa,TX,36.91657472,2.55673,,,,,
San Angelo,TX,48.37732093,5.41458,437.08334,,,,482.3713756
San Antonio,TX,39.62565439,5.30086,232.06425,,297.7525956,321.9784512,340.4713342
Temple,TX,20.401513,12.85151,418.55748,,302.2629936,339.8460915,342.5030809
Tyler,TX,38.14311164,4.45397,189.99982,,286.7593132,329.6204712,342.6656164
Victoria,TX,42.75286822,10.90316,241.86991,,465.8655909,195.8877639,303.3827267
Waco,TX,35.65455771,5.88704,225.54676,,,,576.8217149
Wichita Falls,TX,34.04325659,3.97043,299.21839,,,,
Ogden,UT,27.77935978,12.97585,214.20913,,430.45289,277.6357527,217.793096
Provo,UT,29.69599087,3.84568,,,,,
Salt Lake City,UT,22.56160282,6.70299,273.39991,,222.2542473,308.6498432,402.1023555
Burlington,VT,6.752041956,6.19315,158.58265,,163.3044558,248.7969857,565.5961108
Arlington,VA,46.41189802,8.43261,123.28045,,257.4879744,269.516484,448.0604711
Charlottesville,VA,27.11479608,7.30713,109.78739,,210.2565017,347.553185,418.2565187
Lynchburg,VA,35.90763782,3.93681,,,,,
Newport News,VA,50.9088364,7.70067,206.78529,,309.4924472,163.4805967,508.1853506
Norfolk,VA,38.40840206,8.06418,171.01901,,307.374312,401.0943411,268.4017253
Richmond,VA,42.04845853,8.97427,178.23028,39.9506838,213.7586828,323.0872062,422.2760048
Roanoke,VA,46.00690003,5.07585,105.06855,,314.2005874,392.3379739,271.9005154
Winchester,VA,29.45722821,4.71476,,,,491.8322705,342.0945215
Everett,WA,27.87327097,4.74162,243.37511,,,387.7908287,411.0146632
Olympia,WA,29.78890406,5.24254,237.22405,,,,429.3635321
Seattle,WA,25.36918686,8.53417,173.60608,53.7429488,278.6960916,306.8831447,360.3091821
Spokane,WA,39.7931608,9.39251,209.24433,75.0954489,300.2471721,347.6708575,275.7479116
Tacoma,WA,19.78799431,8.40501,227.47232,,352.7191778,302.5553605,269.1138032
Yakima,WA,37.94296231,5.12237,,,,392.0996157,306.120296
Charleston,WV,32.32465754,7.19611,218.18099,108.8024393,328.7020096,316.5337525,244.3681013
Huntington,WV,19.85701218,11.57297,203.18111,,293.7486205,520.7476842,176.1491414
Morgantown,WV,20.55973702,5.7536,191.80304,,195.3395037,484.3411678,303.8821654
Appleton,WI,36.0704451,6.05728,,,,417.2094433,
Green Bay,WI,33.21571167,5.6521,226.10417,,,487.323808,333.9494139
La Crosse,WI,19.63100616,6.96972,267.97531,,295.687905,428.1066378,276.971031
Madison,WI,23.38850905,12.78774,264.55723,58.1696992,284.9682191,368.1395439,288.1725669
Marshfield,WI,34.30012125,2.4317,,,,,
Milwaukee,WI,37.34777317,10.37272,255.75303,,310.6401369,424.7624582,242.3160527
Neenah,WI,31.75458385,4.85005,,,,,
Wausau,WI,27.15906223,2.50117,,,,,
Casper,WY,10.0632389,5.97018,428.7605,,402.2044191,,
United States,US,34.48693142,7.37049,189.31341,44.2400927,258.3790051,358.294688,339.0862142
