State #,State name,Medicare enrollees (20% sample) (2003),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2003)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2003)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2003)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2003)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2003)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2003)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2003)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2003)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2003)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2003)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2003)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2003)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2003)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2003)"
28,Nebraska,41355,5620.73,5992.24,2986.96,3188.31,1467.15,1572.2,746.07,784.25,141.26,146.06,98.21,109.13,188.37,198.18
29,Nevada,28509,7244.28,6992.94,3609.12,3542.36,2347.36,2255.89,471.65,439.06,339.46,316.06,192.74,155.74,280.52,277.3
30,New Hampshire,27926,5892.62,5666.45,3117.52,2969.54,1401.8,1390.28,786.06,742.35,363.46,343.7,85.31,79.53,152.83,153.13
31,New Jersey,179305,8181.68,7377.95,4529.32,4024.12,2517.19,2302,573.43,525.62,293.19,271.6,118.16,106.82,153,150.82
32,New Mexico,31079,5105.17,5406.45,2401.92,2587.11,1380.3,1431.17,599.45,618.74,233.5,243.05,261.13,283.33,230.16,243.91
33,New York,321403,7912.55,6672.01,4429.94,3510.25,2334.16,2126.5,578.7,524,313.99,274.73,91.33,78,168.39,165.49
34,North Carolina,179255,6012.55,6458.93,3100.84,3268.75,1659.69,1907.89,612.41,627.48,253.29,260.94,159.84,163.36,225.18,231.24
35,North Dakota,17197,4919.99,5508.04,2589.72,2955.78,1258.36,1373.16,754.25,828.73,108.79,119.68,60.84,68.89,160.3,173.09
36,Ohio,236065,6580.6,6865.28,3492.62,3731.21,1764.72,1793.8,704.51,720.17,245.78,252.84,169.41,165.02,202.99,200.98
37,Oklahoma,76425,6750.88,7530.93,3479.35,4000.79,1659.92,1742.39,530.33,579.01,487.88,540.96,342.17,407.96,260.31,267.3
38,Oregon,49987,5138.6,5054.92,2545.76,2470.4,1417.04,1438.38,591.14,563.26,236.22,226.64,157.56,155.77,193.23,203.3
39,Pennsylvania,251055,7071.92,7146.76,3848.62,3906.32,1911.19,1908.2,682.23,695.72,314.73,322.44,123.68,123.46,192.06,189.94
41,Rhode Island,15673,6962.03,6463.99,3786.27,3434.83,1935.34,1866.46,681.56,635.82,342.91,322.94,87.91,74.27,132.3,137.64
42,South Carolina,92568,6173.78,6601.86,3216.43,3483.82,1751.73,1872.59,560.43,583.12,242.18,252.54,166.29,176.53,238.98,237.86
43,South Dakota,20254,5022.4,5661.68,2696.79,3093.83,1303.94,1456.2,692.04,751.32,117.77,128.95,40.72,45.17,180.49,193.73
44,Tennessee,122055,6513.48,7211.86,3363,3748.75,1755.47,2001.02,566.28,598.47,427.01,456.43,132.09,137.21,271.75,272.16
45,Texas,355916,7243.97,7583.61,3663.6,3908.46,1988.19,2041.75,608.37,631.33,474.7,491.48,206.29,215.79,299.69,293.25
46,Utah,34187,5525.82,5651.55,2553.2,2656.21,1389.01,1419.81,573.52,569.76,437.86,436.72,338.67,326,255.99,268.24
47,Vermont,14610,5753.34,5481.77,3011.74,2685.51,1256.51,1296.97,854.74,855.82,432.57,441.16,71.65,77.06,148.98,147.57
49,Virginia,144349,5704.34,6063.12,2931.68,3191.57,1617.26,1684.01,581.31,600.07,252.94,263.08,120.85,125.13,198.6,197.94
50,Washington,98661,5634.1,5329.61,2816.95,2604.29,1654.89,1622.22,666.06,619.9,203.08,190.37,116.48,110.52,175.14,181.22
51,West Virginia,47526,6160.74,6761.57,3386.88,3782.78,1512.24,1629.41,642.45,695.12,230.12,251.21,130.18,142.93,266.22,266.56
52,Wisconsin,126516,5467.31,5647.49,2984.3,3112.69,1409.92,1443.05,675.76,682.91,134.96,136.03,109.64,112.84,153.84,159.22
53,Wyoming,11283,5451.77,5691.55,2856.22,2953.85,1319.7,1398.13,726.73,749.35,188.26,197.37,69.29,73.32,293.56,321.08
99,United States,5372448,6755.61,6755.61,3513.61,3513.61,1907.23,1907.23,638.66,638.66,314.93,314.93,158.4,158.4,222.78,222.78
