State #,State name,Medicare enrollees (2013),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2013)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2013)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2013)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2013)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2013)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2013)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2013)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2013)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2013)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2013)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2013)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2013)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2013)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2013)"
37,Oklahoma,394218,9071.05,10058.33,3891.27,4457.27,2082.63,2199.23,1407.03,1541.03,994.3,1092.77,508.05,584.99,228.11,228.31
38,Oregon,281427,7544.79,7213.33,3291.06,3049.63,1913.03,1917.08,1464.93,1402.01,320.3,303.27,348.89,337.06,195.04,190.27
39,Pennsylvania,1030401,9735.26,9925.92,4585.99,4713.43,2621.59,2632.29,1560.78,1589.88,459.1,468,316.13,325.15,198.76,201.94
41,Rhode Island,78331,9766.84,8843.66,4455.76,3966.34,2586.51,2537.94,1590.07,1333.87,617.49,518.9,356.8,322.09,162.12,166.16
42,South Carolina,509588,8593.14,9283.01,3563.39,3944.14,2570.25,2740.09,1309.45,1389.59,355.1,377.53,590.6,635.4,225.44,220.96
43,South Dakota,97235,7741.89,7937.6,3534.59,3688.5,1645.48,1708.33,2049.84,2015.73,143.99,141.92,150.05,165.26,206.45,205.29
44,Tennessee,576011,8793.37,9867.98,3836.66,4544.85,2467.79,2607.77,1269.1,1396.05,647.93,716.81,326.03,364.1,249.78,247.12
45,Texas,1744882,10368.02,10836.99,4469.22,4763.54,2764.49,2826.17,1338.97,1390.12,1050.71,1084.75,519.05,547.98,220.96,221.09
46,Utah,151564,8236.98,8672.61,3321.93,3566.33,2104.89,2161.12,1318.7,1380.03,647.02,675.84,589.42,640.89,270.16,269.8
47,Vermont,83946,8265.66,7674.94,3870.26,3318.24,1431.77,1438.68,2179.48,2133.11,449.36,448.69,198.34,198.35,156.5,152.4
49,Virginia,790259,8344.25,8761,3661.5,3924.72,2446.19,2512.53,1300.94,1352.42,431.24,447.55,308.15,326.91,195.65,196.47
50,Washington,561611,8292.23,7863.18,3769.05,3519.41,2164.55,2123.62,1581.14,1480.3,310.89,289.81,273.65,258.77,185.72,182.85
51,West Virginia,201590,9025.12,9872.38,4393.66,4837.16,2045.15,2201.23,1609.25,1776.17,421.63,469.81,322.19,358.38,238.31,234.73
52,Wisconsin,479398,8185.48,8322.08,3802.65,3854.41,1824.58,1917.82,1770.19,1756.52,236.71,234.19,372.69,378.33,175.37,175.2
53,Wyoming,66860,7985.97,7642.76,3906.38,3600.89,1913.86,1900.24,1498.36,1476.13,241.69,237.46,138.35,142.15,259.83,253.15
99,United States,26138611,9541.42,9541.42,4285.86,4285.86,2651.45,2651.45,1474.7,1474.7,550.74,550.74,369.38,369.38,209.29,209.29
