HRR Name,State,Overall - Number of Medicare beneficiaries with diabetes and PAD,Black - Number of Medicare beneficiaries with diabetes and PAD,Non-black - Number of Medicare beneficiaries with diabetes and PAD,"Overall - Leg amputation per 1,000 Medicare beneficiaries with diabetes and PAD","Black - Leg amputation per 1,000 Medicare beneficiaries with diabetes and PAD","Non-black - Leg amputation per 1,000 Medicare beneficiaries with diabetes and PAD","Overall - Therapeutic endovascular interventions per 1,000 Medicare beneficiaries with diabetes and PAD","Black - Therapeutic endovascular interventions per 1,000 Medicare beneficiaries with diabetes and PAD","Non-black - Therapeutic endovascular interventions per 1,000 Medicare beneficiaries with diabetes and PAD","Overall - Open leg bypass procedures per 1,000 Medicare beneficiaries with diabetes and PAD","Black - Open leg bypass procedures per 1,000 Medicare beneficiaries with diabetes and PAD","Non-black - Open leg bypass procedures per 1,000 Medicare beneficiaries with diabetes and PAD",Overall - Percent of diabetic Medicare beneficiaries (age 65-75) receiving blood lipids testing,Black - Percent of diabetic Medicare beneficiaries (age 65-75) receiving blood lipids testing,Non-black - Percent of diabetic Medicare beneficiaries (age 65-75) receiving blood lipids testing,Overall - Percent of diabetic Medicare beneficiaries (age 65-75) receiving hemoglobin A1c testing,Black - Percent of diabetic Medicare beneficiaries (age 65-75) receiving hemoglobin A1c testing,Non-black - Percent of diabetic Medicare beneficiaries (age 65-75) receiving hemoglobin A1c testing
Hartford,CT,90626,6631,83995,2.74,6.05,2.28,8.58,11.33,8.18,5.85,7.73,5.63,84.0148941729814,77.7087646652864,84.6742189191139,86.8761431931017,84.8171152518979,87.0914207374269
New Haven,CT,92616,6846,85770,2.8,6.9,2.28,11.83,18.53,11.04,5.23,5.85,5.11,82.3402628102621,71.7076700434153,83.4705022690562,84.5581589376347,80.6801736613603,84.9703868933159
Wilmington,DE,59663,11786,47877,2.45,5.28,2.12,13.19,15.79,13.16,5.08,5.71,5.07,82.0818228896945,76.8528660094925,83.7006894992653,82.3839116174694,80.39430449069,82.9998869673336
Washington,DC,150419,53229,97190,2.2,4.57,2.12,14.01,21.22,12.38,4.05,6.33,3.23,81.8486639704103,77.4883985225874,84.3549265106151,82.8511182550382,79.6476939104082,84.6924333151878
Bradenton,FL,25024,1147,23877,1.25,,,26.52,36.56,25.14,2.22,,,84.4466114090688,72.5806451612903,85.2101712506487,83.7640175524135,73.7903225806452,84.4058121432278
Clearwater,FL,34540,1000,33540,2.33,,,18.64,23.22,17.74,3.63,,,88.7494772061899,80.8743169398907,89.0628397477713,87.0556252613969,79.7814207650273,87.3450750163079
Fort Lauderdale,FL,180908,13822,167086,1.44,5.09,1.05,11.66,20.25,10.72,3.1,4.79,2.92,87.2272330520803,80.5975049244911,88.1882644077476,85.2155118666611,81.8778726198293,85.6993289868177
Fort Myers,FL,103603,4310,99293,1.69,4.99,1.35,14.11,16.67,13.5,3.44,3.37,3.36,87.8406241292839,80.3174603174603,88.2588235294118,86.3527444970744,81.4814814814815,86.6235294117647
Gainesville,FL,40436,6263,34173,2.27,7.35,1.5,18.73,22.33,18.45,3.75,4.71,3.62,80.6096832038255,74.5983167559296,81.7228676678946,83.0245068738793,82.7084927314461,83.0830263530745
Hudson,FL,40030,935,39095,1.78,,,12.76,,,3.05,,,88.3125519534497,87.4251497005988,88.3378932968536,85.2701579384871,81.437125748503,85.3796169630643
Jacksonville,FL,104844,19630,85214,1.74,4.65,1.3,16.31,22.52,15.52,3.47,3.82,3.47,83.472074339367,79.4773251345119,84.4024106450265,82.7315845513503,80.8864975659749,83.1612864729399
Lakeland,FL,24661,2152,22509,1.29,,,12.58,14.06,12.25,3.6,,,86.9745003445899,80.8510638297872,87.6335877862595,85.1137146795314,80.3782505910166,85.6234096692112
Miami,FL,160910,15710,145200,1.75,4.35,1.41,9,16.71,8.06,2.75,3.22,2.68,88.2248389246834,79.9741184082821,89.5384773874524,84.2834925572095,79.8447104496927,84.9902132481714
Ocala,FL,71290,3442,67848,1.52,3.65,1.24,23.96,22.32,23.24,3.58,,,89.3636686811234,83.9416058394161,89.6412556053812,87.6501955207963,86.5693430656934,87.7055306427504
Orlando,FL,256687,23878,232809,2.34,6.43,1.83,14.73,17.55,14.27,4.03,4.28,3.97,86.4656303511464,82.0528707145807,86.9981308411215,84.57980296662,82.5898389095415,84.8199376947041
Ormond Beach,FL,33451,2930,30521,1.71,3.55,1.46,14.57,17.72,14.05,4.59,6.17,4.4,88.2391375367527,84.6975088967972,88.5971223021583,85.1355766089513,83.9857651245552,85.2517985611511
Panama City,FL,16549,1846,14703,2.74,5.98,2.3,20,19.06,20.02,3.19,,,77.0374303159012,74.1206030150754,77.3820124666073,76.9843376692328,76.8844221105528,76.9961412882161
Pensacola,FL,61571,7681,53890,1.78,5.58,1.26,18.54,24.3,17.79,6.14,9.26,5.71,80.6520198440822,75.9926695174099,81.3415295606581,79.8251830852823,78.8026878436164,79.9764961128187
Sarasota,FL,45670,1674,43996,1.24,,,16.31,25.2,15.36,4.16,,,86.6685496398814,77.0897832817337,87.1263687481503,87.3887868945064,83.28173374613,87.5850843444806
St. Petersburg,FL,24875,2561,22314,2.9,9,2.13,15.1,19.38,14.51,5.01,8.9,4.53,84.0275935261343,80.7183364839319,84.5679012345679,83.1520297161051,83.3648393194707,83.1172839506173
Tallahassee,FL,42556,11349,31207,2.43,6,1.88,15.03,23.21,13.45,3.54,5.03,3.2,79.5633187772926,75.131845841785,81.1949215832711,82.5218340611354,80.2028397565923,83.3756534727409
Tampa,FL,61247,6166,55081,1.6,2.94,1.4,13.86,18.78,13.2,4.5,4.21,4.51,84.5586225744739,76.0886777513856,85.6598723491867,83.4836476268562,80.6017418844022,83.858348774964
Albany,GA,12395,4446,7949,3.33,7.23,3.04,19.14,34.21,14.05,3.95,5.07,3.76,78.003696857671,72.6829268292683,81.25,77.1164510166359,73.7560975609756,79.1666666666667
Atlanta,GA,244088,49793,194295,2.32,6.28,1.69,13.4,18.22,12.83,3.93,4.83,3.82,82.6564277588168,78.3400133600534,83.9245412618978,85.7394766780432,84.6442885771543,86.0612304974978
Augusta,GA,38957,11531,27426,2.17,6.12,1.35,15.21,23.38,13.55,2.87,4.25,2.51,76.3944343617665,71.9655442443226,78.3750656627561,80.604960677556,78.7392325763508,81.4393276133777
Columbus,GA,24733,8585,16148,2.02,3.87,2.1,4.82,4.75,5.63,4.23,4.04,4.75,76.4474546646275,72.6950354609929,78.6481802426343,80.5986454009176,78.9007092198582,81.5944540727903
Macon,GA,50418,14386,36032,2.63,6.59,1.99,13.8,22.47,11.84,3.04,3.49,3.06,76.7953590718144,72.2692036645525,78.5893854748603,81.3662732546509,80.7963354474982,81.5921787709497
Rome,GA,19441,1433,18008,3.78,11.18,2.93,15.06,18.87,14.44,4.3,,,82.343954604976,78.021978021978,82.7169274537696,86.0323003055434,84.6153846153846,86.1545756282598
Savannah,GA,48196,13107,35089,2.95,7.87,2.07,14.75,21.83,13.55,3.26,3.12,3.5,82.8021184400578,78.4435513335769,84.3619246861925,85.2768415984593,83.6317135549872,85.8655857740586
Honolulu,HI,53722,354,53368,2.8,,,5.52,,,3.65,,,83.1648483635272,64.367816091954,83.3299676898223,83.2849564608147,65.5172413793103,83.4410339256866
Boise,ID,24945,88,24857,2.51,,,8.62,,,4.55,,,77.2840738891663,78.2608695652174,77.280320748413,83.0587452155101,78.2608695652174,83.0771800868694
Idaho Falls,ID,9314,,,,,,8.1,,,2.49,,,72.4692526017029,,,79.2809839167455,,
Aurora,IL,11776,953,10823,2.02,,,21.28,27.23,20.37,3.21,,,85.7397504456328,79.1666666666667,86.35477582846,87.8787878787879,88.3333333333333,87.8362573099415
Blue Island,IL,62029,15946,46083,1.48,2.61,1.52,15.37,17.92,15.82,3.75,3.17,4.17,80.3193712900259,76.5945797974268,81.957149735195,81.640331075997,80.0711743772242,82.3302840635532
Chicago,IL,128243,57095,71148,1.72,3.35,1.96,11.88,14.06,13.37,4.68,5.17,5.11,76.7389533304884,73.1189067577702,79.8925667828107,76.5798968072313,72.9855845346221,79.7110917537747
Elgin,IL,36097,677,35420,2.36,,,18.91,32.44,17.8,3.39,,,83.0566826509283,81.9587628865979,83.0835117773019,85.2575925242838,80.4123711340206,85.3759919385313
Evanston,IL,61876,1766,60110,1.64,,,11.12,10.28,10.69,3.56,8.56,3.32,84.509294423346,75.8807588075881,84.8396803984643,87.1077353587847,82.9268292682927,87.2678219362872
Hinsdale,IL,23466,1105,22361,1.76,,,22.74,20.3,22.12,2.29,,,84.8439821693908,78.4053156146179,85.2834467120181,85.8628741243897,83.3887043189369,86.031746031746
Joliet,IL,42804,3457,39347,1.74,,,19.53,18.4,19.29,3.02,,,81.3551716401167,76.7471410419314,81.8014027316353,84.002692393987,80.559085133418,84.3361634059308
Melrose Park,IL,73355,6001,67354,2.09,3.89,1.81,22.11,19.46,21.99,3.72,4.11,3.65,82.5863911649448,76.0241773002015,83.3652160051012,84.139650872818,77.8374748153123,84.8876135820182
Peoria,IL,41802,1874,39928,2.6,7.51,2.08,25.69,34.44,24.4,3.83,,,83.3901893894836,77.2300469483568,83.7151702786378,86.5898129631808,84.2723004694836,86.7120743034056
Rockford,IL,44561,2055,42506,2.02,,,14.54,17.22,13.93,4.72,,,81.5803638712456,75.2873563218391,81.9550587430136,86.414038109592,83.1417624521073,86.6088741872933
Springfield,IL,60369,2384,57985,2.86,8.27,2.29,11.89,16.93,11.25,3.87,,,79.7719532059825,73.458904109589,80.057266676985,86.5096993928624,84.5890410958904,86.5965020894598
Urbana,IL,24289,1531,22758,2.03,,,16.23,11.06,16.16,5.17,7.1,4.96,82.2298982920745,74.5508982035928,82.7557924953865,87.0466321243523,82.6347305389222,87.3487799876974
Bloomington,IL,9216,246,8970,1.37,,,19.93,,,3.46,,,86.5434001027221,83.8709677419355,86.631299734748,88.9060092449923,90.3225806451613,88.8594164456233
Evansville,IN,47338,1328,46010,2.94,,,11.86,17.33,11.21,4.67,,,79.3243243243243,62.2895622895623,79.8270893371758,80.6563706563707,78.4511784511785,80.7214548345424
Fort Wayne,IN,41984,1696,40288,2.04,,,14.96,29.56,13.79,4.12,,,78.8082772375966,70.0296735905044,79.1932335718933,85.0909997506856,81.6023738872403,85.2439817826936
Gary,IN,41785,9411,32374,1.78,4.04,1.5,22.15,30.22,21.2,5.33,7.02,5.05,74.0722949441576,70.5819540843567,75.0852184691664,80.0168127777111,75.2802989855846,81.3913851874806
Indianapolis,IN,166889,14337,152552,2.01,5.02,1.63,13.14,18.27,12.46,5.04,7.04,4.8,75.9975898994878,63.439218081857,77.2345738439785,83.9920028483006,82.7122785583384,84.1180540930834
Lafayette,IN,11938,114,11824,3.45,,,13.07,,,4.82,,,55.7340306313037,54.2857142857143,55.7532172596518,86.1785580874113,82.8571428571429,86.222558667676
Muncie,IN,13495,584,12911,3.72,,,14.12,,,4.43,,,80.1013513513513,74.4525547445255,80.3754870704924,86.9256756756757,83.2116788321168,87.1059156925257
Munster,IN,27666,3843,23823,1.53,3.47,1.28,32.03,28.32,33.04,4.2,7.05,3.77,78.5789142737372,73.5083532219571,79.6592931604373,80.3605114231817,75.8949880668258,81.3119755911518
South Bend,IN,40195,2262,37933,3.22,6.04,2.74,13.99,22.55,13.07,4.37,,,79.6887059428865,74.7933884297521,80.0137174211248,85.065603293028,81.6115702479339,85.2949245541838
Terre Haute,IN,15076,474,14602,1.92,,,23.43,,,3.97,,,78.4228187919463,66.6666666666667,78.8141470180305,83.3892617449664,80.2083333333333,83.495145631068
Cedar Rapids,IA,15996,235,15761,2.38,,,21.2,,,4.2,,,83.4530026109661,62.7450980392157,83.8035180882841,90.6657963446475,78.4313725490196,90.8728841686027
Davenport,IA,33706,1367,32339,2.59,,,25.88,25.26,24.99,2.41,,,84.2830486579589,75.5882352941177,84.7291383733213,88.3594086407349,87.0588235294118,88.4261355062623
Des Moines,IA,60623,1098,59525,2.43,,,12.74,10.84,12.2,4.49,,,82.3930117005931,75.4863813229572,82.5382538253825,89.5976919378105,85.2140077821012,89.689878078717
Dubuque,IA,6315,,,3.55,,,13.73,,,3.65,,,84.9358974358974,,,92.8205128205128,,
Iowa City,IA,17304,152,17152,2.98,,,17.71,,,3.34,,,77.1559399643857,65,77.2809046517605,88.3490206054439,95,88.2806476484194
Mason City,IA,11158,18,11140,2.27,,,9.58,,,4.57,,,73.3450241122315,,,87.0670758439281,,
Sioux City,IA,14812,81,14731,1.39,,,11.97,,,7.21,,,80.042689434365,86.3636363636364,79.9928289709573,87.4421913909641,90.9090909090909,87.4148440301183
Waterloo,IA,14568,678,13890,2.05,,,14.58,19.08,13.87,5.91,,,82.798833819242,78.0346820809249,83.0816746739876,91.3508260447036,93.0635838150289,91.2491420727522
Topeka,KS,26160,1464,24696,2.93,,,16.77,27.09,15.66,2,,,76.6168289290681,73.3727810650888,76.819357222017,87.9867872044506,85.207100591716,88.1603250831178
Wichita,KS,76209,2905,73304,2.05,,,24.1,28.93,23.02,4.03,3.71,3.95,73.2181966084726,69.0582959641256,73.399947753396,86.4338902446655,85.0523168908819,86.4942528735632
Covington,KY,18732,321,18411,2.75,,,18.73,,,4.07,,,81.7761557177616,72.0430107526882,82.0014936519791,82.1167883211679,84.9462365591398,82.051282051282
Lexington,KY,95377,4192,91185,2.47,4.27,2.1,15.93,15.88,15.37,3.81,2.66,3.78,79.8397450086325,74.5819397993311,80.0571639314033,83.9479392624729,87.0680044593088,83.8189194172967
Louisville,KY,107798,9824,97974,2.95,7.28,2.39,12.76,18.58,12.02,4.53,5.96,4.35,81.1610173226958,76.7023346303502,81.6053511705686,84.175959800767,83.2198443579767,84.2712423052688
Owensboro,KY,13872,452,13420,2.37,,,13.75,,,2.82,,,86.8512110726644,81.3953488372093,87.037773359841,84.7366397539408,83.7209302325581,84.7713717693837
Paducah,KY,32872,1650,31222,3.57,,,10.99,12.65,10.56,5.4,9.01,5.1,79.9835028869948,72.2044728434505,80.3332854474932,83.2554302996976,82.4281150159744,83.2926303691998
Alexandria,LA,21256,5072,16184,3.72,9.2,2.91,20.01,28.11,18.92,3.29,4.25,3.14,76.9064889237404,74.2808798646362,77.6983924470528,79.8666928053323,79.7800338409476,79.8928298035213
Baton Rouge,LA,39637,14603,25034,3,7.26,2.31,17.62,23.19,17.54,5.87,7.83,5.4,79.1585838991271,76.7114723351047,80.7090512972866,81.8380213385063,81.4316974054392,82.0954644484056
Houma,LA,17660,2803,14857,3.02,6.17,2.65,23.11,26.49,22.98,1.52,,,83.0760749724366,78.4313725490196,84.114671163575,84.5644983461962,80.6938159879336,85.4300168634064
Lafayette,LA,44911,13328,31583,2.57,6.65,1.84,26.22,42.88,22.25,4.08,5.03,3.98,80.1671064204046,77.2710821570756,81.4306016106111,78.8368513632366,78.2844733984799,79.0778462024317
Lake Charles,LA,17044,3541,13503,2.13,4.61,1.84,18.45,24.68,17.77,2.86,5.33,2.31,81.4688075809424,76.6541822721598,82.7551701134089,83.2324295867333,81.398252184769,83.7224816544363
Metairie,LA,21664,3727,17937,2.92,8,2.17,23.71,39.13,21.23,4.34,6,4.08,79.3274531422271,74.7081712062257,80.5740287014351,81.0088202866593,81.8417639429313,80.7840392019601
Monroe,LA,19678,5679,13999,2.65,7.91,1.5,19.43,26.28,18.77,4.03,3.28,4.59,78.8418149912259,77.8373547810545,79.2334494773519,80.5214339433442,82.0375335120643,79.9303135888502
New Orleans,LA,21539,10499,11040,2.97,6.79,2.56,14.64,21.49,12.92,3.5,4.66,3.13,75.493345571363,73.2914046121593,78.1550937658388,78.8664525011473,77.9454926624738,79.9797263051191
Shreveport,LA,46189,15204,30985,2.6,7,1.68,16.06,22.8,15.05,2.37,2.7,2.42,75.6767717732941,71.9892952720785,77.5846153846154,80.5941397140829,79.2744573297651,81.2769230769231
Slidell,LA,9610,1127,8483,3.59,9.77,2.78,17.42,23.8,16.57,5.24,,,76.5977443609023,71.875,77.2435897435898,82.1428571428571,79.6875,82.4786324786325
Bangor,ME,26822,71,26751,4.02,,,10.65,,,4.93,,,83.7169782172099,83.3333333333333,83.718048024787,87.7027653329214,83.3333333333333,87.714949651433
Portland,ME,63045,223,62822,2.2,,,11.24,,,6.17,,,83.9668279198341,78.8461538461538,83.9873564104541,88.1363741073485,92.3076923076923,88.1196515303369
Baltimore,MD,173846,47304,126542,2.23,4.83,1.98,15.3,21.26,14.56,5.99,6.91,6.02,81.1198806786402,76.1730652041438,83.3005014326648,83.7113914610652,81.139549055454,84.8450931232092
Salisbury,MD,46480,7740,38740,2.4,6.42,1.81,13.62,16.6,13.37,4.2,4.68,4.16,83.8823529411765,77.4545454545455,85.1228070175438,84.8039215686274,83.2727272727273,85.0994152046784
Takoma Park,MD,45513,15344,30169,1.63,4.64,0.91,12.56,20.37,10.44,3.35,5.85,2.37,83.7206516530906,80.2007299270073,86.0079051383399,84.0680402491615,81.5389294403893,85.7114624505929
Boston,MA,258931,14465,244466,2.08,3.98,1.77,12.01,14.77,11.5,4.83,4.4,4.76,83.3540888335409,77.5296777840588,83.8420192740274,89.078237311835,87.9875635952515,89.1696067056567
Springfield,MA,44936,2830,42106,3.47,6.64,2.96,11.02,10.86,10.76,5.16,7.63,4.9,85.1039839639188,82.089552238806,85.3503184713376,88.1358055625157,87.3963515754561,88.1962325518363
Worcester,MA,27782,634,27148,2.78,,,8.51,,,6.19,,,84.4984238828111,75.1592356687898,84.7784568372804,87.3168922677545,83.4394904458599,87.4331550802139
Ann Arbor,MI,74955,8264,66691,1.66,2.62,1.53,14.32,17.36,13.9,4.28,4.9,4.19,81.9263311915516,75.1079913606911,82.8369510348309,86.5449456072269,82.5053995680345,87.0844450854547
Dearborn,MI,44312,2390,41922,1.84,,,16.75,23.33,15.87,3.97,,,82.5791227096058,72.3595505617977,83.2519603491641,83.564686285397,76.6292134831461,84.0213049267643
