HRR #,HRR City,State,Resident Population (1996),"Acute Care Hospital Beds per 1,000 Residents (1996)","Hospital-based Registered Nurses per 1,000 Residents (1996)","FTE Hospital Employees per 1,000 Residents (1996)","Total Physicians per 100,000 Residents (1996)","Primary Care Physicians per 100,000 Residents (1996)","Total Specialists per 100,000 Residents (1996)","Allergists/ Immunologists per 100,000 Residents (1996)","Anesthesiologists per 100,000 Residents (1996)","Cardiologists per 100,000 Residents (1996)","Cardiovascular/ Thoracic Surgeons per 100,000 Residents (1996)","Critical Care Physicians per 100,000 Residents (1996)","Dermatologists per 100,000 Residents (1996)","Emergency Medicine Physicians per 100,000 Residents (1996)","Endocrinologists per 100,000 Residents (1996)","Family Practice Physicians per 100,000 Residents (1996)","General Surgeons per 100,000 Residents (1996)","Gastroenterologists per 100,000 Residents (1996)","Hematologists/ Oncologists per 100,000 Residents (1996)","Infectious Disease Specialists per 100,000 Residents (1996)","Internal Medicine Physicians per 100,000 Residents (1996)","Neonatologists per 100,000 Residents (1996)","Nephrologists per 100,000 Residents (1996)","Neurosurgeons per 100,000 Residents (1996)","Neurologists per 100,000 Residents (1996)","Obstetrician/ Gynecologists per 100,000 Residents (1996)","Ophthalmologists per 100,000 Residents (1996)","Orthopedic Surgeons per 100,000 Residents (1996)","Otolaryngologists per 100,000 Residents (1996)","Pathologists per 100,000 Residents (1996)","Pediatricians per 100,000 Residents (1996)","Plastic & Reconstructive Surgeons per 100,000 Residents (1996)","Psychiatrists per 100,000 Residents (1996)","Pulmonologists per 100,000 Residents (1996)","Radiologists per 100,000 Residents (1996)","Radiation Oncologists per 100,000 Residents (1996)","Physical Medicine/ Rehabilitation Physicians per 100,000 Residents (1996)","Rheumatologists per 100,000 Residents (1996)","Urologists per 100,000 Residents (1996)","Vascular Surgeons per 100,000 Residents (1996)"
15,Tucson,AZ,1010007,1.91133,2.50622,10.12349,179.8949398983,63.2582348147,115.6569117319,1.4000059426,12.3740872516,4.6425435042,0.8352637989,0.40496,3.5055630881,6.6253816916,0.4108029228,29.3769954876,6.6224712208,2.9281347342,1.9364130923,0.6893101237,22.5195520816,0.2296027761,0.7201252419,1.5925754841,2.7963782887,11.9911538637,4.9946262584,6.1218500664,1.8541370493,3.41308,11.3791377691,2.403813975,11.890441171,2.0287555679,8.06945,0.6078462704,1.8752704859,1.1591166985,2.6550804345,0.1243247474
16,Fort Smith,AR,328687,3.34227,3.03387,12.81554,145.9429477198,57.7380266789,86.9416084057,0.9901790341,9.1157938221,4.4531782269,1.520361431,0.9299,1.9483530036,5.2926254869,0.8961342163,38.1474880708,7.42509628,2.513976298,1.5399238543,0.6043773064,12.4708390955,0.0741217065,1.199754061,1.0574996302,3.1297758264,7.9792092393,3.4487138098,5.3278055514,2.0079048132,2.75233,7.4559444712,1.0687406537,4.1846982749,1.2480455486,6.54196,1.4589853991,0.9976477771,0.3478868936,3.2552591665,0.0247880892
18,Jonesboro,AR,213837,3.32198,3.03863,11.64258,133.2996983733,53.9213643771,78.6663839238,0.1676452836,6.1584309731,3.7486535436,1.0991862341,0.46262,0.6922749506,2.7368647383,0.1145126776,34.526599332,8.417581644,1.8813425759,1.3434309005,0.4758938247,13.3331646946,0.1217808849,0.4692923082,1.5638994432,2.016234762,8.3833907579,3.5746854778,5.5513021705,2.7141633721,5.75355,6.0828967073,0.8128137906,3.9345916303,1.6834220275,7.13108,0.8504161177,0.9345106228,0.4521605561,3.2141134663,0.0546541529
19,Little Rock,AR,1407504,3.67826,3.87023,15.44397,163.898437576,57.7283017373,105.1919644612,0.8812521167,9.1897213076,4.4700568091,1.3307035958,0.43677,1.9894492764,5.0161860206,0.3706266313,36.1812135985,8.1699159846,2.8074263417,2.1726667032,0.2253001549,11.6272307787,0.8884574178,1.3498400918,1.7907062374,2.590946132,9.6950373831,5.2167797811,6.877101176,3.1646794251,4.30312,10.2884295154,1.3132118354,9.4706143383,1.9388007123,8.27156,0.9481748326,1.4549080721,0.7958100991,2.751190965,0.2651836536
21,Springdale,AR,375514,2.0517,3.11267,11.67928,145.9748673228,58.4192339271,86.4985192648,0.6854672052,7.078884421,2.9602371147,1.2150586152,0.33185,1.527610568,5.8872538153,0.0883516543,39.3893051559,9.1801345897,1.8079510577,1.246743933,0.0671862381,12.177324391,0.4033286476,0.3873546974,1.321779864,1.6615934422,7.7854497693,4.141237196,5.6837056921,2.2302554301,2.15548,7.0381339649,1.1090282476,7.639916543,0.9708860833,7.78813,1.3652061554,1.2500443069,0.8516205319,2.7508308532,0.0405812241
22,Texarkana,AR,252628,4.40733,3.77763,15.31565,137.6645614509,53.4462501155,83.2541555251,0.5629668028,7.1896034909,4.0005221985,1.4221364438,0.52037,1.4058356625,5.4305328917,0.1102264783,34.3810744229,6.2819029884,1.8192164948,0.7616748902,0.0911428932,12.4129113686,0.1612728713,1.2435857716,1.1601022897,1.5449872163,10.0199465261,3.8024951968,5.6957167306,2.4625619208,3.81063,6.9806943142,0.9039297679,5.8820258797,1.3637000631,7.14963,0.5023322981,1.3625881526,0.1423487372,3.0137688577,0.3929840604
23,Orange County,CA,2908769,2.22444,2.25862,8.52034,211.8424481236,73.1194427652,137.8683847049,1.6816368993,13.017701331,7.14780976,1.8250341992,0.30095,4.2757373186,7.3407907211,1.2914261702,32.2301423566,8.4230577241,3.6317530323,2.3989302787,0.9241039353,26.1960122934,1.3055709415,1.2274062826,1.5264802325,3.4848528436,13.8889520659,6.4789298123,9.0597241914,3.1628844379,4.14951,14.6206411497,2.9234670827,12.3203864365,3.0318224002,9.04608,1.1983139719,1.6842802698,1.0591735747,3.5840469501,0.5769120062
25,Bakersfield,CA,874305,2.20796,2.56616,10.91604,145.8888709798,49.5476595856,95.4841144058,0.4560316529,9.8942225196,4.0773774515,1.859209769,0.16262,1.8739219492,6.2238419298,0.2419025649,23.0675421267,7.4516800867,2.0127401879,1.7998765729,0.4619777778,20.0523262956,0.3221312886,1.6208479674,1.0616356963,2.5183591474,11.5008414778,5.4750861983,5.6180589429,2.1498817691,3.36566,7.3139186581,1.4721789308,5.6543422978,1.098309298,6.36555,0.7555603672,1.1451547215,0.5988109738,2.3675302007,0.4932068092
31,Chico,CA,266611,2.23397,3.42326,13.30086,171.877391898,55.2957266249,115.619180259,0.9519611972,11.2493013342,3.3301172468,1.9920049758,0.48898,2.5491809513,8.670119549,0.4686475118,33.3993333109,9.1991327995,2.2820932843,0.9054477406,0.4045419848,13.5477988468,0.1317083389,1.3814010608,1.581467193,2.920421397,11.9141581409,6.6087400848,9.1557429084,3.204273977,3.16369,8.7411571252,2.0146750873,8.5528584993,2.1334422932,11.87513,1.0831845775,1.7515464638,0.4947950783,3.6664612339,0.7237097209
33,Contra Costa County,CA,892780,1.45129,1.76231,7.07658,214.9056906746,69.2464434619,144.6493601591,1.9410083879,13.5539756017,5.1183838567,1.5041921905,0.16929,3.8868153964,9.0199620277,1.4785806996,28.2736014666,9.9640041315,3.2057391025,2.7759754665,1.309466181,25.1576845553,0.8215572532,0.9410608135,1.2399610028,3.9027015125,14.9411910632,8.3461887024,8.5709604192,3.3220320983,4.29129,15.6931341768,2.370315885,16.0521840372,1.9665197005,10.27486,1.7967267938,1.337817471,1.2666981344,3.7884733416,0.5786646292
43,Fresno,CA,1027730,1.95401,2.44507,10.74327,152.4262127911,54.5670549471,96.7314729974,0.9319210069,9.4687482449,4.4548079228,1.0976811617,0.31201,1.9540749751,5.8036335546,0.7156809278,26.5083107389,9.3483642263,2.403220675,1.9448729977,0.1581231247,19.3743064966,0.3337330801,0.8081043696,1.4259846088,2.4754486295,9.6776499152,5.2204050328,4.9709210526,1.6307985404,2.53632,9.0848928955,1.8603881576,7.5774612886,1.1301016041,7.52563,0.7773927574,1.2012472223,0.423405756,1.9200989994,0.4063480069
56,Los Angeles,CA,9288694,2.69119,2.87704,11.02147,197.6386397251,64.8677982971,131.9002359232,1.1838353696,11.4499336593,7.221460924,1.868696568,0.39429,3.894394971,5.7081452591,1.3786115786,24.4793190834,8.0527776734,3.3000672987,2.8462860378,1.3161033912,27.6816364159,0.989906059,2.0790987749,1.4877702826,3.4173336977,11.9045817937,6.5460428638,7.2049433164,2.5990142541,4.49309,12.9226918861,2.6966461674,15.109230772,2.7549887224,8.77338,1.3027409889,1.4266459377,1.3156218164,3.3443138245,0.7170190499
58,Modesto,CA,728080,2.34322,2.96099,10.70586,148.9353468047,54.331705968,93.4784116082,0.6957120836,10.2488325113,4.1727357095,1.4376589494,0.06568,2.0618363686,6.4356209642,0.6990449369,30.6774709126,7.0622685075,2.7574528771,1.1306530682,0.3700398468,17.8322792999,0.4954192783,1.2789081923,1.4170293917,2.1615900505,9.7823009025,4.4077997031,6.1665046069,1.7639075637,3.06372,6.6916885309,1.3962674875,6.1476595464,1.2432935848,6.74056,0.876068856,0.9079511803,0.6950275405,2.4096238234,0.1193189512
62,Napa,CA,255209,2.63056,2.47773,12.52291,243.949259003,89.041721761,154.2150494248,1.1811174105,13.0356545649,5.2973636114,1.3636015901,0.08947,4.0484761795,12.0304747931,0.2056365424,45.5357980392,15.327117619,2.7289024683,2.0090041406,0.5561222587,28.4384356793,0.2492380563,1.1590015163,1.802871259,3.2164793525,17.4855818294,7.2489104072,12.022745524,3.5217327079,4.46363,15.3087523896,2.59819291,23.416459803,1.6347174394,12.29571,1.2070450859,1.0133210747,0.2841821844,3.7387906967,0.7892403353
65,Alameda County,CA,1376059,2.03285,2.46817,8.90376,223.9202631037,82.1595531616,141.1423932801,1.7234507948,8.5613975826,5.6958899759,1.78738674,0.39068,4.5489467358,9.9476502356,0.6852518164,23.5953438049,7.8369179813,3.4784550453,2.7559784821,1.2970907843,36.0998767231,1.3756921603,1.506651625,1.4383549704,3.9615481898,13.1470766088,6.8561317768,8.1650935614,2.8005835077,4.79814,22.7550077233,2.2250713378,19.4810873408,2.723570446,9.2175,1.1605031177,1.4288349614,0.6440398633,3.092426105,0.780029172
69,Palm Springs/Rancho Mirage,CA,270662,2.01905,2.16971,8.71644,197.4844724015,55.4687119736,140.978553186,1.9434123617,14.0357005307,7.3761999976,1.0887631412,0.14813,2.8436999346,11.7509911369,0.5436361992,29.8677639565,10.3482828865,3.1929363991,2.1338505347,0.7169357049,16.563665803,1.2828178305,1.2824294839,1.6850073695,2.5679965164,14.597949098,5.1164770997,9.9570646682,4.0264208094,5.44379,9.4521090844,5.0999056837,10.9620312606,1.7566350428,10.21199,1.4216472573,1.7483535842,0.7197776691,3.1097605378,1.032371323
73,Redding,CA,319558,2.38552,3.42504,11.81558,185.7682965519,68.4454187735,116.4197812249,1.0356288721,12.6093658743,2.5009850872,1.370313245,0.91764,2.4046791788,12.4095284234,0.1243155995,43.4930541013,8.5255948784,2.0049146243,1.879613101,0.0967051499,16.8210338525,0.0994795548,0.142451834,2.2423458302,2.7037029029,9.6172952223,5.5363301979,10.32351453,2.2446009931,5.5463,8.3931401513,1.9150718411,9.1179997005,1.3460381902,9.97057,1.5194822513,2.2078795956,1.2346919837,3.4307596752,0.6466274798
77,Sacramento,CA,2073264,1.64254,2.11229,8.48508,184.2378604334,64.9482210897,118.2974249391,1.4460930379,11.7208607708,4.750483994,1.3140417182,0.58198,3.0972043294,8.0398553187,1.1310494785,31.6961198337,7.126670642,2.6977693646,1.8552660712,0.6455596679,21.5748918784,0.5889994044,1.1033666036,1.4148011808,2.8876346105,11.6749840626,5.8357782033,7.9948181394,2.9042603463,4.46235,11.6834691322,1.9169429885,11.1365689686,2.0084201482,8.3291,1.0234438438,1.7850564865,0.8080630659,2.5728404859,0.6810299206
78,Salinas,CA,320662,2.08557,2.64754,11.67995,192.5013801362,60.4386881515,131.3669644349,1.8689632726,11.4026101652,5.5741104455,2.331296543,0.1416,4.0052010988,6.0429756585,1.4098868068,32.4147788274,10.5138173706,2.4975475411,1.3038335389,0.7465227535,19.8611760351,0.3447958086,1.7049428748,1.7892274206,2.7830574061,13.1019253572,8.7321137987,8.9314126229,2.7675523453,3.26811,8.5157790388,3.1729104961,12.1386527113,2.4156076447,8.73935,1.8149951903,0.9598009229,0.8169082846,4.4194616865,0.2721396796
79,San Bernardino,CA,2402938,2.11482,2.47373,8.82095,144.6724190969,49.761794124,93.9406571841,0.6618524233,8.5002341923,4.18501064,1.4130775063,0.2471,2.0147493701,4.5857360676,0.8682248667,24.8009855347,7.051780976,2.1154503321,1.4796441174,0.6426637536,17.2683398375,0.7145488798,1.0421897374,0.9809251607,2.0993556969,9.2773253764,4.4179677367,5.7964777072,1.9298401826,2.66857,8.0423186405,1.5793113644,7.7869549679,1.5550034675,6.27382,1.2107208978,1.4810367733,0.7698208452,2.6770954745,0.4267506603
80,San Diego,CA,3086657,1.80256,2.30545,7.81353,194.097201046,61.1163542726,132.1189815296,1.3057138087,11.9139496252,6.2386697134,1.7794314679,0.39836,4.0468173455,7.4386267492,1.2621563831,28.4019520085,7.47390748,3.1681295794,2.3661207419,0.8658159537,20.3401849315,0.849117607,1.2139539165,1.3509656185,3.3399344203,11.3052409388,7.2655844814,8.6604604474,2.7088652411,4.29724,12.2365050901,2.6235111088,14.0772056564,2.6654078736,8.2681,0.9456561784,1.1866626819,1.219826352,3.2358249385,0.601298385
81,San Francisco,CA,1315188,2.24058,3.03557,12.09361,282.2234428473,102.1020251652,180.0150356074,2.3507592053,12.6628697106,8.1316242785,1.3941144145,0.49625,6.2172284828,11.3933332154,1.820890627,25.9279492877,9.2561121835,4.0330469032,3.4420272267,1.2965753686,50.2936178061,1.6288039436,2.0355440597,2.1797186697,5.5063896305,12.1452737848,8.2035325921,9.0741670881,4.0512784324,6.00695,26.7925974448,3.248923767,37.264417415,2.2385907625,12.3118,1.5002800492,1.9986307948,1.4427428318,3.1745795226,0.6006195937
82,San Jose,CA,1619112,1.97525,2.36133,8.17004,196.1718888598,69.1729027489,126.0670146563,2.027404552,9.6255243167,7.080457179,1.8046178651,0.22691,4.1476431673,5.2765336189,0.9573033237,20.745105464,7.3566701171,2.7501187623,2.1065005433,0.6486535422,31.9857411939,0.677114253,1.0046959032,1.4606884743,3.3185404766,13.990534035,7.0733169867,7.8237733839,3.2534494766,3.59394,16.7488803736,2.5465801621,11.9133534806,2.08932905,7.68668,1.0235059405,1.670105621,1.584769581,3.1393103911,0.703524519
83,San Luis Obispo,CA,218934,1.88227,2.47088,7.44164,227.7433828172,77.6034190962,149.2518166092,1.9396506186,12.886208605,5.6056287565,1.278598106,0.06676,4.6447499157,12.7708148604,0.1517927461,38.7444160639,9.668418038,2.4211934152,1.5763385374,0.1129993554,24.7905658326,0.650786818,1.0140034319,2.5043907688,3.8408441343,10.6746450406,7.5404692746,10.996928838,2.9783786887,3.23754,14.0303371831,2.8717067087,27.3273716938,1.5013439742,12.54314,1.8187529612,1.9812583087,0.1797112284,3.3942410697,0.1378466973
85,San Mateo County,CA,775025,1.66986,1.96476,8.85374,234.7175415996,72.3038871749,161.192551547,1.9699127817,12.4759625931,9.3756328808,1.4054684989,0.55331,6.1595491739,6.3426296726,1.8571504539,16.0626071562,7.7341361614,4.3521632011,3.1693844406,1.2214998894,37.259236617,0.9996261247,0.8652570759,1.9975874172,3.9925884153,13.3765455127,8.0818690614,8.5611915614,3.3198445283,6.11525,19.5135684868,2.8005125421,26.7910365759,2.9329252117,11.01127,2.2419990716,1.7278866238,1.8177724568,2.7468874504,1.3849944025
86,Santa Barbara,CA,405511,2.39914,1.7432,7.74406,215.2089040094,73.3389400418,140.8609938267,1.5033740683,11.3575009162,6.3547648161,1.1887670813,0.04532,3.7491993043,9.6132172094,1.2220379251,29.7130228485,9.4262397913,2.3237233967,2.9643166542,0.5352222098,31.9617101508,0.7670466463,1.2814830002,1.8329028577,3.9585918084,11.5537008298,6.7924723884,10.5960303067,4.0151899132,2.82981,11.6391779109,2.8964638043,16.037945956,2.2582518778,10.12717,1.5097613496,2.1119993573,1.7204514542,3.2216985263,0.4496834969
87,Santa Cruz,CA,249750,1.85796,1.87517,7.51745,223.5987736707,73.917130104,148.9775081944,1.0696871604,14.4737962965,5.3238394337,2.1331215237,0.10427,3.8269929397,16.0540887598,1.0098903842,43.5689692863,7.8476575321,4.1230245438,2.4803951214,0.9450683677,17.5927466063,0.1460117778,1.4339196513,1.7185959284,2.5124088375,13.5363815369,6.8412999409,9.3035432431,3.6187371159,2.94743,12.4339043673,2.7755707919,15.4715040803,2.8061186423,8.05482,1.1071626278,1.9072128541,1.8960199898,3.7911282145,1.9245022982
89,Santa Rosa,CA,437664,1.81699,1.90361,6.91537,228.2030972299,84.0824277128,143.0032547654,1.5346933504,13.069217661,5.8325973526,1.1123220236,0.06975,4.3514605038,12.784432115,0.5561513566,48.5687158671,7.9745855217,2.9504344322,2.0987199798,0.7320950547,21.7046123641,0.2936268222,0.595664598,1.6169256398,2.9182237314,13.0201435402,7.5930553709,10.5496689226,3.1786313948,3.97779,13.950320214,2.7814293168,18.8419880388,1.9254058764,8.74938,1.4375569914,1.32216377,0.8092753492,3.5293832715,0.4929535792
91,Stockton,CA,475253,2.17408,2.65933,11.21328,149.8337858628,50.2535069957,98.8019467588,0.9789212281,10.0600982698,6.2015796279,1.9404053638,0.06571,1.9465416672,4.5893607997,0.3584181039,23.1164766523,7.150847456,2.3266882794,0.9061151463,0.5420605635,17.7119887084,0.562141254,0.6202078468,1.1717466448,1.9187198918,11.7268735036,4.6052389166,7.1037320756,2.2800037377,2.98172,9.4537623081,1.2438683187,8.4789678257,2.1630043535,6.26153,1.0503140989,0.4993802712,0.3496842116,1.8191079664,0.314845689
96,Ventura,CA,751104,2.04161,2.3781,7.94715,203.5155762454,68.4490496008,134.1662401217,1.4943632759,11.6379766235,6.3951439393,1.8334719215,0.18019,3.9489089242,5.9842290842,0.8579814372,36.6613579879,8.5461262551,2.6605802639,2.539108497,0.9715660147,21.4062596284,0.978630177,1.9747003672,1.8538729694,3.0950239136,11.4434249879,7.7398765896,9.560531733,2.8127535677,3.52172,10.4498609519,2.8659929987,15.6979560727,2.6337454793,7.4619,1.4729198237,1.1666289572,1.3402435563,3.175902686,0.516067513
101,Boulder,CO,253571,1.55637,2.65004,9.41209,231.8176256977,85.0068938397,145.7195435541,1.7979810302,12.5114238113,2.8565932076,1.1684919338,0.03976,3.8042996431,15.8088269498,1.2969323241,47.0623614388,6.7571049351,2.6952579164,2.412519265,0.8770053391,25.1843869445,0.1080292595,0.9174289624,1.6245745009,3.1146928599,11.7554198574,10.4802574926,8.9863268286,2.6175145361,2.5171,12.0804631802,1.6908175209,19.871035843,1.529180242,7.07604,0.1139452087,3.347397349,0.9854018989,2.9045639236,0.5343621436
102,Colorado Springs,CO,694232,2.03403,2.56265,11.23481,174.8891358476,58.985061919,115.0207479621,0.8710922968,8.2283084445,4.4879645967,0.8690447774,0.03696,2.061210162,8.4115104178,0.4859115256,35.2417242613,10.2628828816,1.8715347616,1.6780017811,0.3923360429,16.8892035242,0.3414833497,0.7713733393,1.1757038216,2.1685011839,10.0719094073,6.3326365784,8.8657728692,3.338795697,3.80438,7.0309007112,1.8328534814,11.2290770129,1.5539582213,7.29716,0.7807369201,2.1948692371,1.2430739909,2.8046015772,0.2283589906
103,Denver,CO,2231794,2.22,2.81434,11.24316,203.2130771223,69.0985588473,133.1238292817,2.4856175701,11.854154085,5.1720563669,1.2429506023,0.30488,2.4062104134,7.1711833793,1.6252222958,32.008326957,7.4351464948,3.2646653666,2.6465053147,1.0531987796,24.6964283803,1.1301036668,1.2517378639,1.5278678823,3.1161394479,11.8741885247,6.4194970315,8.6049692411,2.860286922,4.37625,12.4077071623,2.1744729354,14.7976417707,3.219121682,8.73793,0.8156161856,2.6850774181,1.5098870089,2.6019908443,0.4931254975
104,Fort Collins,CO,273695,1.84469,2.51412,9.62933,169.3845458136,61.7599986728,106.538904208,1.3633992757,9.5032511775,4.7483366008,1.8453845482,0.30962,1.8817954016,6.1114648424,0.5059077441,39.1688816469,6.7128143412,3.4549620239,1.6137470082,0.6507798643,14.0697640761,0.0675544397,0.7827845282,2.0171169568,1.9829338993,8.9866499177,6.8071046266,9.4147034732,3.1079520419,2.39079,8.0019974198,1.1693058615,9.4846088028,1.702744272,6.44211,1.8689651443,0.5987600961,0.8521432571,4.3248651656,0.0699390348
