HRR #,HRR City,State,Resident Population (2010),"Acute Care Hospital Beds per 1,000 Residents (2012)","Hospital-based Registered Nurses per 1,000 Residents (2012)","FTE Hospital Employees per 1,000 Residents (2012)"
218,New Orleans,LA,657147,2.69032007976784,5.52853566623526,18.1533630567137
219,Shreveport,LA,697005,2.89110057023936,4.5658497614786,17.8322905262467
220,Slidell,LA,185158,2.8293724131654,5.14789084217045,17.2669090772979
221,Bangor,ME,400737,1.92418876722513,5.53595026786206,22.8498489323538
222,Portland,ME,1072664,1.84630649839528,4.54764198913472,18.0579203257803
223,Baltimore,MD,2530484,2.11453141106176,4.89103724493179,18.2133477805182
225,Salisbury,MD,439563,1.93493110324198,4.47776262206025,16.7408182430081
226,Takoma Park,MD,949382,1.67390534018341,3.35457292213687,11.4948576970492
227,Boston,MA,4828377,1.73512716239202,4.3959054921288,19.045107687125
230,Springfield,MA,746206,1.73641323244374,3.81354290884337,16.0392978582531
231,Worcester,MA,805628,1.39343359101622,3.35787129501114,15.693252415047
232,Ann Arbor,MI,1401181,1.61631373403361,4.84925978787942,16.4608501272742
233,Dearborn,MI,517706,2.21178490915918,5.27470092696603,17.1830968842842
234,Detroit,MI,1736411,2.54138390076696,5.65048750326969,18.487768747611
235,Flint,MI,558439,1.86101992428303,5.36712098540738,16.2252617869526
236,Grand Rapids,MI,1190635,1.50716912699863,3.7721505734371,14.4040325583192
238,Kalamazoo,MI,673187,1.78173895158398,4.32640791824088,15.8492342908867
239,Lansing,MI,718979,1.86364799529838,4.48587570514064,16.4396786876023
240,Marquette,MI,197848,1.92055991303641,3.69653052429203,20.838892034255
242,Muskegon,MI,269570,1.83510915387888,3.40846300256089,15.4748208938399
243,Petoskey,MI,179645,1.84914159434265,4.15374437550781,16.1875574719161
244,Pontiac,MI,471047,1.95664822781691,4.84534771938343,15.6626765697729
245,Royal Oak,MI,680228,1.91429776322911,5.01738329214277,15.6881330643082
246,Saginaw,MI,631870,2.61586117566912,4.74459593760548,19.0875380490907
248,St. Joseph,MI,138042,2.16127478322596,2.53563300948008,18.9221633812413
249,Traverse City,MI,227573,1.65870622328657,4.27552346413722,14.9100912349531
250,Duluth,MN,340001,2.29162979614921,4.56027990323491,22.0280050402507
251,Minneapolis,MN,3240531,1.95662952406565,4.00748666614527,16.2291055487003
253,Rochester,MN,416837,1.79311990659335,4.29400907561649,17.7633132291958
254,St. Cloud,MN,248386,1.91626213311974,4.26309264008887,18.7270768384915
256,St. Paul,MN,1084754,1.63187599364028,3.35657627056935,12.9742482325528
257,Gulfport,MS,201978,3.25706891572918,5.87102944339858,19.4922491784673
258,Hattiesburg,MS,304469,3.08068233999074,4.78455043036956,18.9167626823764
259,Jackson,MS,1078744,3.84748577990104,5.33829078509007,18.5367356862407
260,Meridian,MS,196162,4.06369213404832,5.4952998071094,18.2512799093965
261,Oxford,MS,158162,3.43957913308986,4.53604002925567,17.3701813488733
262,Tupelo,MS,391168,3.40097159575089,4.835909583373,17.3766045295633
263,Cape Girardeau,MO,272138,2.7370932334743,5.22102366323816,20.5248605352826
264,Columbia,MO,699527,2.25124879457871,4.59433133288985,17.6697475800756
267,Joplin,MO,373438,2.83276829583338,5.52586428832728,20.375001383014
268,Kansas City,MO,2488331,2.22569577986724,5.24614710127935,17.1594555147458
270,Springfield,MO,867493,2.00692898145644,4.46888780145673,19.073670405196
273,St. Louis,MO,3415461,2.69793297402794,4.98596932407236,15.782692680019
274,Billings,MT,583615,2.25811806274578,4.33079547889065,19.5852568498813
275,Great Falls,MT,153985,3.23437292699236,5.29493949032621,21.615188506199
276,Missoula,MT,386344,1.81807090371149,4.2810159434448,18.0173158072867
277,Lincoln,NE,587567,2.36582368556992,4.65030846139416,18.4101012505125
278,Omaha,NE,1302801,2.52173950377619,5.48843929870054,17.8121677993331
279,Las Vegas,NV,2071718,1.54224414957571,2.53172508519492,9.17676437378395
280,Reno,NV,758829,1.57984829266206,3.55228919564979,11.7904499794822
281,Lebanon,NH,404327,1.50400950573385,5.13756622729125,22.4176932706032
282,Manchester,NH,885436,1.69184465674334,3.74039013535366,17.7294260421768
283,Camden,NJ,2836742,2.13954430664307,4.05538916116348,13.4487498225644
284,Hackensack,NJ,1275790,1.80007419749745,3.55538068612805,14.0255009714747
285,Morristown,NJ,1028296,1.68330632867583,3.34406052250415,12.4632665119134
288,New Brunswick,NJ,1035386,1.81195369976922,3.90995938130072,14.240180254099
289,Newark,NJ,1535869,2.07253842178034,4.1138980780961,14.7322132153204
291,Paterson,NJ,395328,2.04977072696784,4.22921584162395,14.660233260598
292,Ridgewood,NJ,470660,1.5390776530694,3.22825560768251,11.503867121879
293,Albuquerque,NM,1729817,1.70476479339413,3.87685409406549,13.9565551890992
295,Albany,NY,1845020,1.9835333336232,4.0750566450879,16.2167322684545
296,Binghamton,NY,353353,1.96701161433884,4.09472761367215,19.8653636923991
297,Bronx,NY,1406842,2.59605790374917,5.12408197607147,24.3699012713041
299,Buffalo,NY,1359671,2.312455361709,4.72736979066394,15.5609107644996
300,Elmira,NY,333197,2.23130915348884,4.30690813518595,19.1183534511365
301,East Long Island,NY,4722023,1.76303132412431,4.05808778537903,17.5868171078619
303,Manhattan,NY,4986447,2.14536394184688,4.69152252335334,20.5514475719538
304,Rochester,NY,1323745,1.68210594958509,4.3646548819379,16.6938421435189
307,Syracuse,NY,1067609,2.20129261689726,4.385779525619,16.0298390120734
308,White Plains,NY,1128353,2.09964828577358,4.11828844307456,15.522554291063
309,Asheville,NC,662646,1.47037370916223,4.39913052582415,15.5494580545928
311,Charlotte,NC,2452841,1.77253657767142,4.42860770988045,14.2886328230379
312,Durham,NC,1356161,1.90968152983987,4.98468974523712,16.8082149610855
313,Greensboro,NC,644425,1.85926957106858,4.40283782791812,15.2143521764083
314,Greenville,NC,849612,1.92676698399009,5.39473064587219,17.2367463971023
315,Hickory,NC,301497,2.01538858228014,4.09430070820963,14.9979236606741
318,Raleigh,NC,2039924,1.8803834545979,5.03584471956128,15.9922990006162
319,Wilmington,NC,455962,1.63807283216738,4.05212975398172,13.7037787674926
320,Winston-Salem,NC,1135803,1.96179090518854,4.74353325326229,14.9526270423085
321,Bismarck,ND,206519,3.28021393425297,6.17426226334646,25.3254650598392
322,Fargo/Moorhead MN,ND,541081,2.2832188475586,4.51259240013314,19.7142833776306
323,Grand Forks,ND,161578,2.86068382309168,4.81834337196779,29.7154733655043
324,Minot,ND,129208,2.83825192466611,5.57792348391376,28.9943725268822
325,Akron,OH,704829,2.0560638513125,6.04859942593612,21.7618654503021
326,Canton,OH,647481,2.14951340193511,4.19973736879183,15.8558028456755
327,Cincinnati,OH,1666947,2.35517829409218,5.4443549180869,20.2717492370866
328,Cleveland,OH,2064339,2.37183665001066,6.14876397745684,20.122072378872
329,Columbus,OH,3006134,2.25758688035421,5.32229605357861,19.047054574592
330,Dayton,OH,1086895,2.26250864367466,5.18465711519821,17.2450844743289
331,Elyria,OH,254125,2.49391588431899,5.12726356950589,17.0579429541249
332,Kettering,OH,423360,1.97307249136793,4.52750402112724,14.4066831311211
334,Toledo,OH,1001232,2.49461536444142,5.95150499581359,18.1684102660511
335,Youngstown,OH,641422,2.65342490319745,4.60976748948451,16.6860402140301
336,Lawton,OK,205236,3.45532079815166,4.27520116133383,18.2349079065025
339,Oklahoma City,OK,1884678,2.5638943069207,4.2779414257966,15.7020240598358
340,Tulsa,OK,1366076,2.70246074398165,4.27791083382908,15.1569864756893
341,Bend,OR,222533,1.37961736039142,3.40783854300389,12.4585216176929
342,Eugene,OR,733822,1.35533253161702,3.07576134617557,11.1371607743204
343,Medford,OR,431272,1.74480116069026,3.2031255356269,11.6893849689513
344,Portland,OR,2686481,1.47345315037819,3.76655199727975,12.1835330722388
345,Salem,OR,322564,1.07488422677852,3.44534767372534,11.3198712528683
346,Allentown,PA,1244152,1.88342496771656,4.52764687821036,15.5099001271883
347,Altoona,PA,302439,2.06188711442519,4.19398571527563,14.7389939244604
350,Danville,PA,577444,1.89650928795163,4.17414534656564,15.4733757339418
351,Erie,PA,725356,2.63409902292187,4.45789774873992,15.9899718312081
352,Harrisburg,PA,1040217,1.60130693679093,3.58932245903998,15.3472263814183
354,Johnstown,PA,224738,2.45538193552056,5.03914018004434,19.2534777934197
355,Lancaster,PA,666898,1.75043066150101,3.77672959052143,14.4817958609201
356,Philadelphia,PA,4173352,2.16561567247845,5.27530991687672,17.4470461208839
357,Pittsburgh,PA,2903566,2.42202821391402,5.00400046660798,16.8884315926116
358,Reading,PA,597521,1.89084358964465,3.99518443312263,16.5652737768833
359,Sayre,PA,196042,2.11987092916388,3.84069184475811,15.6330441092141
360,Scranton,PA,320518,2.24418079375755,3.50965816114331,12.2443485067924
362,Wilkes-Barre,PA,255140,1.84055073857598,3.49106797782588,11.6378074135864
363,York,PA,435834,1.47861167682277,3.77289498751634,14.189628584194
364,Providence,RI,1230259,1.81333093257854,3.37530737780617,14.2272593867965
365,Charleston,SC,1039012,2.02368556681904,4.63454799819738,13.3521706936881
366,Columbia,SC,1245433,2.27696269878652,4.93320047139423,15.9610410310561
367,Florence,SC,379491,3.40675044915406,5.44655322981998,17.2785491275135
368,Greenville,SC,904754,2.05902329596574,4.15747268666746,14.3310420863563
369,Spartanburg,SC,375426,2.2656156012963,4.3637026521028,16.1977245945018
370,Rapid City,SD,218633,2.45404143093037,5.46393947710749,18.6964264574926
371,Sioux Falls,SD,770581,2.88015413863468,5.91441411024425,21.0635972290765
373,Chattanooga,TN,699600,2.19950209528906,4.08196392672835,12.4203287888085
374,Jackson,TN,334537,2.6516810230969,4.44126556121046,16.5955259078182
375,Johnson City,TN,278935,2.2832555208297,3.9625192443491,12.3321231669979
376,Kingsport,TN,476243,2.3362786306825,3.70221991540166,13.3158112213714
377,Knoxville,TN,1369132,2.26066270709271,3.89549155742861,12.6424232563004
379,Memphis,TN,1814698,2.76217115554027,4.59655231633224,15.2499585845508
380,Nashville,TN,2783104,2.1331994033535,3.93276219195104,13.1705324477516
382,Abilene,TX,295464,3.21733939021942,4.20729918085271,16.1482636067085
383,Amarillo,TX,444842,2.61074693268165,4.31619383767247,16.0852618548088
385,Austin,TX,1736429,1.66230017539056,4.20241654966958,12.2653911940288
386,Beaumont,TX,464158,2.50554859996191,4.43137007701444,13.1324887172086
388,Bryan,TX,275362,1.72646453065681,3.26880696622538,11.5738952215761
390,Corpus Christi,TX,563897,3.11546222670586,4.67825947370147,13.9443541739602
391,Dallas,TX,4819340,2.20740095284418,4.3848602588987,12.551024334738
393,El Paso,TX,1113021,1.95259412071027,3.28143739927327,10.3401629239088
394,Fort Worth,TX,2187569,2.02075036702445,4.4872905749944,12.9539027647115
396,Harlingen,TX,586996,2.32991229885374,2.74452695276705,8.65861517633311
397,Houston,TX,6463755,2.22021066764137,4.28348634880967,13.2802052400075
399,Longview,TX,210478,2.42635597803746,4.20619985158555,13.0555821213638
400,Lubbock,TX,706866,3.0829089586332,4.71622609975748,16.7665559828747
402,McAllen,TX,677095,2.63580229651416,4.02075552759925,12.2857110670302
406,Odessa,TX,350538,2.45964077141252,4.11784866062226,14.6293553906726
411,San Angelo,TX,159583,3.1407353298855,4.13500341953477,15.7618083878187
412,San Antonio,TX,2720324,2.20796445541782,3.42736267764121,11.3326378222555
413,Temple,TX,495262,2.28255636111135,4.37832604465075,18.4265725449659
416,Tyler,TX,567755,2.44358703467879,4.1476842945558,15.1411904600682
417,Victoria,TX,145278,3.76783123929636,5.11989080882631,18.896319978172
418,Waco,TX,347363,2.45505095465342,3.72434959473321,14.1058222017018
420,Wichita Falls,TX,203459,3.05463846225757,4.18427041947143,17.1586447828449
421,Ogden,UT,488069,1.41752546023054,3.23783807500149,10.458046311629
422,Provo,UT,599188,1.41303847316885,3.44149259931874,11.8332130996278
423,Salt Lake City,UT,2031488,1.71187664123136,3.99071858255775,14.2305052897427
424,Burlington,VT,639192,2.00377442329773,4.44706821866566,19.9709021656308
426,Arlington,VA,2303199,1.17914384415781,2.94800232190755,8.56842653593048
427,Charlottesville,VA,573338,1.69698706755298,4.32702858396806,16.2351881535724
428,Lynchburg,VA,257092,2.31087912200019,3.64141925549484,15.5811597468564
429,Newport News,VA,564927,1.28334115790494,3.04654051255784,9.36668018484488
430,Norfolk,VA,1295886,1.96871988674684,4.10344628081657,13.4687063347083
431,Richmond,VA,1730860,2.09999791471637,4.30795381317148,13.1305150775006
432,Roanoke,VA,714790,2.46394286648137,4.47446183714783,15.0215663907584
435,Winchester,VA,433780,1.80045302306826,4.17030064790742,13.5479586244328
437,Everett,WA,674299,1.28002152724366,3.46215535892406,13.1937763169408
438,Olympia,WA,385417,1.29694828434731,3.40697934429045,11.7386544771725
439,Seattle,WA,2811517,1.27917376422556,3.47696808318142,13.4869576588972
440,Spokane,WA,1514062,1.69265729405743,3.71635932460777,13.4711828294676
441,Tacoma,WA,802408,1.36250039978768,3.31830735015683,12.0753374934429
442,Yakima,WA,297768,1.60769770013576,4.2433909396641,16.0241505531594
443,Charleston,WV,842347,3.15404233336449,5.35941961820936,19.5981522416696
444,Huntington,WV,357937,2.90351064395509,5.7756341022905,20.553085505031
445,Morgantown,WV,400181,2.754114806914,5.39161423553014,20.1000765725039
446,Appleton,WI,320485,1.59900494517933,2.80022112696315,10.8557069423841
447,Green Bay,WI,518935,1.65204310702393,3.40721248200862,14.4740231957985
448,La Crosse,WI,359246,1.64268127192918,3.73269104096107,14.5674697433133
449,Madison,WI,1091626,1.71001610308304,3.91605355028878,16.3980312237982
450,Marshfield,WI,372884,2.00372498814249,3.95070934275282,14.6856622189516
451,Milwaukee,WI,2710788,1.9817038000765,3.87890887752292,13.2310986517696
452,Neenah,WI,243361,1.83407792721118,3.30589940710342,11.4563169155736
456,Wausau,WI,196844,1.70554717171763,3.52423746464774,13.9627022517379
457,Casper,WY,195567,2.99079410158447,5.10309578315355,18.1635376035701
999,United States,US,308745538,2.04786884784698,4.20781365036964,14.835313051939
